
[00:00:00.000 --> 00:00:04.000]  真的好幾個禮拜沒講到
[00:00:04.000 --> 00:00:08.000]  不講到好像周身不聚財一樣
[00:00:08.000 --> 00:00:12.000]  現在回來可以講到好開心好開心
[00:00:12.000 --> 00:00:17.000]  今天要跟大家講就是當滅的物的風雲
[00:00:17.000 --> 00:00:22.000]  當滅的物是什麼呢?我等一下會解釋
[00:00:22.000 --> 00:00:25.000]  由於這個當滅物的風雲
[00:00:25.000 --> 00:00:29.000]  結果就是反映出一些隱蔽的罪
[00:00:29.000 --> 00:00:32.000]  所以我們的題目就叫做
[00:00:32.000 --> 00:00:36.000]  當滅物的風雲隱蔽之罪的後果
[00:00:36.000 --> 00:00:38.000]  我等一下會解釋
[00:00:38.000 --> 00:00:41.000]  我們上一次最後講到
[00:00:41.000 --> 00:00:47.000]  以色列人打贏了耶利哥城得到勝利
[00:00:47.000 --> 00:00:51.000]  但是得到勝利很多時候往往是很危險
[00:00:51.000 --> 00:00:54.000]  因為每當我們得到勝利的時候
[00:00:54.000 --> 00:00:57.000]  我們的警覺性就會變得很低很低
[00:00:57.000 --> 00:01:01.000]  我們就會不可一世認為自己是很厲害
[00:01:01.000 --> 00:01:06.000]  在聖經裡面是有很多的例子都告訴我們
[00:01:06.000 --> 00:01:08.000]  當聖經的人物得勝之後
[00:01:08.000 --> 00:01:12.000]  他們立黑就會失敗
[00:01:12.000 --> 00:01:14.000]  我舉兩個例子
[00:01:14.000 --> 00:01:16.000]  阿伯拉罕就是一個例子
[00:01:16.000 --> 00:01:19.000]  在創世紀的十四章
[00:01:19.000 --> 00:01:23.000]  講到有四王來攻打所多瑪和俄摩拉
[00:01:23.000 --> 00:01:29.000]  他們是將所多瑪和俄摩拉的食物糧食都擄掠了
[00:01:29.000 --> 00:01:34.000]  他們甚至是將阿伯拉罕的侄子的家人擄掠
[00:01:34.000 --> 00:01:37.000]  將他的財物完全奪走
[00:01:37.000 --> 00:01:41.000]  當然阿伯拉罕是為了要救自己的侄子
[00:01:41.000 --> 00:01:47.000]  他率領了318個壯丁來追趕這些敵人
[00:01:47.000 --> 00:01:52.000]  將羅德他的侄子全家人救回來
[00:01:52.000 --> 00:01:56.000]  將他們所擄走的財物都搶回來
[00:01:56.000 --> 00:01:58.000]  得到勝利
[00:01:58.000 --> 00:02:00.000]  非常之高興
[00:02:00.000 --> 00:02:02.000]  接著十五章講什麼
[00:02:02.000 --> 00:02:04.000]  神和他立約
[00:02:04.000 --> 00:02:06.000]  神說我要將迦南地賜給你
[00:02:06.000 --> 00:02:08.000]  牛奶與蜜之地
[00:02:08.000 --> 00:02:11.000]  你們會在那裡的泥土生活
[00:02:11.000 --> 00:02:15.000]  哇 開心了 不得了了
[00:02:15.000 --> 00:02:17.000]  至高氣岸
[00:02:17.000 --> 00:02:20.000]  神都和他立約 他得到勝利
[00:02:20.000 --> 00:02:23.000]  結果到了十六章他就馬上失敗了
[00:02:23.000 --> 00:02:27.000]  我們知道神是應許他將會有一個兒子
[00:02:27.000 --> 00:02:29.000]  這個就是以撒
[00:02:29.000 --> 00:02:33.000]  但是他等了很久都未來到這個兒子
[00:02:33.000 --> 00:02:37.000]  甚至撒來已經是年紀高
[00:02:37.000 --> 00:02:40.000]  年紀這麼大怎麼可能有小孩呢
[00:02:40.000 --> 00:02:43.000]  所以他就聽了撒拉話
[00:02:43.000 --> 00:02:48.000]  不如就和撒拉的婢女下甲來同房
[00:02:48.000 --> 00:02:50.000]  繼後香燈
[00:02:50.000 --> 00:02:53.000]  結果就生了以撒瑪利出來
[00:02:53.000 --> 00:02:55.000]  到今時今日
