
[00:00:00.000 --> 00:00:03.800]  我哋開始嘅時候我哋一齊讀出呢十節嘅經文
[00:00:31.000 --> 00:00:39.000]  本為可怒之子,和別人一樣,然而神既有豐富的恩賜,因祂愛我們的大愛。
[00:00:39.000 --> 00:00:45.000]  當我們死在過犯中的時候,便叫我們與基督一同活來。
[00:00:45.000 --> 00:00:53.000]  你們的救是本福恩,祂又叫我們與基督耶穌一同服膳,一同坐在天上。
[00:00:53.000 --> 00:00:59.000]  要將祂極豐富的恩賜,就是祂在基督耶穌裡向我們所施的恩賜。
[00:00:59.000 --> 00:01:02.000]  顯給後代的世代看。
[00:01:02.000 --> 00:01:05.000]  你們的救是本福恩,也恩著信。
[00:01:05.000 --> 00:01:13.000]  這並不是出於自己,乃是神所賜的,也不是出於行為,免得有人自誇。
[00:01:13.000 --> 00:01:22.000]  這是祂的工作,在基督耶穌裡造成的,為要叫我們行善,就是神所預備叫我們行善。
[00:01:22.000 --> 00:01:24.000]  我哋開始前一齊做個祈禱。
[00:01:24.000 --> 00:01:32.000]  親愛的天父,我們現在準備進入這段保羅福音核心的經文裡,
[00:01:32.000 --> 00:01:35.000]  求聖靈再次大大光照我們的心,
[00:01:35.000 --> 00:01:40.000]  讓我們回想到當初你怎樣去用愛將我們沉回,
[00:01:40.000 --> 00:01:42.000]  以致我們又踏上這條恩典的路。
[00:01:42.000 --> 00:01:45.000]  我們祈禱在奉靠主耶穌基督的名頭。
[00:01:45.000 --> 00:01:51.000]  這十節的經文是保羅神學裡講的福音核心的信息,
[00:01:51.000 --> 00:01:59.000]  特別在最後這三節的經文裡,其實就是保羅書信當中有關救恩論的內容,
[00:01:59.000 --> 00:02:02.000]  對著救恩的來源就是恩典,
[00:02:02.000 --> 00:02:05.000]  透過什麼管道就是人的回應信心,
[00:02:05.000 --> 00:02:10.000]  而且這一切都是非條件性的,不是靠行為,不是靠我們自己,
[00:02:10.000 --> 00:02:15.000]  而結果就是要對付我們自以為是的這份自誇,
[00:02:15.000 --> 00:02:22.000]  而最終的目的是要我們在這個世上為民眾的群體為主作見證去行善。
[00:02:22.000 --> 00:02:26.000]  保羅是一針見血地指出全人類,
[00:02:26.000 --> 00:02:31.000]  包括當時已不鎖教會所滅的猶太人和外邦人,
[00:02:31.000 --> 00:02:34.000]  本來我們都是死在過犯的裡面,
[00:02:34.000 --> 00:02:38.000]  在這個困境當中只有神的慈愛和祂的大能,
[00:02:38.000 --> 00:02:41.000]  才能夠給我們有得救的機會。
[00:02:41.000 --> 00:02:49.000]  親愛的弟兄姊妹,我們還記不記得神是怎樣帶我們進來教會的呢?
[00:02:49.000 --> 00:02:54.000]  還記不記得很多年前,神是怎樣將你帶到教會裡面的呢?
[00:02:54.000 --> 00:02:57.000]  我們仍然信了這麼多年,
[00:02:57.000 --> 00:03:02.000]  在這一刻我們是否仍然感恩神的那份拯救呢?
[00:03:02.000 --> 00:03:06.000]  所以第一個問題想和大家分享的就是,
[00:03:06.000 --> 00:03:10.000]  我們要感恩,因為基於我們的恩典,我們得救。
[00:03:10.000 --> 00:03:13.000]  這段經文我相信是我們最熟悉的兩節經文,
[00:03:13.000 --> 00:03:15.000]  就是第八和第九節,
[00:03:15.000 --> 00:03:18.000]  「你們得救是本福恩約,也恩著信,
[00:03:18.000 --> 00:03:25.000]  這並不屬於自己,乃是神所賜,也不是出於行為,免得人自誇。」
[00:03:25.000 --> 00:03:29.000]  耶穌給我們最大的福分是我們得救,
[00:03:29.000 --> 00:03:34.000]  同時保羅強調這一份救恩是非條件性的,
[00:03:34.000 --> 00:03:40.000]  其實他就是對付當時的人,想要靠自己努力得救的任何行為,
[00:03:40.000 --> 00:03:43.000]  他要擊碎這個常識。
[00:03:43.000 --> 00:03:50.000]  不知道我們有沒有想過,為何人總覺得自己有能力可以救?
[00:03:50.000 --> 00:03:56.000]  就當時二弗所書的背景,他們主要讀者的群眾是外邦信徒,
[00:03:56.000 --> 00:04:00.000]  在異教的文化裡面,人和神明的關係,
[00:04:00.000 --> 00:04:03.000]  完全可以說是一種交織的關係。
[00:04:03.000 --> 00:04:06.000]  敬拜的人來到神的面前去討好他,
[00:04:06.000 --> 00:04:10.000]  藉此去換取平安和拯救。
[00:04:10.000 --> 00:04:15.000]  同時面對當中的猶太人,一些歸信的猶太人,
[00:04:15.000 --> 00:04:18.000]  他們認為光信耶穌是不行的,
[00:04:18.000 --> 00:04:21.000]  因為他們被舊有的思想所影響,
[00:04:21.000 --> 00:04:24.000]  他們覺得必須要加努力,
[00:04:24.000 --> 00:04:29.000]  信耶穌加上好行為,才能夠得救。
[00:04:29.000 --> 00:04:37.000]  所以保羅在這裡要徹底把一種信仰變成手錶的律法主義去擊退。
[00:04:37.000 --> 00:04:42.000]  而最後,我們可以回想到最初中世紀的時候,
[00:04:42.000 --> 00:04:45.000]  人類先做犯罪,被罪迷惑,
