
[00:00:00.000 --> 00:00:01.800]  是有選擇性的
[00:00:01.800 --> 00:00:05.400]  我們記得起人所做的壞事
[00:00:05.400 --> 00:00:08.220]  多過他所做的好事
[00:00:08.220 --> 00:00:12.060]  莎士比亞說過一句話
[00:00:12.060 --> 00:00:14.540]  人做的惡事
[00:00:14.540 --> 00:00:16.700]  比他的命長
[00:00:16.700 --> 00:00:19.800]  人做的好事
[00:00:19.800 --> 00:00:23.640]  跟骨頭長在地上
[00:00:23.640 --> 00:00:26.200]  一個人過世之後
[00:00:26.200 --> 00:00:29.420]  我們記起他的壞事多過他的好事
[00:00:30.840 --> 00:00:35.240]  亞國騙取長子的名分
[00:00:35.240 --> 00:00:36.960]  是騙人的亞國
[00:00:36.960 --> 00:00:39.100]  是很奸狡的亞國
[00:00:39.100 --> 00:00:43.640]  大魏是殺人奪妻的
[00:00:43.640 --> 00:00:47.840]  彼得是三次不認主的
[00:00:47.840 --> 00:00:51.480]  多曼是多疑的多曼
[00:00:51.480 --> 00:00:53.280]  Doubting Thomas
[00:00:53.280 --> 00:00:56.120]  已經成爲英國的諺語了
[00:00:56.120 --> 00:00:58.320]  就像中國人所說的
[00:00:58.320 --> 00:01:00.240]  好事不出門
[00:01:00.240 --> 00:01:02.800]  醜事傳千里
[00:01:02.800 --> 00:01:08.000]  但是從上述的例子裏我們看清楚
[00:01:08.000 --> 00:01:10.320]  多曼的多疑
[00:01:10.320 --> 00:01:12.440]  其實不是一個罪行
[00:01:12.440 --> 00:01:15.360]  不同殺人奪妻
[00:01:15.360 --> 00:01:18.280]  不同做假見證欺控
[00:01:18.280 --> 00:01:20.520]  騙取長子的名分
[00:01:20.520 --> 00:01:23.980]  以掃以殺
[00:01:23.980 --> 00:01:25.840]  祝福的時候
[00:01:25.840 --> 00:01:27.400]  亞國扮以掃
[00:01:27.400 --> 00:01:29.400]  騙取長子的名分
[00:01:29.400 --> 00:01:33.560]  爲什麼說多曼多疑呢?
[00:01:33.560 --> 00:01:38.200]  這個與耶穌顯現的事件有關
[00:01:38.200 --> 00:01:40.480]  我們綜合四封音
[00:01:40.480 --> 00:01:43.480]  有關耶穌父之後的顯現
[00:01:43.480 --> 00:01:45.960]  時序大概是這樣的
[00:01:45.960 --> 00:01:48.600]  摩達拉的瑪尼亞
[00:01:48.600 --> 00:01:51.280]  撒羅米亞國的母親瑪尼亞
[00:01:51.280 --> 00:01:55.000]  一清早就去到墓園
[00:01:55.000 --> 00:01:57.840]  拿着向告,想告耶穌的屍首
[00:01:57.840 --> 00:02:00.880]  發現墓石滾開了
[00:02:00.880 --> 00:02:04.840]  果絲布和頭巾好像人形一樣
[00:02:04.840 --> 00:02:07.360]  放在石棺上
[00:02:07.360 --> 00:02:10.200]  接着
[00:02:10.200 --> 00:02:12.440]  摩達拉瑪尼亞就害怕
[00:02:12.440 --> 00:02:14.720]  這是偷屍盜墓
[00:02:14.720 --> 00:02:18.320]  立即賓告彼得和約翰
[00:02:18.320 --> 00:02:20.240]  約翰跑得很快
[00:02:20.240 --> 00:02:21.760]  彼得隨後
[00:02:21.760 --> 00:02:23.680]  兩人進入了空墳墓
[00:02:23.680 --> 00:02:27.080]  見到聖經就信
[00:02:27.080 --> 00:02:31.400]  但是不完全明白聖經的意思
[00:02:31.400 --> 00:02:33.080]  瑪尼亞隨後就離開了
[00:02:33.080 --> 00:02:38.080]  幾個婦女在墓裏見到天使
[00:02:38.080 --> 00:02:39.440]  極其害怕
[00:02:39.440 --> 00:02:40.880]  天使告訴她
[00:02:40.880 --> 00:02:43.640]  快去告訴她的門徒
[00:02:43.640 --> 00:02:45.720]  說她已經復活了
[00:02:45.720 --> 00:02:47.880]  而且在你們之前
[00:02:47.880 --> 00:02:49.320]  去到加利利
[00:02:49.320 --> 00:02:52.680]  在那裏他們會見她的門徒
[00:02:53.920 --> 00:02:54.640]  第一
[00:02:54.640 --> 00:02:59.320]  首先見到耶穌顯現是在摩達拉瑪尼亞
[00:02:59.320 --> 00:03:02.080]  她獨自去到墓園裏面
[00:03:02.080 --> 00:03:03.960]  耶穌向她首先顯現
[00:03:03.960 --> 00:03:07.760]  第二是那羣婦女
[00:03:07.760 --> 00:03:10.040]  天使說你們去告訴門徒
[00:03:10.040 --> 00:03:11.600]  但是她們很害怕
[00:03:11.600 --> 00:03:13.200]  一路走一路很害怕
[00:03:13.200 --> 00:03:14.520]  耶穌知道她們害怕的時候
[00:03:14.520 --> 00:03:16.360]  就在途中向她們顯現
[00:03:16.360 --> 00:03:18.640]  你們不要害怕
[00:03:18.640 --> 00:03:20.880]  你們要告訴我的弟兄
[00:03:20.880 --> 00:03:22.200]  叫他們往加利利去
[00:03:22.200 --> 00:03:25.840]  在那裏必見我
[00:03:25.840 --> 00:03:30.480]  那羣婦女見到耶穌顯現就
[00:03:30.480 --> 00:03:31.040]  跪在那裏
[00:03:31.040 --> 00:03:32.360]  抱住耶穌的腳
[00:03:32.360 --> 00:03:33.440]  耶穌說你不用害怕
[00:03:33.440 --> 00:03:34.760]  你去告訴門徒
[00:03:34.760 --> 00:03:35.920]  但是門徒聽到之後
[00:03:35.920 --> 00:03:40.480]  她們都不信他們的報告
[00:03:40.480 --> 00:03:42.560]  第三就是以滿司的路上
[00:03:42.560 --> 00:03:44.240]  耶穌與兩個門徒
[00:03:44.240 --> 00:03:47.080]  一個叫格留巴顯現解釋聖經
[00:03:47.080 --> 00:03:49.120]  說他按聖經所說
[00:03:49.120 --> 00:03:51.480]  他要死又復活
[00:03:51.480 --> 00:03:55.040]  兩個門徒漏夜趕回耶路撒冷
[00:03:55.040 --> 00:03:57.000]  報告給十一個使徒聽
[00:03:57.000 --> 00:04:00.240]  但是他們都不信
[00:04:00.240 --> 00:04:05.360]  第四次顯現就是
[00:04:05.360 --> 00:04:08.560]  耶穌向十一個門徒顯現
[00:04:08.560 --> 00:04:09.560]  那道門是關了的
[00:04:09.560 --> 00:04:13.160]  耶穌進去向他們顯現
[00:04:13.160 --> 00:04:13.760]  責備他們
[00:04:13.760 --> 00:04:16.520]  爲什麼剛纔報告
[00:04:16.520 --> 00:04:18.560]  婦女們報告
[00:04:18.560 --> 00:04:19.640]  格留巴他們報告
[00:04:19.640 --> 00:04:21.640]  爲什麼你不信呢
