
[00:00:00.000 --> 00:00:02.940]  梁法堂的弟兄姊妹平安
[00:00:02.940 --> 00:00:04.680]  我第一次來
[00:00:04.680 --> 00:00:06.880]  我今早來到這裡都很大的感受
[00:00:06.880 --> 00:00:07.800]  我很早來
[00:00:07.800 --> 00:00:12.480]  因為我想早一點給自己一些安靜和準備
[00:00:12.480 --> 00:00:17.920]  特別剛才念《仕途信經》
[00:00:17.920 --> 00:00:21.860]  我信聖徒相同
[00:00:21.860 --> 00:00:27.360]  我想梁法是中國教會最好的教徒
[00:00:27.360 --> 00:00:34.100]  梁法是中國教會歷史裡面一位先聖先賢
[00:00:34.100 --> 00:00:37.800]  其實我們今天在這裡敬拜
[00:00:37.800 --> 00:00:44.340]  我們可以跟歷世歷代的信徒一樣
[00:00:44.340 --> 00:00:46.280]  聖徒相通
[00:00:46.280 --> 00:00:48.640]  一起的敬拜
[00:00:48.640 --> 00:00:51.780]  所以今早都很感恩
[00:00:51.780 --> 00:00:56.620]  可以在這裡跟弟兄姊妹見面
[00:00:56.620 --> 00:01:01.460]  1969年7月21日
[00:01:01.460 --> 00:01:05.940]  人類首次的成功登陸月球
[00:01:05.940 --> 00:01:08.940]  當年原來是有兩個太空人
[00:01:08.940 --> 00:01:12.140]  一起踏足在月球表面的
[00:01:12.140 --> 00:01:15.340]  除了我想年輕的不太記得
[00:01:15.340 --> 00:01:16.780]  我們這個年紀還記得
[00:01:16.780 --> 00:01:18.480]  有個名字叫Armstrong
[00:01:18.480 --> 00:01:20.280]  岩士堂
[00:01:20.280 --> 00:01:23.220]  另外還有一位太空人
[00:01:23.220 --> 00:01:24.480]  是一位基督徒
[00:01:24.480 --> 00:01:27.980]  他是Edwin Eugene Edelman
[00:01:27.980 --> 00:01:30.020]  艾德林
[00:01:30.020 --> 00:01:35.260]  Armstrong除了他是第一個離開太空艙
[00:01:35.260 --> 00:01:39.200]  踏足月球表面的太空人之外
[00:01:39.200 --> 00:01:41.400]  還因為他說了一句話
[00:01:41.400 --> 00:01:44.940]  「月球一小步 地球一大步」
[00:01:44.940 --> 00:01:47.980]  所以聲名大噪
[00:01:47.980 --> 00:01:53.520]  後來在一個慶祝成功登陸月球的記者招待會
[00:01:53.520 --> 00:01:58.580]  有記者突然抽起根子問艾德林
[00:01:58.580 --> 00:02:02.860]  一個當日算是頗尷尬的問題
[00:02:02.860 --> 00:02:05.660]  有記者問他說當日捷足先登
[00:02:05.660 --> 00:02:08.700]  被Armstrong首先離開太空艙
[00:02:08.700 --> 00:02:11.960]  他就喝了頭一口湯
[00:02:11.960 --> 00:02:14.800]  成為登陸月球的第一人
[00:02:14.800 --> 00:02:17.900]  你會不會覺得被他
[00:02:17.900 --> 00:02:22.280]  被你的同袍搶了你的風頭
[00:02:22.280 --> 00:02:23.800]  你會不會那一刻
[00:02:23.800 --> 00:02:27.540]  有些不忿氣 覺得尷尬呢
[00:02:27.540 --> 00:02:30.120]  艾德林這樣回答說
[00:02:30.120 --> 00:02:33.120]  先生 請你不要忘記
[00:02:33.120 --> 00:02:35.620]  當太空船
[00:02:35.620 --> 00:02:37.920]  即是太空艙返回地球
[00:02:37.920 --> 00:02:42.900]  第一個首先離開太空艙的不是Armstrong
[00:02:42.900 --> 00:02:44.860]  是我
[00:02:44.860 --> 00:02:50.740]  我是第一個由月球返回地球的太空人
[00:02:50.740 --> 00:02:54.900]  讀這個小故事我想起已故
[00:02:54.900 --> 00:02:58.340]  司徒華先生說過一句名句
[00:02:58.340 --> 00:03:01.580]  「成功不必在我」
[00:03:01.580 --> 00:03:06.280]  「功成卻是必須有我」
[00:03:06.280 --> 00:03:11.260]  「好與之時節當春乃發生」
[00:03:11.260 --> 00:03:14.760]  「隨風潛入夜」
[00:03:14.760 --> 00:03:19.300]  「潤物就要誓無聲」
[00:03:19.300 --> 00:03:23.560]  「每一個人在每件事上一定有自己的角色」
[00:03:23.560 --> 00:03:27.640]  「有些人可以站在顯著的前線位置」
[00:03:27.640 --> 00:03:32.740]  「有些人甘願站在大後方做backup」
[00:03:32.740 --> 00:03:39.520]  「合時雨總會在適當的時候發揮適當的作用」
[00:03:39.520 --> 00:03:45.720]  「無聲無息 滋潤大地」
[00:03:45.720 --> 00:03:48.960]  我們要學學基督
[00:03:48.960 --> 00:03:52.420]  我們要學象耶穌
[00:03:52.420 --> 00:03:56.500]  「甘心由下頭自願降臂」
[00:03:56.500 --> 00:04:02.200]  「由台前走到幕後做一個二打六」
[00:04:02.200 --> 00:04:07.140]  活著象耶穌講的是一種內在的修為
[00:04:07.140 --> 00:04:10.940]  講的是一種生命裡頭豁然開朗
[00:04:10.940 --> 00:04:18.320]  不為自己有任何的執著和堅持的一種內在的情操
[00:04:18.320 --> 00:04:19.720]  我二十多年前
[00:04:19.720 --> 00:04:24.260]  其實不止二十多年 應該是三十多年前
[00:04:24.260 --> 00:04:29.400]  我看過一則花邊新聞留下很深刻的印象
[00:04:29.400 --> 00:04:32.260]  直到今天我還記得
[00:04:32.260 --> 00:04:38.640]  報導的主角就是當年曾經叱吒風雲
[00:04:38.640 --> 00:04:44.940]  掌管國際命運的前蘇聯
[00:04:44.940 --> 00:04:49.420]  我剛才跟年青同工說 我們這八十年代
[00:04:49.420 --> 00:04:51.720]  神學畢業的人快要退休了
[00:04:51.720 --> 00:04:55.760]  所以我們的記憶還是停留在上個世紀
[00:04:55.760 --> 00:04:58.260]  前蘇聯總統
[00:04:58.260 --> 00:05:02.560]  我不知道你認不認識戈爾巴喬夫
[00:05:02.560 --> 00:05:05.600]  昔日當他開始失勢
[00:05:05.600 --> 00:05:09.400]  被另外一個政敵葉利欽
[00:05:09.400 --> 00:05:12.600]  死了 逼宮
[00:05:12.600 --> 00:05:18.380]  當日戈爾巴喬夫回到克里姆林宮的辦公室
[00:05:18.380 --> 00:05:22.580]  發覺他的辦公室不能進入
[00:05:22.580 --> 00:05:25.480]  他的房門已經被人鎖上
[00:05:25.480 --> 00:05:29.060]  他不能進入
[00:05:29.060 --> 00:05:32.760]  當日葉利欽急不及待
[00:05:32.760 --> 00:05:37.900]  未等他卸任已經霸佔了他的辦公室
[00:05:37.900 --> 00:05:41.940]  戈爾巴喬夫當日的反應是甚麼呢
[00:05:41.940 --> 00:05:44.800]  他轉身離開
[00:05:44.800 --> 00:05:52.540]  拿著手掌輕輕鬆鬆走向莫斯科的街頭
[00:05:52.540 --> 00:05:57.320]  凡事拎得起 放得低
[00:05:57.320 --> 00:06:02.360]  揮一揮衣袖卻不帶走一片雲彩
[00:06:02.360 --> 00:06:05.520]  這些才是真正的領袖
[00:06:05.520 --> 00:06:08.660]  真正的政治人物
[00:06:08.660 --> 00:06:12.560]  你們要以基督耶穌的心為心
[00:06:12.560 --> 00:06:16.540]  進入我們今天的經火之先
[00:06:16.540 --> 00:06:18.540]  我們再祈禱
[00:06:18.540 --> 00:06:20.940]  主上帝每一次我們打電話語的時候
[00:06:20.940 --> 00:06:27.480]  我們盼望的就是要學似耶穌
[00:06:27.480 --> 00:06:30.520]  幫助你的話進入我們的生命
[00:06:30.520 --> 00:06:34.380]  以至我們每一天更加和耶穌接近
[00:06:34.380 --> 00:06:35.160]  聽我們祈禱
[00:06:35.160 --> 00:06:37.160]  奉耶穌名字祈求
[00:06:37.160 --> 00:06:38.920]  阿門
[00:06:38.920 --> 00:06:40.920]  《釋經》的資料提醒我們
[00:06:40.920 --> 00:06:44.920]  保羅寫《肥納比書》二章一到四節
[00:06:44.920 --> 00:06:46.920]  不過我知道大家沒有聖經
[00:06:46.920 --> 00:06:48.920]  不過不要緊
[00:06:48.920 --> 00:06:53.360]  二章一到四節和二章十二到三十節
[00:06:53.360 --> 00:06:59.540]  其實這兩段經文是一個交叉結構當中的平衡對比
[00:06:59.540 --> 00:07:05.160]  二章一到四節保羅提醒肥納比的信徒學習謙卑
[00:07:05.160 --> 00:07:08.160]  然後十二到十八節
[00:07:08.160 --> 00:07:11.860]  就是提醒他們要學習信服
[00:07:11.860 --> 00:07:14.960]  謙卑、信服這兩個重點
[00:07:14.960 --> 00:07:21.160]  就是在它後面的十九到三十節提到的兩個人物
[00:07:21.160 --> 00:07:23.560]  保羅和提摩太
[00:07:23.560 --> 00:07:29.160]  保羅和以巴忽提的關係當中呈現了出來
[00:07:29.160 --> 00:07:33.560]  變成肥納比教會當日要學習的一個
[00:07:33.560 --> 00:07:40.760]  其實是他們很熟悉、很具體的一個屬靈榜樣
[00:07:40.760 --> 00:07:44.160]  另一方面聖經學者亦留意到
[00:07:44.160 --> 00:07:48.160]  肥納比書的一章二十七節
[00:07:48.160 --> 00:07:50.560]  保羅提醒肥納比的信徒
[00:07:50.560 --> 00:07:52.960]  最重要的就是你們行事為人
[00:07:52.960 --> 00:07:55.360]  要與基督的福音相稱
[00:07:55.360 --> 00:07:58.360]  與基督的福音相稱
[00:07:58.360 --> 00:08:03.360]  其實就是肥納比書一章二十七節
[00:08:03.360 --> 00:08:08.360]  到二章十八節那個基本的主調
[00:08:08.360 --> 00:08:10.760]  如果你繼續讀下去
[00:08:10.760 --> 00:08:13.960]  會讀到肥納比書的第四章
[00:08:13.960 --> 00:08:17.560]  四章的第二節提到肥納比教會裏頭
[00:08:17.560 --> 00:08:19.960]  有兩個領袖人物
[00:08:19.960 --> 00:08:23.760]  尤雅蝶和秦都基
[00:08:23.760 --> 00:08:25.960]  彼此是不和的
[00:08:25.960 --> 00:08:29.160]  其實你看到有一個很好的結構
[00:08:29.160 --> 00:08:32.360]  後面兩個和前面提到的提摩太
[00:08:32.360 --> 00:08:34.760]  二百個提又是一個對比
[00:08:34.760 --> 00:08:39.760]  即是說到尤雅蝶和秦都基彼此不和
[00:08:39.760 --> 00:08:43.360]  而二章十四節甚至說到教會裏頭
[00:08:43.360 --> 00:08:45.960]  開始發願燃起爭論
[00:08:45.960 --> 00:08:51.960]  即是說有可能因為這兩個政治人物的爭拗
[00:08:51.960 --> 00:08:55.960]  影響了整個教會裏頭的和諧
[00:08:55.960 --> 00:08:58.560]  再加上第一世紀初期教會
