
[00:00:00.000 --> 00:00:02.300]  曾經有一個廣告是這樣說的
[00:00:02.300 --> 00:00:04.520]  「今天你喝了沒有?」
[00:00:04.520 --> 00:00:06.660]  認不認得?
[00:00:06.660 --> 00:00:08.300]  喝了甚麼?
[00:00:08.300 --> 00:00:10.380]  我又忘記了,不用賣廣告了
[00:00:10.380 --> 00:00:16.080]  今天我跟大家用廣告的術語
[00:00:16.080 --> 00:00:19.080]  「今天你吃了肚子了嗎?」
[00:00:19.080 --> 00:00:21.820]  那你跟旁邊的小小聲說吧
[00:00:21.820 --> 00:00:26.480]  這也是很好的提醒
[00:00:26.480 --> 00:00:32.240]  大家都可以想我們今天來到教會之前
[00:00:32.240 --> 00:00:35.740]  或者我們每一天工作之前
[00:00:35.740 --> 00:00:39.920]  我們起床之後有沒有跟神打過招呼
[00:00:39.920 --> 00:00:41.700]  去禱告
[00:00:41.700 --> 00:00:44.860]  將我們的生活今天交託給祂
[00:00:44.860 --> 00:00:46.660]  求祂帶領我們
[00:00:46.660 --> 00:00:51.780]  剛才主席跟我們讀了詩篇110篇
[00:00:51.780 --> 00:00:52.940]  一到七節
[00:00:52.940 --> 00:00:57.140]  我今天的題目是「按神心意的禱告」
[00:00:57.140 --> 00:01:03.620]  很盼望都是在禱告裡面開始學習
[00:01:03.620 --> 00:01:06.000]  因為今年教會的主題是甚麼?
[00:01:06.000 --> 00:01:08.020]  「從零開始」
[00:01:08.020 --> 00:01:15.080]  很盼望我們心靈能夠可以多點親近我們的神
[00:01:15.080 --> 00:01:17.780]  藉著禱告去親近我們的神
[00:01:17.780 --> 00:01:21.200]  藉著我們每一天跟神去溝通
[00:01:21.200 --> 00:01:23.000]  我們去親近我們的神
[00:01:23.000 --> 00:01:24.780]  大家都明白的了
[00:01:24.780 --> 00:01:26.380]  人與人之間
[00:01:26.380 --> 00:01:27.920]  你越多的溝通
[00:01:27.920 --> 00:01:29.460]  越多的交往
[00:01:29.460 --> 00:01:31.680]  越多的相處
[00:01:31.680 --> 00:01:34.020]  大家就會更多的認識
[00:01:34.020 --> 00:01:35.700]  彼此更加交心
[00:01:35.700 --> 00:01:39.700]  彼此能夠更加可以成為好朋友
[00:01:39.700 --> 00:01:41.780]  那你是不是神的好朋友呢?
[00:01:41.780 --> 00:01:43.780]  你是不是主耶穌的好朋友呢?
[00:01:43.780 --> 00:01:47.620]  我相信主耶穌已經是我們的好朋友
[00:01:47.620 --> 00:01:51.100]  很願意我們都視祂為一個好朋友
[00:01:51.100 --> 00:01:53.380]  一同去同工
[00:01:53.380 --> 00:01:57.820]  今天這個講題叫做「按神心意的禱告」
[00:01:57.820 --> 00:02:02.100]  包括了從詩篇學習禱告
[00:02:02.100 --> 00:02:04.900]  第二方面是「耶和華對我說」
[00:02:04.900 --> 00:02:07.620]  這是第一節的題目
[00:02:07.620 --> 00:02:10.700]  另外第三方面是「耶和華起了誓」
[00:02:10.700 --> 00:02:12.940]  這是第四節的開頭
[00:02:12.940 --> 00:02:19.540]  這十篇可以說是帶領著我們
[00:02:19.540 --> 00:02:25.180]  進入一個不自我忠心的祈禱
[00:02:25.180 --> 00:02:31.740]  因為它將我們的重心放在神自己的身上
[00:02:31.740 --> 00:02:36.060]  神所造 神是哪一位
[00:02:36.060 --> 00:02:40.060]  以至於我們能夠脫離一個自我忠心
[00:02:40.060 --> 00:02:44.820]  能夠可以藉著這十篇詩篇
[00:02:44.820 --> 00:02:48.700]  可以更知道我們這位神
[00:02:48.700 --> 00:02:54.940]  以至於我們又能夠用這篇詩篇去禱告
[00:02:54.940 --> 00:02:58.820]  能夠在這個艱難的世界
[00:02:58.820 --> 00:03:01.020]  混亂的時代裡面
[00:03:01.020 --> 00:03:02.780]  對一個基督徒來說
[00:03:02.780 --> 00:03:08.900]  我們能夠可以作為一個回應的禱告
[00:03:08.900 --> 00:03:12.660]  相信對我們有很大的幫助
[00:03:12.660 --> 00:03:15.940]  首先我想說從詩篇學習祈禱
[00:03:15.940 --> 00:03:20.180]  詩篇我相信大家都很喜歡讀經卷
[00:03:20.180 --> 00:03:21.980]  為什麼喜歡呢?
[00:03:21.980 --> 00:03:27.980]  因為如果聖經學者會這樣說
[00:03:27.980 --> 00:03:31.140]  如果一些先知書 歷史書
[00:03:31.140 --> 00:03:32.260]  特別舊約
[00:03:32.260 --> 00:03:35.260]  好像是從上而下
[00:03:35.260 --> 00:03:37.620]  神曉予給大家知道
[00:03:37.620 --> 00:03:39.660]  神的藉著先知
[00:03:39.660 --> 00:03:41.660]  講神想的期望
[00:03:41.660 --> 00:03:51.140]  人的要求 或者律法書更加好像一條條的規矩
[00:03:51.140 --> 00:03:53.540]  而詩篇 詩歌書
[00:03:53.540 --> 00:03:55.220]  就是從下而上
[00:03:55.220 --> 00:04:01.220]  人是去將自己對神的領受
[00:04:01.220 --> 00:04:03.780]  在神裡面的經歷
[00:04:03.780 --> 00:04:07.100]  或者生活是去呈現給神
[00:04:07.100 --> 00:04:12.020]  或者是從詩歌裡面去將一種感受
[00:04:12.020 --> 00:04:16.300]  將一種的經歷去成為詩歌
[00:04:16.300 --> 00:04:18.220]  去分享出來
[00:04:18.220 --> 00:04:21.860]  所以詩篇是比較個人化
[00:04:21.860 --> 00:04:24.340]  或者是很強烈的感情
[00:04:24.340 --> 00:04:25.740]  不過大家留意
[00:04:25.740 --> 00:04:27.140]  雖然是這樣說
[00:04:27.140 --> 00:04:30.580]  詩篇不是一些詩人無病生淫
[00:04:30.580 --> 00:04:32.420]  說一些自己的東西
[00:04:32.420 --> 00:04:34.100]  說一些自己的感受
[00:04:34.100 --> 00:04:36.740]  說一些自己的經歷
[00:04:36.740 --> 00:04:38.460]  開心好不開心好
[00:04:38.460 --> 00:04:41.660]  有時這些東西當然是自己的事情
[00:04:41.660 --> 00:04:45.420]  但是好像和大家有沒有什麼關係呢
[00:04:45.420 --> 00:04:47.700]  但是你每次看詩篇
[00:04:47.700 --> 00:04:50.140]  都絕對有關係的
[00:04:50.140 --> 00:04:52.060]  就算大衛
[00:04:52.060 --> 00:04:55.980]  大家記得大衛認悔罪的詩篇 五十一篇
[00:04:55.980 --> 00:04:57.220]  很個人的
[00:04:57.220 --> 00:04:59.780]  他自己犯了一個大的罪 姦淫的罪
[00:04:59.780 --> 00:05:03.140]  但是你看到他當然沒有講過詳細內容
[00:05:03.140 --> 00:05:05.820]  但是他那個悔罪的內容
[00:05:05.820 --> 00:05:07.420]  對我們每一個人來講
[00:05:07.420 --> 00:05:10.500]  都是合適我們明白什麼叫悔罪
[00:05:10.500 --> 00:05:12.780]  我們明白我們應該在神的面前
[00:05:12.780 --> 00:05:16.140]  怎樣去將我們的罪去呈現
[00:05:16.140 --> 00:05:19.420]  更加怎樣去尋求神自己的寬恕
[00:05:19.420 --> 00:05:21.060]  這是很好的幫助
[00:05:21.060 --> 00:05:23.660]  我不多講其中一個
[00:05:23.660 --> 00:05:26.260]  所以變成詩篇裡面
