
[00:00:00.000 --> 00:00:06.000]  弟兄姊妹平安 多謝教會邀請讓我可以跟大家分享訊息
[00:00:06.000 --> 00:00:10.000]  我是加拿大華人神學院多倫多院長李惜清
[00:00:10.000 --> 00:00:17.000]  2024年9月我從香港回來多倫多出任神學院院長
[00:00:17.000 --> 00:00:23.000]  我說回來多倫多 因為我年輕的時候就在多倫多成長
[00:00:23.000 --> 00:00:28.000]  在多倫多工作 然後在這裡信主
[00:00:28.000 --> 00:00:35.000]  想不到經過三十多年 上帝又將我帶回來成長的城市
[00:00:35.000 --> 00:00:38.000]  參與這裡的神學教育工作
[00:00:38.000 --> 00:00:42.000]  多倫多這裡都有不少的教會活動
[00:00:42.000 --> 00:00:47.000]  尤其是每年秋天都有培靈會 有宣教大會等等
[00:00:47.000 --> 00:00:51.000]  但是我不知道宣教給你一個什麼感覺
[00:00:51.000 --> 00:00:57.000]  會不會宣教就好像你一定要離開你所在的地方
[00:00:57.000 --> 00:01:02.000]  要改變很多 要去到很遠的地方才能夠做到
[00:01:02.000 --> 00:01:04.000]  你會不會也有這個印象呢?
[00:01:04.000 --> 00:01:09.000]  其實宣教對你是一件什麼事情呢?
[00:01:09.000 --> 00:01:15.000]  如果我問你 你是不是一個宣教士 你會怎樣回答呢?
[00:01:15.000 --> 00:01:17.000]  我想很多人都搖頭
[00:01:17.000 --> 00:01:22.000]  我記得我讀神學的時候 有一位英國來的老師
[00:01:22.000 --> 00:01:25.000]  他教一科短期的 密集的課程
[00:01:25.000 --> 00:01:32.000]  他說他有幾年曾經離開英國 去印度一間神學院教書
[00:01:32.000 --> 00:01:40.000]  當他去的時候 弟兄姊妹很熱情地為他祈禱 拉他出去
[00:01:40.000 --> 00:01:45.000]  稱呼他為一位宣教士 因為他要去印度宣教
[00:01:45.000 --> 00:01:51.000]  後來他回到英國 他繼續在神學院教書
[00:01:51.000 --> 00:01:56.000]  所以他的工作性質無論在印度還是英國都沒有改變
[00:01:56.000 --> 00:02:02.000]  不過他說當他回去的時候 沒人會再稱呼他為宣教士了
[00:02:02.000 --> 00:02:08.000]  好幾年前 我和神學院一位快要畢業的同學聊天
[00:02:08.000 --> 00:02:12.000]  說起他畢業之後去哪裏侍奉
[00:02:12.000 --> 00:02:18.000]  他會離開香港去到一個所謂創啟的地方
[00:02:18.000 --> 00:02:22.000]  也就是不能公開傳福音的地方
[00:02:22.000 --> 00:02:27.000]  去那裏參與一個機構做行政管理的工作
[00:02:27.000 --> 00:02:30.000]  因為他本身都是做行政管理的
[00:02:30.000 --> 00:02:34.000]  他說那些人將他歸類為宣教士
[00:02:34.000 --> 00:02:39.000]  他說原來我這樣就是宣教士 叫做宣教
[00:02:39.000 --> 00:02:43.000]  他讀神學之前的專業就是行政管理
[00:02:43.000 --> 00:02:48.000]  所以對他來說 究竟是去海外工作還是去宣教
[00:02:48.000 --> 00:02:53.000]  是在職還是在機構服務 根本分不清楚
[00:02:53.000 --> 00:02:58.000]  所以何謂宣教呢? 誰才是宣教士呢?
[00:02:58.000 --> 00:03:02.000]  我在神學院是專門研究職場神學的
[00:03:02.000 --> 00:03:05.000]  我也遇到不少在職的同學
[00:03:05.000 --> 00:03:13.000]  他們經歷上帝 或者上帝使用他們
[00:03:13.000 --> 00:03:16.000]  將福音帶到不同的人當中
[00:03:16.000 --> 00:03:22.000]  上帝用他們的方式遠遠超過傳統宣教士的觀念
[00:03:22.000 --> 00:03:30.000]  我有一個學生 他的工作經常要去東南亞一些不同的地方
[00:03:30.000 --> 00:03:37.000]  他說他曾經祈禱求神讓他到不同的地方宣教
[00:03:37.000 --> 00:03:41.000]  去實踐他的宣教使命
[00:03:41.000 --> 00:03:44.000]  但神很有趣 沒有帶他離開他的工作
[00:03:44.000 --> 00:03:48.000]  反而他來了神學院讀職場神學
[00:03:48.000 --> 00:03:53.000]  過了不久 他發現公司要派他出差
[00:03:53.000 --> 00:03:58.000]  去一個福音不能公開講的地方
[00:03:58.000 --> 00:04:02.000]  去那裡建立他們的辦公室
[00:04:02.000 --> 00:04:06.000]  於是他每個月都去那裡出差
[00:04:06.000 --> 00:04:12.000]  與那裡的同事分享 做了好朋友
[00:04:12.000 --> 00:04:15.000]  他說感覺就像跨文化一樣
[00:04:15.000 --> 00:04:23.000]  原來上帝就是用這樣的方式來回應他心裡的負擔和禱告
[00:04:23.000 --> 00:04:26.000]  我們發現天國真的很大
[00:04:26.000 --> 00:04:30.000]  上帝做的事是超乎我們想像的
[00:04:30.000 --> 00:04:34.000]  所以不在乎我們在什麼位置
[00:04:34.000 --> 00:04:39.000]  而是在乎上帝將我們每一個人擺在什麼位置
[00:04:39.000 --> 00:04:42.000]  主要是我們的生命的核心
[00:04:42.000 --> 00:04:46.000]  我們的心智是否回應上帝
[00:04:46.000 --> 00:04:49.000]  我們很需要學習在此時此地
[00:04:49.000 --> 00:04:51.000]  在我們的日常生活當中
[00:04:51.000 --> 00:04:54.000]  我們的生命就是屬於主的
[00:04:54.000 --> 00:05:00.000]  在我們的工作 在我們的家庭 在我們的社區 在我們的教會裡
[00:05:00.000 --> 00:05:05.000]  我們要成為一個用生命去宣講真理的人
[00:05:05.000 --> 00:05:10.000]  因為對於基督徒來說 我們的生活就是使命
[00:05:10.000 --> 00:05:15.000]  我們實踐使命的場景就在我們平常的生活裡
[00:05:15.000 --> 00:05:18.000]  無論你去到哪裡都是一樣
[00:05:18.000 --> 00:05:23.000]  我不知道你每一天的生活狀況是怎樣
[00:05:23.000 --> 00:05:28.000]  是不是上班 下班 上學 下課
[00:05:28.000 --> 00:05:33.000]  又或者每個星期去買菜 每天煮飯
[00:05:33.000 --> 00:05:35.000]  吃完又洗 洗完又吃
[00:05:35.000 --> 00:05:38.000]  又要想下一餐吃什麼
[00:05:38.000 --> 00:05:43.000]  你會怎樣形容你的工作和生活呢?
[00:05:43.000 --> 00:05:48.000]  如果耶穌基督是我們毀身的
[00:05:48.000 --> 00:05:50.000]  祂是我們的掌權者
[00:05:50.000 --> 00:05:51.000]  祂帶領著我們
[00:05:51.000 --> 00:05:53.000]  祂是我們的君王
[00:05:53.000 --> 00:05:56.000]  那麼耶穌想我們怎樣生活
[00:05:56.000 --> 00:06:02.000]  怎樣在工作或生活的勞碌當中來活出使命呢?
[00:06:02.000 --> 00:06:05.000]  我們試試從聖經找答案
[00:06:05.000 --> 00:06:10.000]  我們今天讀的經文在《使徒行傳》一章四至八節
[00:06:10.000 --> 00:06:13.000]  可能大家都很熟悉
[00:06:13.000 --> 00:06:21.000]  經文說 耶穌和他們聚集的時候 祝福他們說 不要離開耶路撒冷
[00:06:21.000 --> 00:06:27.000]  要等候父所應許的 就是你們聽見我說過的
[00:06:27.000 --> 00:06:33.000]  若寒池用水施洗 但不多幾天 你們要受聖靈的洗
[00:06:33.000 --> 00:06:41.000]  他們聚集的時候 問耶穌說 主啊 你復興以色列國就在這時候嗎?
[00:06:41.000 --> 00:06:48.000]  耶穌對他們說 父憑著自己的權並所定的時候日期
[00:06:48.000 --> 00:06:50.000]  不是你們可以知道的
[00:06:50.000 --> 00:06:55.000]  但聖靈降臨在你們身上 你們就必得著能力
[00:06:55.000 --> 00:07:04.000]  並要在耶路撒冷 猶太傳地和撒瑪利亞直到地極作我的見證
[00:07:04.000 --> 00:07:11.000]  選《使徒行傳》是因為這裏正正記載了早期的信徒
[00:07:11.000 --> 00:07:18.000]  在耶穌復活 顯明福音的大能之後 他們如何生活
[00:07:18.000 --> 00:07:22.000]  想起《使徒行傳》就很自然想起傳福音
[00:07:22.000 --> 00:07:26.000]  沒錯的 但如果細心讀《使徒行傳》
[00:07:26.000 --> 00:07:31.000]  路加記載的早期教會如何跟隨上帝的心意呢?
[00:07:31.000 --> 00:07:34.000]  他們如何跟隨聖靈的帶領呢?
[00:07:34.000 --> 00:07:37.000]  他們繼續來發展教會
