
[00:00:00.000 --> 00:00:02.000]  我們禱告
[00:00:02.000 --> 00:00:06.000]  耶穌當我們在敬拜的時候
[00:00:06.000 --> 00:00:09.000]  祢的話是從聖經裏告訴我們
[00:00:09.000 --> 00:00:11.000]  藉著詩歌
[00:00:11.000 --> 00:00:13.000]  當每一個人
[00:00:13.000 --> 00:00:15.000]  無論信與不信
[00:00:15.000 --> 00:00:18.000]  都是你自己所創造的人
[00:00:18.000 --> 00:00:21.000]  當你願意謙卑下來
[00:00:21.000 --> 00:00:23.000]  去禱告的時候
[00:00:23.000 --> 00:00:24.000]  尋求你的面
[00:00:24.000 --> 00:00:27.000]  離開我們一些惡行
[00:00:27.000 --> 00:00:29.000]  上帝不喜歡的時候
[00:00:29.000 --> 00:00:32.000]  原來祢就在監察世聽
[00:00:32.000 --> 00:00:34.000]  赦免我們的罪
[00:00:34.000 --> 00:00:35.000]  醫治我們
[00:00:35.000 --> 00:00:36.000]  神就按祢的應許
[00:00:36.000 --> 00:00:38.000]  現在祢在大地上
[00:00:38.000 --> 00:00:39.000]  在這個會堂的時候
[00:00:39.000 --> 00:00:41.000]  祢大大的臨到我們當中
[00:00:41.000 --> 00:00:44.000]  讓我們敬拜的時候與祢相遇
[00:00:44.000 --> 00:00:47.000]  讓主耶穌在我們當中有難處的
[00:00:47.000 --> 00:00:49.000]  無論從我們自己來家人來
[00:00:49.000 --> 00:00:52.000]  我求祢的安慰引渡在我們當中
[00:00:52.000 --> 00:00:55.000]  特別在我們教會當中
[00:00:55.000 --> 00:00:59.000]  願主當祢的臨在
[00:00:59.000 --> 00:01:02.000]  祢的名字再一次被高舉的時候
[00:01:02.000 --> 00:01:04.000]  就有很多人信耶穌
[00:01:04.000 --> 00:01:06.000]  就有可能得安慰
[00:01:06.000 --> 00:01:08.000]  得生命
[00:01:08.000 --> 00:01:10.000]  聖靈我們多謝祢
[00:01:10.000 --> 00:01:11.000]  讓我們今天的敬拜
[00:01:11.000 --> 00:01:13.000]  每首的詩歌
[00:01:13.000 --> 00:01:14.000]  祢都向我們說話
[00:01:14.000 --> 00:01:17.000]  讓頌贊榮耀歸還給我們天上的父
[00:01:17.000 --> 00:01:18.000]  咁樣祈禱交托
[00:01:18.000 --> 00:01:21.000]  奉耶穌得勝的名銜
[00:01:21.000 --> 00:01:23.000]  好,大家請坐
[00:01:23.000 --> 00:01:25.000]  今天想跟大家分享一個訊息
[00:01:25.000 --> 00:01:27.000]  我都叫做告別訊息
[00:01:27.000 --> 00:01:28.000]  無論怎樣都好
[00:01:28.000 --> 00:01:29.000]  是一篇訊息
[00:01:29.000 --> 00:01:31.000]  就是我覺得很重要
[00:01:31.000 --> 00:01:33.000]  其實我數回前幾篇都很重要
[00:01:33.000 --> 00:01:35.000]  無論是耶和利西
[00:01:35.000 --> 00:01:37.000]  或者尋求神的面
[00:01:37.000 --> 00:01:39.000]  都是在屬靈裏面很重要的一件事
