
[00:00:00.000 --> 00:00:05.000]  深信我形容我們活在一個風雨飄搖的年代
[00:00:05.000 --> 00:00:08.000]  我想沒有誰會反對這句話
[00:00:08.000 --> 00:00:13.000]  因為確實我們身處的環境
[00:00:13.000 --> 00:00:15.000]  不是我們能夠掌控
[00:00:15.000 --> 00:00:20.000]  也不是我們能夠用我們自己的能力去改變
[00:00:20.000 --> 00:00:24.000]  甚至我說在你的生命裏面
[00:00:24.000 --> 00:00:26.000]  在你的人生當中
[00:00:26.000 --> 00:00:29.000]  也好像一個風暴的人生一樣
[00:00:30.000 --> 00:00:34.000]  我想你也不會提出抗議
[00:00:34.000 --> 00:00:40.000]  因為我們在人生裏面往往總是有起起伏伏
[00:00:40.000 --> 00:00:44.000]  往往總是遇著一些憂患
[00:00:44.000 --> 00:00:47.000]  遇著一些我們不想期待見得到的東西
[00:00:47.000 --> 00:00:50.000]  總而言之就會忽然間來臨
[00:00:50.000 --> 00:00:54.000]  甚至這些事情可能在我們最興奮的時候
[00:00:54.000 --> 00:00:56.000]  就發生在我們眼前
[00:00:56.000 --> 00:00:58.000]  是我們不能夠掌控
[00:00:59.000 --> 00:01:00.000]  所以我們會形容
[00:01:00.000 --> 00:01:06.000]  我們真的活在一個風雨的處境當中
[00:01:06.000 --> 00:01:09.000]  今天跟大家一起思想
[00:01:09.000 --> 00:01:13.000]  《智慧行卷》第27章這一段經文
[00:01:13.000 --> 00:01:17.000]  這一段經文正是主席帶領我們讀出的時候
[00:01:17.000 --> 00:01:19.000]  我不知道你有沒有同一個感受
[00:01:19.000 --> 00:01:25.000]  作者路加好像將我們一起帶進這個場景當中
[00:01:26.000 --> 00:01:30.000]  好像我們也一起參與 一起進入了這條船裏面
[00:01:30.000 --> 00:01:35.000]  經歷著這條船當中所發生的每一個細節
[00:01:35.000 --> 00:01:43.000]  因為確實路加正是在他書寫這個《智慧行卷》的時候
[00:01:43.000 --> 00:01:45.000]  在這一段的路程當中
[00:01:45.000 --> 00:01:50.000]  路加和阿里達古確是與保羅同行
[00:01:50.000 --> 00:01:52.000]  所以他對整個的行程
[00:01:52.000 --> 00:01:54.000]  整個的處境
[00:01:55.000 --> 00:01:56.000]  他是療癒主掌
[00:01:56.000 --> 00:01:59.000]  甚至乎他是身在其中
[00:01:59.000 --> 00:02:03.000]  以第一人那種的處境去表達出來
[00:02:03.000 --> 00:02:06.000]  《智慧行卷》第27章
[00:02:06.000 --> 00:02:09.000]  一連兩章 第27、28章
[00:02:09.000 --> 00:02:13.000]  是描寫著保羅他要上訴去該殺
[00:02:13.000 --> 00:02:17.000]  所以當時他是被押送
[00:02:17.000 --> 00:02:22.000]  在這個百夫長、尤利和士兵的底下
[00:02:23.000 --> 00:02:27.000]  被押送上去該殺利亞
[00:02:27.000 --> 00:02:30.000]  然後送他去羅馬
[00:02:30.000 --> 00:02:34.000]  換句話說 今天我們所經歷的這個處境
[00:02:34.000 --> 00:02:36.000]  地域上面就是告訴我們
[00:02:36.000 --> 00:02:38.000]  我們是從巴勒斯坦這一個地方
[00:02:38.000 --> 00:02:41.000]  穿過地中海
[00:02:41.000 --> 00:02:45.000]  由西面去到地中海的東面
[00:02:45.000 --> 00:02:49.000]  是這個海域裏面所發生的事情
[00:02:49.000 --> 00:02:52.000]  而《智慧行卷》第27、28章
[00:02:53.000 --> 00:02:54.000]  亦都可以這樣說
[00:02:54.000 --> 00:02:57.000]  在整個《智慧行卷》的篇章裏面
[00:02:57.000 --> 00:02:59.000]  只是記載一個的行程
[00:02:59.000 --> 00:03:02.000]  但是他卻是用上了很長的篇幅
[00:03:02.000 --> 00:03:05.000]  去描述這個船程
[00:03:05.000 --> 00:03:08.000]  去描述這個風險
[00:03:08.000 --> 00:03:11.000]  我深信不只是告訴我們
