
[00:00:00.000 --> 00:00:03.440]  今天講到的題目是神棍末路
[00:00:03.440 --> 00:00:06.260]  大家不知道聽到神棍這兩個字
[00:00:06.260 --> 00:00:08.240]  你如何理解什麼叫神棍?
[00:00:08.240 --> 00:00:13.880]  我猜神棍大概最簡單直接的定義就是說
[00:00:13.880 --> 00:00:15.700]  有人利用宗教
[00:00:15.700 --> 00:00:19.800]  來獲得一些好處
[00:00:19.800 --> 00:00:21.800]  一些自己的利益
[00:00:21.800 --> 00:00:25.300]  這個利益可以是金錢、美色
[00:00:25.300 --> 00:00:28.800]  聲譽、權柄、影響力
[00:00:28.800 --> 00:00:30.100]  讚美社會地位
[00:00:30.100 --> 00:00:32.100]  可以是任何東西你喜歡的
[00:00:32.100 --> 00:00:36.100]  你都可以利用宗教來獲得
[00:00:36.100 --> 00:00:40.100]  不知道大家在教會裡面有沒有遇過這類的神棍呢?
[00:00:40.100 --> 00:00:43.500]  最近在香港有一個新聞講到
[00:00:43.500 --> 00:00:47.300]  原來有一個和尚被人發現他竟然吃肉
[00:00:47.300 --> 00:00:50.300]  不單止吃肉,他還跑去召妓
[00:00:50.300 --> 00:00:54.800]  這個當然是香港一個很大的醜聞
[00:00:54.800 --> 00:00:58.400]  你可以說這個和尚真的是一個神棍
[00:00:58.400 --> 00:00:59.400]  不過我告訴大家
[00:00:59.400 --> 00:01:06.000]  這些和他所相信的信仰背道而馳的行為
[00:01:06.000 --> 00:01:09.000]  不單是可以在佛教裡面出現
[00:01:09.000 --> 00:01:11.200]  其實在任何信仰,沒有關係的
[00:01:11.200 --> 00:01:13.200]  包括基督教
[00:01:13.200 --> 00:01:14.100]  為什麼呢?
[00:01:14.100 --> 00:01:15.800]  很簡單,聖經講得很清楚
[00:01:15.800 --> 00:01:18.800]  人都是受到罪惡的影響
[00:01:18.800 --> 00:01:21.500]  甚至是被罪惡所控制
[00:01:21.500 --> 00:01:24.200]  在今天我們剛才所讀的經文裡面
[00:01:24.200 --> 00:01:32.000]  主耶穌是不留情面地攻擊、責備當時的宗教領袖
[00:01:32.000 --> 00:01:36.000]  當時的宗教領袖就是我們今天經文所講的
[00:01:36.000 --> 00:01:38.000]  法律賽人和問師
[00:01:38.000 --> 00:01:40.000]  今天讓我們來看看
[00:01:40.000 --> 00:01:43.000]  究竟這些類的宗教領袖
[00:01:43.000 --> 00:01:45.000]  他們做錯了什麼呢?
[00:01:45.000 --> 00:01:47.500]  而他們的結局又如何呢?
[00:01:47.500 --> 00:01:54.400]  而我們可以做些什麼去避免犯這幫人的錯誤呢?
[00:01:54.400 --> 00:01:55.400]  好了
[00:01:55.400 --> 00:01:56.600]  今天我們所讀的經文
[00:01:56.600 --> 00:01:58.900]  開始的時候
[00:01:58.900 --> 00:02:00.500]  主耶穌隔壁就是說
[00:02:00.500 --> 00:02:04.000]  你們這幫假冒為善的問師和法律賽人
[00:02:04.000 --> 00:02:06.000]  你們有禍了
[00:02:06.000 --> 00:02:06.700]  為什麼呢?
[00:02:06.700 --> 00:02:10.800]  因為你們正當人前把天國的門關了
[00:02:10.800 --> 00:02:14.300]  自己不進去,還不讓人進去
[00:02:14.300 --> 00:02:16.100]  大家都知道
[00:02:16.100 --> 00:02:19.900]  問事法律賽人就是當時的宗教領袖
[00:02:19.900 --> 00:02:21.100]  主耶穌也說道
[00:02:21.100 --> 00:02:26.200]  你們這幫人拿了天國的鑰匙
[00:02:26.200 --> 00:02:27.600]  拿著鑰匙
[00:02:27.600 --> 00:02:30.400]  但是自己又不進去
[00:02:30.400 --> 00:02:31.000]  什麼意思呢?
[00:02:31.000 --> 00:02:33.400]  什麼叫拿著天國的鑰匙呢?
[00:02:33.400 --> 00:02:35.300]  大家可以很相信
[00:02:35.300 --> 00:02:37.000]  大家都想到
[00:02:37.000 --> 00:02:40.000]  當日耶穌年代的時候
[00:02:40.000 --> 00:02:41.500]  是沒有印刷的技術的
[00:02:41.500 --> 00:02:42.300]  沒有影印機
[00:02:42.300 --> 00:02:43.700]  沒有所有的聖經
[00:02:43.700 --> 00:02:44.300]  又如何呢?
[00:02:44.300 --> 00:02:46.200]  手抄本
[00:02:46.200 --> 00:02:48.000]  所以也是這個原因
[00:02:48.000 --> 00:02:51.200]  並不是所有人都擁有一本聖經的
[00:02:51.200 --> 00:02:52.100]  除非你有
[00:02:52.100 --> 00:02:52.800]  怎麼樣?
[00:02:52.800 --> 00:02:54.300]  因為你很有錢
[00:02:54.300 --> 00:02:55.700]  因為你就是宗教領袖
[00:02:55.700 --> 00:02:57.400]  那你就可以有聖經了
[00:02:57.400 --> 00:02:59.400]  普遍的百姓
[00:02:59.400 --> 00:03:01.400]  如果你要聽到聖經又如何?
[00:03:01.400 --> 00:03:02.700]  你要去到會堂
[00:03:02.700 --> 00:03:03.900]  去到聖殿
[00:03:03.900 --> 00:03:06.800]  通過當時的宗教領袖
[00:03:06.800 --> 00:03:09.000]  民事、祭司、法律賽人都好
[00:03:09.000 --> 00:03:11.000]  通過他們的教導
[00:03:11.000 --> 00:03:13.600]  你也會聽到聖經神的話
[00:03:13.600 --> 00:03:14.900]  神的話語
[00:03:14.900 --> 00:03:17.500]  雖然這些宗教的領袖
[00:03:17.500 --> 00:03:19.500]  他們有這樣的便利
[00:03:19.500 --> 00:03:23.000]  可以接觸到神的話語
[00:03:23.000 --> 00:03:24.400]  不過聖經告訴我們
[00:03:24.400 --> 00:03:26.600]  他們沒有很善用
[00:03:26.600 --> 00:03:28.800]  這個你可以說是特權
[00:03:28.800 --> 00:03:30.100]  主耶穌又責備他們
[00:03:30.100 --> 00:03:33.200]  你們這幫人自己不入天國
[00:03:33.200 --> 00:03:34.600]  也不容許
[00:03:34.600 --> 00:03:38.900]  甚至是阻礙其他人入天國
[00:03:38.900 --> 00:03:41.700]  為什麼耶穌有這樣的控告呢?
[00:03:41.700 --> 00:03:42.700]  不簡單的
[00:03:42.700 --> 00:03:45.400]  究竟這幫人做了什麼
[00:03:45.400 --> 00:03:49.800]  來禁止別人進入天國呢?
[00:03:49.800 --> 00:03:51.100]  有一次
[00:03:51.100 --> 00:03:57.300]  當人和主耶穌討論到人的遺傳的時候
[00:03:57.300 --> 00:03:58.700]  主耶穌這樣說
[00:03:58.700 --> 00:04:06.300]  聖經其中一條的十誡裡面說
[00:04:06.300 --> 00:04:10.100]  你們應孝敬父母
[00:04:10.100 --> 00:04:12.900]  但是當時的人就說
[00:04:12.900 --> 00:04:13.800]  不是啊
[00:04:13.800 --> 00:04:16.400]  我打算供奉父母的錢
[00:04:16.400 --> 00:04:18.400]  已經拿來奉獻給神了
[00:04:18.400 --> 00:04:23.200]  所以我可以不再需要孝敬父母了
[00:04:23.200 --> 00:04:27.800]  主耶穌的評論就是說
[00:04:27.800 --> 00:04:30.100]  當這幫人這麼做的時候
[00:04:30.100 --> 00:04:32.000]  他們實際上就是直接遺傳
[00:04:32.000 --> 00:04:35.400]  廢棄了神的誡命
[00:04:35.400 --> 00:04:37.100]  所以結論就是說
[00:04:37.100 --> 00:04:41.400]  這幫人把人的吩咐當作道理來教訓人
[00:04:41.400 --> 00:04:44.900]  所以拜我也是枉言
[00:04:44.900 --> 00:04:45.700]  很明顯
[00:04:45.700 --> 00:04:47.400]  這幫人用人的說話
[00:04:47.400 --> 00:04:51.600]  重新包裝神的說話
[00:04:51.600 --> 00:04:53.600]  舉個例子
[00:04:53.600 --> 00:04:56.600]  安息日在新約聖經裡面
[00:04:56.600 --> 00:05:00.000]  經常都提到人們攻擊耶穌
[00:05:00.000 --> 00:05:02.600]  在安息日來做事情
[00:05:02.600 --> 00:05:04.000]  在十誡裡面這麼說
[00:05:04.000 --> 00:05:05.800]  當紀念安息日
[00:05:05.800 --> 00:05:07.400]  守為聖日
[00:05:07.400 --> 00:05:10.200]  六日要勞碌
[00:05:10.200 --> 00:05:11.600]  做你一切的功
[00:05:11.600 --> 00:05:13.100]  但是到了第七日的時候
[00:05:13.100 --> 00:05:16.500]  無論何功都不可作
[00:05:16.500 --> 00:05:19.300]  大家聽完這句話的時候
[00:05:19.300 --> 00:05:21.300]  清不清晰啊
