
[00:00:00.000 --> 00:00:04.260]  今個星期其實我們來到張霖期最後一個星期
[00:00:04.260 --> 00:00:07.400]  亦都是聖誕節之前的一個星期天
[00:00:07.400 --> 00:00:09.900]  如果大家有少少印象的話
[00:00:09.900 --> 00:00:11.600]  這兩個星期天裏面
[00:00:11.600 --> 00:00:14.600]  我們都分享了兩個不同人物的故事
[00:00:14.600 --> 00:00:17.700]  分別就是約瑟和瑪利亞的故事
[00:00:17.700 --> 00:00:20.600]  今天都是講一些關於人的故事
[00:00:20.600 --> 00:00:23.600]  都是講一些人怎樣去遇見耶穌
[00:00:23.600 --> 00:00:27.000]  去到經歷到一個生命的改變
[00:00:27.000 --> 00:00:29.800]  今天就會集中講兩組人
[00:00:29.800 --> 00:00:31.200]  一組就是牧羊人
[00:00:31.200 --> 00:00:33.200]  另一組就是東方博士
[00:00:33.200 --> 00:00:36.500]  可能你會想這兩組人不是很熟悉嗎?
[00:00:36.500 --> 00:00:39.900]  那到底我們有什麼可以去到學習到呢?
[00:00:39.900 --> 00:00:42.900]  今天我們嘗試從聖經裏面的說話裏面
[00:00:42.900 --> 00:00:46.200]  去到看見到底他們遇見耶穌的時候
[00:00:46.200 --> 00:00:49.800]  到底為他們的生命帶來做什麼的改變
[00:00:49.800 --> 00:00:54.800]  在開會之前就考大家一些很基本的聖經常識
[00:00:54.800 --> 00:00:59.600]  那到底我們有多少個博士去看耶穌呢?
[00:00:59.600 --> 00:01:01.800]  我給大家三秒去想的話
[00:01:01.800 --> 00:01:05.000]  多數我估計有些人是在想三個
[00:01:05.000 --> 00:01:07.000]  又或者有人在想幾個
[00:01:07.000 --> 00:01:09.200]  其實在聖經裏面我們知道
[00:01:09.200 --> 00:01:12.300]  那些博士就帶了三份禮物去見耶穌
[00:01:12.300 --> 00:01:16.600]  所以很多我想在聖經的故事上面
[00:01:16.600 --> 00:01:19.800]  是會寫有三個博士這樣去送禮物的
[00:01:19.800 --> 00:01:24.000]  但是如果我們去看關於聖經的經文的時候
[00:01:24.000 --> 00:01:25.300]  其實他是這麼說的
