
[00:00:00.000 --> 00:00:03.840]  請我們打開我們今天思想經文《路加福音》第十二章
[00:00:03.840 --> 00:00:10.240]  《路加福音》第十二章 我們由三十五節看到四十八節
[00:00:10.240 --> 00:00:16.200]  《路加福音》第十二章 三十五節至到四十八節
[00:00:16.200 --> 00:00:17.720]  請聽我讀出來
[00:00:17.720 --> 00:00:19.320]  三十五節
[00:00:19.320 --> 00:00:23.840]  你們要束腰 束緊腰帶 燈也要點著
[00:00:23.840 --> 00:00:27.920]  好像僕人等候自己的主人從婚宴上回來
[00:00:28.120 --> 00:00:30.400]  他來叩門 就立刻給他開門
[00:00:30.400 --> 00:00:34.480]  主人來了 看見僕人警醒 那些僕人就有福了
[00:00:34.480 --> 00:00:35.760]  我實在告訴你們
[00:00:35.760 --> 00:00:40.360]  主人會叫他們坐直 自己束上腰帶 前來自候他們
[00:00:40.360 --> 00:00:44.680]  他或是半夜來 或是天亮之前來
[00:00:44.680 --> 00:00:48.440]  看見僕人這樣 那些僕人就有福了
[00:00:48.440 --> 00:00:53.640]  你們要知道一家之主人 若知道賊什麼時候來
[00:00:53.640 --> 00:00:56.160]  就不用賊 或穿房屋
[00:00:57.160 --> 00:01:01.480]  你們也要預備 因為在你們想什麼時候 人質就來了
[00:01:01.480 --> 00:01:05.440]  給得說主呀 這比喻是對我們說的呢
[00:01:05.440 --> 00:01:07.840]  還是也對眾人呢
[00:01:07.840 --> 00:01:13.080]  主說 那麼誰是那忠心又精明的管家
[00:01:13.080 --> 00:01:15.880]  主人要派他管理自己的家僕
[00:01:15.880 --> 00:01:20.400]  按時定糧 分糧給他們的呢
[00:01:20.400 --> 00:01:24.400]  主人來到 看見僕人這樣做 那些僕人就有福了
[00:01:24.720 --> 00:01:28.120]  我實在告訴你們 主人要派他管理所有的財產
[00:01:28.120 --> 00:01:32.240]  如果那僕人心裡說 我對主人患來得遲
[00:01:32.240 --> 00:01:36.360]  就動手打同僕和侍女 並且吃喝醉酒
[00:01:36.360 --> 00:01:40.240]  在想不到的日子 不知道的時候 那僕人的主人要來
[00:01:40.240 --> 00:01:45.280]  重重地懲罰他 定他和不忠心的人同罪
[00:01:45.280 --> 00:01:50.080]  僕人知道主人的意思 卻沒有預備
[00:01:50.640 --> 00:01:55.680]  又未順他的意思做 那僕人要多受責備
[00:01:55.680 --> 00:01:59.920]  只要那不知道 而做了當受責打的事的
[00:01:59.920 --> 00:02:03.800]  至少受責打 要少受責打
[00:02:03.800 --> 00:02:06.800]  多給誰 就向誰多取
[00:02:06.800 --> 00:02:10.360]  多託誰 就向誰多要
[00:02:10.360 --> 00:02:17.840]  今天我們思想這段 警醒等候的一段經文
[00:02:18.560 --> 00:02:21.160]  我覺得是非常合時的
[00:02:21.160 --> 00:02:26.280]  在1945年4月的時候
[00:02:26.280 --> 00:02:30.560]  中國經過了八年艱辛的抗戰
[00:02:30.560 --> 00:02:38.080]  我們的軍隊趁著日本軍在太平洋戰役節節敗退
[00:02:38.080 --> 00:02:39.600]  就大舉反攻
[00:02:39.600 --> 00:02:44.880]  在45年6月7月之間 先後收復紐州、貴州
[00:02:45.520 --> 00:02:49.320]  之後八路軍和新四軍就屢敗於日本
[00:02:49.320 --> 00:02:56.240]  收復了華北、華中、華南95萬平方公里的地區
[00:02:56.240 --> 00:03:03.320]  1945年8月 美國在港島和長崎投下原子彈
[00:03:03.320 --> 00:03:08.280]  8月15日 日本的天皇就宣佈無條件的投降
[00:03:08.280 --> 00:03:13.720]  9月9日 日本的江村凌次就在南京
[00:03:14.040 --> 00:03:19.360]  向中國陸軍總司令何應欽將軍遞交投降信
[00:03:19.360 --> 00:03:25.040]  我爸爸是經過了八年抗戰危險
[00:03:25.040 --> 00:03:29.400]  在前方和日本人打游擊戰
[00:03:29.400 --> 00:03:34.080]  隨著這個勝利和全國舉國歡騰
[00:03:34.080 --> 00:03:37.520]  滿以為將來會有好日子過
[00:03:37.520 --> 00:03:41.720]  有誰會想到不夠一年
[00:03:42.440 --> 00:03:44.440]  國共和談失敗
[00:03:44.440 --> 00:03:47.960]  國民黨和共產黨的解放軍
[00:03:47.960 --> 00:03:53.120]  在1946年6月全面爆發內戰
[00:03:53.120 --> 00:03:57.920]  死傷人數不下於八年抗戰
[00:03:57.920 --> 00:04:06.000]  1946年 一般人以為國民黨以強大的數目的兵力
[00:04:06.000 --> 00:04:09.280]  可以很快剿滅共產黨
[00:04:10.800 --> 00:04:13.680]  但是有誰會想到1948年
[00:04:13.680 --> 00:04:17.200]  三場大戰役 即是遼瀋戰役
[00:04:17.200 --> 00:04:21.080]  徐蚌戰役 平津戰役
[00:04:21.080 --> 00:04:25.440]  國民黨的軍隊損失了150萬人
[00:04:25.440 --> 00:04:29.520]  1949年 解放軍渡過長江
[00:04:29.520 --> 00:04:34.200]  沒多久 整個中國落在中共的手裡
[00:04:34.200 --> 00:04:37.160]  蔣介石引退到台灣
[00:04:37.160 --> 00:04:39.880]  1949年10月1日
[00:04:40.120 --> 00:04:44.440]  毛澤東在天安門廣場宣佈成立了中華人民共和國
[00:04:44.440 --> 00:04:52.480]  也啟開了動映台所謂的1949大江大海的時期
[00:04:52.480 --> 00:04:58.280]  我爸爸是30年代
[00:04:58.280 --> 00:05:02.320]  見到日本人侵略中國
[00:05:02.320 --> 00:05:07.000]  他毅然從南美洲回到中國
[00:05:08.160 --> 00:05:10.160]  加入軍校
[00:05:10.160 --> 00:05:13.320]  抗戰期間
[00:05:13.320 --> 00:05:17.680]  是在國民黨的軍隊裡打游擊戰
[00:05:17.680 --> 00:05:21.480]  打完仗之後 都算是一個叫做
[00:05:21.480 --> 00:05:25.720]  有一點點權威的軍官
[00:05:25.720 --> 00:05:31.240]  1949年底 廣州淪陷中共的軍隊
