
[00:00:00.000 --> 00:00:03.420]  《士司記》第四章第五章
[00:00:03.420 --> 00:00:06.960]  今天我們要講第四位士司
[00:00:06.960 --> 00:00:09.540]  上一次我們講了三位士司
[00:00:09.540 --> 00:00:13.340]  今天很特別要講一位女宗的士司
[00:00:13.340 --> 00:00:16.240]  這位女宗的士司就是底波拉
[00:00:16.240 --> 00:00:18.560]  相信大家都很熟悉
[00:00:18.560 --> 00:00:22.480]  今天我給她一個副標題
[00:00:22.480 --> 00:00:26.160]  就叫做「以弱制強的勝利」
[00:00:26.160 --> 00:00:29.260]  為什麼給她一個這樣的標題呢?
[00:00:29.260 --> 00:00:33.460]  稍後你就會看到底波拉真的很有勇氣
[00:00:33.460 --> 00:00:35.760]  她的軍隊只有一萬人
[00:00:35.760 --> 00:00:38.200]  敵人有十萬
[00:00:38.200 --> 00:00:40.620]  還有九百輛戰車
[00:00:40.620 --> 00:00:43.800]  你說以一敵十怎麼打?
[00:00:43.800 --> 00:00:46.200]  這個就是以弱制強
[00:00:46.200 --> 00:00:50.180]  我們要看到底波拉究竟有什麼秘訣
[00:00:50.180 --> 00:00:52.800]  以致她可以得到勝利
[00:00:52.800 --> 00:00:54.540]  我們都是一樣
[00:00:54.540 --> 00:00:57.380]  其實我們的敵人是誰?
[00:00:57.380 --> 00:00:58.460]  是撒旦
[00:00:58.460 --> 00:00:59.980]  比我們強
[00:00:59.980 --> 00:01:01.720]  怎止十倍
[00:01:01.720 --> 00:01:04.100]  所以我們亦都需要學習
[00:01:04.100 --> 00:01:06.600]  如何以弱制強
[00:01:06.600 --> 00:01:08.740]  能夠得到勝利
[00:01:08.740 --> 00:01:11.700]  所以這就是我們今天的副標題
[00:01:11.700 --> 00:01:15.000]  首先,少許背景
[00:01:15.000 --> 00:01:17.360]  就是上一次我們講到
[00:01:17.360 --> 00:01:19.700]  第三位士司
[00:01:19.700 --> 00:01:22.640]  第三位士司是山家
[00:01:22.640 --> 00:01:25.280]  第二位士司是爾弗
[00:01:25.840 --> 00:01:30.340]  我們講過士司在士司記的時代
[00:01:30.340 --> 00:01:33.520]  有幾個士司可能同時出現
[00:01:33.520 --> 00:01:36.240]  現在經文是講到
[00:01:36.240 --> 00:01:39.440]  爾弗死了之後的事
[00:01:39.440 --> 00:01:41.840]  因為爾弗的緣故
[00:01:41.840 --> 00:01:46.240]  以色列人享受了一共有八十年的太平
[00:01:46.240 --> 00:01:49.240]  這可以說是在士司記裏面
[00:01:49.240 --> 00:01:52.500]  以色列人得到最長的安逸
[00:01:53.120 --> 00:01:56.400]  但很可惜,爾弗死了之後怎樣?
[00:01:56.400 --> 00:01:59.540]  以色列人就轉回惡行
[00:01:59.540 --> 00:02:03.240]  去行耶和華眼中唯惡的事
[00:02:03.240 --> 00:02:04.860]  剛才我們都讀過
[00:02:04.860 --> 00:02:07.200]  士司記的四章一節
[00:02:07.200 --> 00:02:08.540]  喏
[00:02:08.540 --> 00:02:10.440]  士司在的時候
[00:02:10.440 --> 00:02:13.240]  以色列人就聽神的話
[00:02:13.240 --> 00:02:15.480]  但士司死了
[00:02:15.480 --> 00:02:18.260]  他們就回去拜偶像
[00:02:18.260 --> 00:02:20.680]  問題在哪裏?
[00:02:20.680 --> 00:02:25.160]  問題是他們沒有一個真正內心的改變
[00:02:25.160 --> 00:02:29.980]  耶穌基督在世的時候曾經講過一個比喻
[00:02:29.980 --> 00:02:32.980]  就是在《萬太福音》的十二章
[00:02:32.980 --> 00:02:35.600]  烏鬼上身的比喻
[00:02:35.600 --> 00:02:37.580]  耶穌基督說
[00:02:37.580 --> 00:02:40.080]  有個人有烏鬼上身
[00:02:40.080 --> 00:02:44.560]  但後來有人將這個烏鬼趕出去了
[00:02:44.560 --> 00:02:46.660]  這個人認為沒問題了
[00:02:46.660 --> 00:02:48.860]  他的身體打掃乾淨了
[00:02:48.860 --> 00:02:52.560]  但因為他沒有一個真正內心的改變
[00:02:52.560 --> 00:02:57.020]  他沒有一個真正去敬拜神的心
[00:02:57.020 --> 00:02:59.920]  他被魔鬼佔據之後
[00:02:59.920 --> 00:03:00.860]  他應該怎樣?
[00:03:00.860 --> 00:03:03.260]  把鬼趕出去了,他就應該敬拜神
[00:03:03.260 --> 00:03:05.780]  但他沒有一個內心的改變
[00:03:05.780 --> 00:03:10.260]  所以這隻烏鬼又帶另外七隻烏鬼
[00:03:10.260 --> 00:03:12.640]  一起上了這個人身上
[00:03:12.640 --> 00:03:13.640]  嘩
[00:03:13.640 --> 00:03:15.140]  以前只有一隻烏鬼
