
[00:00:00.000 --> 00:00:02.000]  看節目我們一同禱告
[00:00:02.000 --> 00:00:07.280]  全靈的父神愛我主耶穌基督
[00:00:07.280 --> 00:00:09.920]  在我們心中工作
[00:00:09.920 --> 00:00:10.920]  感動我們
[00:00:10.920 --> 00:00:12.920]  讓我們進入真理的聖靈
[00:00:12.920 --> 00:00:17.360]  懇求祢圓立我們眾人在祢面前的時刻
[00:00:17.360 --> 00:00:19.360]  我們口裡的言語
[00:00:19.360 --> 00:00:22.080]  心裡的意念都能夠夢裡的圓立
[00:00:22.080 --> 00:00:23.560]  誰聽我們的禱告
[00:00:23.560 --> 00:00:25.560]  奉耶穌名字祈求
[00:00:25.560 --> 00:00:29.360]  感謝天父
[00:00:29.360 --> 00:00:31.360]  讓我們今天早上
[00:00:31.360 --> 00:00:33.360]  在一個復活節的上午
[00:00:33.360 --> 00:00:35.360]  我們可以一同去敬拜
[00:00:35.360 --> 00:00:37.360]  去讚美
[00:00:37.360 --> 00:00:39.360]  去感謝這位愛我們的主
[00:00:39.360 --> 00:00:42.360]  耶穌基督的復活
[00:00:42.360 --> 00:00:45.360]  除了是二千多年前
[00:00:45.360 --> 00:00:47.360]  一個歷史的事實
[00:00:47.360 --> 00:00:52.360]  是對當時的門徒們一個很大的激勵
[00:00:52.360 --> 00:00:56.360]  因為門徒們已經是心裡很沮喪
[00:00:57.360 --> 00:00:59.360]  他們跟隨了三年的耶穌
[00:00:59.360 --> 00:01:01.360]  居然被釘死
[00:01:01.360 --> 00:01:03.360]  不單釘死
[00:01:03.360 --> 00:01:07.360]  弊在門徒去墳墓找的時候
[00:01:07.360 --> 00:01:09.360]  找不到屍體
[00:01:09.360 --> 00:01:15.360]  這件事令到當時的門徒們真的很迷茫
[00:01:15.360 --> 00:01:17.360]  可能我們今天
[00:01:17.360 --> 00:01:19.360]  回看歷史的時候覺得
[00:01:19.360 --> 00:01:20.360]  哪有這樣的
[00:01:20.360 --> 00:01:21.360]  信就信,不信就不信
[00:01:21.360 --> 00:01:23.360]  其實他們不是不信
[00:01:23.360 --> 00:01:26.360]  在一個疑幻疑新的社會中間
[00:01:26.360 --> 00:01:28.360]  為什麼呢?
[00:01:28.360 --> 00:01:30.360]  因為按道理他們想到的復活
[00:01:30.360 --> 00:01:32.360]  就是身體重新挾起來
[00:01:32.360 --> 00:01:35.360]  是不是重新挾起來呢?
[00:01:35.360 --> 00:01:39.360]  應該顯現在人間就是這件事
[00:01:39.360 --> 00:01:42.360]  有三年多跟他們一同生活
[00:01:42.360 --> 00:01:44.360]  知道他們的言行舉止
[00:01:44.360 --> 00:01:46.360]  誰不知
[00:01:46.360 --> 00:01:48.360]  他們一見到復活之後
[00:01:48.360 --> 00:01:50.360]  很害怕聚會
[00:01:50.360 --> 00:01:51.360]  我們關上門
[00:01:51.360 --> 00:01:52.360]  突然間
[00:01:52.360 --> 00:01:53.360]  顯然在我們中間
[00:01:53.360 --> 00:01:56.360]  原理門平那個人說
[00:01:56.360 --> 00:01:57.360]  這是真的還是假的?
[00:01:57.360 --> 00:01:59.360]  要用理性去想一想
[00:01:59.360 --> 00:02:02.360]  不信的時候
[00:02:02.360 --> 00:02:03.360]  你摸摸看
[00:02:03.360 --> 00:02:04.360]  有釘痕的
[00:02:04.360 --> 00:02:05.360]  哇
[00:02:05.360 --> 00:02:06.360]  更可怕
[00:02:06.360 --> 00:02:08.360]  所以沒有人敢摸
[00:02:08.360 --> 00:02:10.360]  那四十天裡面
[00:02:10.360 --> 00:02:13.360]  不單單只是這樣
[00:02:13.360 --> 00:02:15.360]  神出神沒
[00:02:15.360 --> 00:02:18.360]  也不是神出神沒
[00:02:18.360 --> 00:02:21.360]  我們用詞比較恰當
[00:02:22.360 --> 00:02:23.360]  還有一件事
[00:02:23.360 --> 00:02:25.360]  他可以吃東西
[00:02:25.360 --> 00:02:29.360]  還會跟他們一起燒烤
[00:02:29.360 --> 00:02:30.360]  烤魚
[00:02:30.360 --> 00:02:31.360]  是不是?
[00:02:31.360 --> 00:02:33.360]  莫名其妙
[00:02:33.360 --> 00:02:35.360]  所以弟兄姊妹
[00:02:35.360 --> 00:02:38.360]  不要以為門徒們當時很幸福
[00:02:38.360 --> 00:02:39.360]  見到耶穌復活之後
[00:02:39.360 --> 00:02:40.360]  心靈壯膽
[00:02:40.360 --> 00:02:42.360]  應該完全沒有懷疑
[00:02:42.360 --> 00:02:43.360]  不
[00:02:43.360 --> 00:02:45.360]  你看《馬德福音》22章
[00:02:45.360 --> 00:02:47.360]  當耶穌要升天那一刻
[00:02:47.360 --> 00:02:50.360]  門徒們去敬拜他
[00:02:50.360 --> 00:02:52.360]  聖經說得很清楚
[00:02:52.360 --> 00:02:55.360]  他們心裡還有疑惑
[00:02:55.360 --> 00:02:58.360]  到底這是真世界還是假世界?
[00:02:58.360 --> 00:03:00.360]  是虛擬世界還是真實世界?
[00:03:00.360 --> 00:03:02.360]  這種情況
[00:03:02.360 --> 00:03:03.360]  我不知道你今天
[00:03:03.360 --> 00:03:04.360]  活在地上的弟兄姊妹
[00:03:04.360 --> 00:03:05.360]  有沒有這樣的感覺?
[00:03:05.360 --> 00:03:06.360]  你到底現在活在的世界
[00:03:06.360 --> 00:03:08.360]  是真世界還是假世界?
[00:03:08.360 --> 00:03:11.360]  是充滿了公義的世界
[00:03:11.360 --> 00:03:12.360]  還是邪惡的世界?
[00:03:12.360 --> 00:03:15.360]  你說那些不等洗的人
[00:03:15.360 --> 00:03:17.360]  做一些狐狸爭刀的事
[00:03:17.360 --> 00:03:19.360]  你就當他們在耍花樣
[00:03:19.360 --> 00:03:22.360]  那些政壇要民要人
[00:03:22.360 --> 00:03:24.360]  都是在耍花樣
[00:03:24.360 --> 00:03:27.360]  但耍得來又有那麼多人
[00:03:27.360 --> 00:03:29.360]  跟他們一起拍手
[00:03:29.360 --> 00:03:32.360]  這個社會已經到了混亂的地步
[00:03:32.360 --> 00:03:33.360]  我們很多時候
[00:03:33.360 --> 00:03:35.360]  主要都說這是什麼世界?
[00:03:35.360 --> 00:03:38.360]  若然歐洲有一個國家
[00:03:38.360 --> 00:03:41.360]  將來立法通過之後
[00:03:41.360 --> 00:03:43.360]  只要你認為自己是男人
[00:03:43.360 --> 00:03:44.360]  就可以做男人
[00:03:44.360 --> 00:03:45.360]  只要簽了約之後
[00:03:45.360 --> 00:03:47.360]  我是女人就可以做女人
[00:03:47.360 --> 00:03:49.360]  那這個世界真是什麼世界?
[00:03:49.360 --> 00:03:53.360]  全部是不分男女的世界
[00:03:53.360 --> 00:03:56.360]  因為我想這樣
[00:03:56.360 --> 00:03:58.360]  我就要這樣
[00:03:58.360 --> 00:04:00.360]  我話之理
[00:04:00.360 --> 00:04:03.360]  他們接受自然律
[00:04:03.360 --> 00:04:06.360]  但不相信管理自然律的位置
