
[00:00:00.000 --> 00:00:02.000]  各位親愛的義務所同學、大英節目,你們好
[00:00:02.000 --> 00:00:04.000]  我很感謝你們給予我機會
[00:00:04.000 --> 00:00:07.000]  和大家一起來探討職場上的一些體會
[00:00:07.000 --> 00:00:10.000]  如果沒有了你們的邀請
[00:00:10.000 --> 00:00:14.000]  可能我會一直都在看《聖經》
[00:00:14.000 --> 00:00:17.000]  但是未必會這麼深的去體會
[00:00:17.000 --> 00:00:20.000]  或者去研究關於在《聖經》裡
[00:00:20.000 --> 00:00:23.000]  關於勞工階層所面對的事
[00:00:23.000 --> 00:00:25.000]  上一次和大家在《舊約》裡看到
[00:00:25.000 --> 00:00:30.000]  原來當時都有一些人在工作上受到很大的壓力之下
[00:00:30.000 --> 00:00:31.000]  他們就會怎麼樣呢?
[00:00:31.000 --> 00:00:35.000]  他們就會去要求可不可以讓他們不要做得這麼辛苦呢?
[00:00:35.000 --> 00:00:39.000]  他們都會有公運代表發出這個請求
[00:00:39.000 --> 00:00:43.000]  正如以色列人他們在埃及地圍牢的時候
[00:00:43.000 --> 00:00:49.000]  後來他們就會要求法老王可不可以不要讓他們做得這麼辛苦
[00:00:49.000 --> 00:00:54.000]  當然他們的要求是沒有辦法去實踐的
[00:00:54.000 --> 00:00:59.000]  我們又看到耶羅波安可以說是公運分子
[00:00:59.000 --> 00:01:03.000]  就去對當時的黃羅波安也有發出這個請求
[00:01:03.000 --> 00:01:06.000]  所以我們爭取我們的權利是應該的
[00:01:06.000 --> 00:01:07.000]  但是我們要很小心
[00:01:07.000 --> 00:01:10.000]  我們都不要剝削我們僱主的權利
[00:01:10.000 --> 00:01:13.000]  我們看到原來奴隸做滿了六天之後
[00:01:13.000 --> 00:01:15.000]  他就離開的時候
[00:01:15.000 --> 00:01:18.000]  那個僱主是要送多少禮物給他的?
[00:01:18.000 --> 00:01:21.000]  這不是今天的約滿酬金嗎?
[00:01:21.000 --> 00:01:24.000]  大家如果沒有上上那兩課
[00:01:24.000 --> 00:01:28.000]  你可以在教會的網頁或者YouTube裡面
[00:01:28.000 --> 00:01:30.000]  可以再來看的
[00:01:30.000 --> 00:01:32.000]  在這裡再一次多謝我們的牧者
[00:01:32.000 --> 00:01:34.000]  為我們做後期製作
[00:01:34.000 --> 00:01:39.000]  將我的講道和PowerPoint同一時間放出來
[00:01:39.000 --> 00:01:41.000]  今天我們就會看新約
[00:01:41.000 --> 00:01:45.000]  我們會留意一下耶穌說不少比喻
[00:01:45.000 --> 00:01:49.000]  原來耶穌所說的比喻有時候都跟工作有關的
[00:01:49.000 --> 00:01:53.000]  我們特別抽三個比喻來看
[00:01:53.000 --> 00:01:57.000]  當中有些都令我們覺得為什麼會這樣呢?
[00:01:57.000 --> 00:01:58.000]  很簡單
[00:01:58.000 --> 00:02:01.000]  第一個比喻就是學世界仔
[00:02:01.000 --> 00:02:08.000]  我們先看《盧家福音》第16章第1到第12節
[00:02:08.000 --> 00:02:11.000]  它說到耶穌又對他門徒說
[00:02:11.000 --> 00:02:14.000]  有一個財主的管家
[00:02:14.000 --> 00:02:18.000]  別人向他主人告他浪費主人的財物
[00:02:18.000 --> 00:02:21.000]  主人叫他來對他說
[00:02:21.000 --> 00:02:24.000]  我聽見你這事怎麼樣呢?
[00:02:24.000 --> 00:02:28.000]  把你所經管的交代明白
[00:02:28.000 --> 00:02:31.000]  因你不能再作我的管家
[00:02:31.000 --> 00:02:33.000]  但管家心裡說
[00:02:33.000 --> 00:02:36.000]  主人恥我,不用我再作管家
[00:02:36.000 --> 00:02:38.000]  我將來做什麼?
[00:02:38.000 --> 00:02:39.000]  鋤地呢?
[00:02:39.000 --> 00:02:40.000]  無力
[00:02:40.000 --> 00:02:41.000]  土飯呢?
[00:02:41.000 --> 00:02:43.000]  怕羞
[00:02:43.000 --> 00:02:45.000]  我知道怎麼行
[00:02:45.000 --> 00:02:48.000]  好叫人在我不作管家之後
[00:02:48.000 --> 00:02:50.000]  接我到他們家裡去
[00:02:50.000 --> 00:02:51.000]  於是
[00:02:51.000 --> 00:02:56.000]  把欠主人債的一個一個地叫了來
[00:02:56.000 --> 00:02:57.000]  問頭一個說
[00:02:57.000 --> 00:03:00.000]  你欠主人多少?
[00:03:00.000 --> 00:03:03.000]  他說一百二十
[00:03:03.000 --> 00:03:04.000]  管家說
[00:03:04.000 --> 00:03:07.000]  拿你的帳坐下寫五十
[00:03:07.000 --> 00:03:09.000]  又問一個說
[00:03:09.000 --> 00:03:10.000]  你欠多少?
[00:03:10.000 --> 00:03:13.000]  他說一百錫物紙
[00:03:13.000 --> 00:03:14.000]  管家說
[00:03:14.000 --> 00:03:17.000]  拿你的帳寫八十
[00:03:17.000 --> 00:03:21.000]  主人誇獎這不義的管家做事聰明
[00:03:21.000 --> 00:03:25.000]  今世之子在世事之上
[00:03:25.000 --> 00:03:28.000]  教給光明之子更聰明
[00:03:28.000 --> 00:03:32.000]  這一段經文我想最令我們感到質疑就是
[00:03:32.000 --> 00:03:35.000]  為什麼主人會質疑這個
[00:03:35.000 --> 00:03:36.000]  不是質疑
[00:03:36.000 --> 00:03:39.000]  是讚賞這個不義的管家呢?
[00:03:39.000 --> 00:03:40.000]  第九節
[00:03:40.000 --> 00:03:44.000]  我告訴你們要藉著不義的錢財結交朋友
[00:03:44.000 --> 00:03:47.000]  到了錢財無用的時候
[00:03:47.000 --> 00:03:51.000]  他們可以接你們到永存的帳篷裡去
[00:03:51.000 --> 00:03:53.000]  人在最小的事上忠心
[00:03:53.000 --> 00:03:55.000]  在大事上也忠心
[00:03:55.000 --> 00:03:57.000]  在最小的事上不義
[00:03:57.000 --> 00:04:00.000]  在大事上也不義
[00:04:00.000 --> 00:04:03.000]  倘若你們在不義的錢財上不忠心
[00:04:03.000 --> 00:04:07.000]  誰說不把真實的錢財托付你們呢?
[00:04:07.000 --> 00:04:10.000]  倘若你們在別人的東西上不忠心
[00:04:10.000 --> 00:04:14.000]  誰說不把你們自己的東西給你們呢?
[00:04:14.000 --> 00:04:17.000]  在這一段經文裡
[00:04:17.000 --> 00:04:19.000]  我們就會體會到
[00:04:19.000 --> 00:04:22.000]  這個世界仔很聰明
[00:04:22.000 --> 00:04:25.000]  原來他知道主人辭退他的時候
[00:04:25.000 --> 00:04:29.000]  他就為自己預備了很多的延後利益
[00:04:29.000 --> 00:04:35.000]  延後利益都是我們現在這個年代裡術語的利益
[00:04:35.000 --> 00:04:37.000]  我們先看一件事
[00:04:37.000 --> 00:04:39.000]  其實我們每一個人
[00:04:39.000 --> 00:04:42.000]  都應該知道自己的長處
[00:04:42.000 --> 00:04:45.000]  也都知道自己的短處
[00:04:45.000 --> 00:04:49.000]  當管家知道主人會辭退他的時候
[00:04:49.000 --> 00:04:51.000]  他就在想
[00:04:51.000 --> 00:04:54.000]  第三節 管家心裡說
[00:04:54.000 --> 00:04:56.000]  主人來辭我
[00:04:56.000 --> 00:04:59.000]  我沒有再這份工作了 那怎麼辦呢?
[00:04:59.000 --> 00:05:03.000]  如果我要帶他到草地做勞工的工作
[00:05:03.000 --> 00:05:05.000]  糟了 我又沒有能力
[00:05:05.000 --> 00:05:09.000]  甚至很可能已經去指指點點做管家
[00:05:09.000 --> 00:05:11.000]  有時候不用做的
[00:05:11.000 --> 00:05:13.000]  只是用手指叫人做事而已
[00:05:13.000 --> 00:05:17.000]  所以如果要去他的低下階層的工作
[00:05:17.000 --> 00:05:19.000]  或者勞動階層的工作
[00:05:19.000 --> 00:05:21.000]  他就覺得自己沒有能力
[00:05:21.000 --> 00:05:23.000]  糟了 沒有錢 吃黑食嗎?
[00:05:23.000 --> 00:05:26.000]  沒有面子的 我都認識不少朋友了
[00:05:26.000 --> 00:05:29.000]  如果去吃黑食的時候怎麼辦呢?
