
[00:00:00.000 --> 00:00:02.000]  大眼姐妹早安
[00:00:02.000 --> 00:00:04.000]  今日的題目是等
[00:00:04.000 --> 00:00:06.000]  大家有沒有等過一些東西
[00:00:06.000 --> 00:00:08.000]  我想大家都會等的
[00:00:08.000 --> 00:00:12.000]  有一天我去到上環某個地方
[00:00:12.000 --> 00:00:14.000]  走過這個上環的文娛中心
[00:00:14.000 --> 00:00:16.000]  發覺外面有成百人在等
[00:00:16.000 --> 00:00:18.000]  大家看不看到他們在做什麼
[00:00:18.000 --> 00:00:20.000]  很小的一幅畫 看不清楚
[00:00:20.000 --> 00:00:22.000]  我告訴大家
[00:00:22.000 --> 00:00:24.000]  如果zoom進去看到
[00:00:24.000 --> 00:00:26.000]  那些朋友就是拿著手機
[00:00:26.000 --> 00:00:28.000]  看著看著在等
[00:00:28.000 --> 00:00:30.000]  他們在做什麼
[00:00:30.000 --> 00:00:32.000]  嘩 好厲害呀
[00:00:32.000 --> 00:00:34.000]  Ivy你知道嗎 你是不是也有份捉過
[00:00:34.000 --> 00:00:36.000]  是呀 他們在玩Pokemon
[00:00:36.000 --> 00:00:38.000]  捉精靈
[00:00:38.000 --> 00:00:40.000]  百多人在等 很厲害呀
[00:00:40.000 --> 00:00:42.000]  這個場面我很少見的
[00:00:42.000 --> 00:00:44.000]  拿著手機在等
[00:00:44.000 --> 00:00:46.000]  而且不是等一分鐘兩分鐘
[00:00:46.000 --> 00:00:48.000]  我站在這裡五分鐘
[00:00:48.000 --> 00:00:50.000]  我猜他們也等了二十多三十分鐘
[00:00:50.000 --> 00:00:52.000]  我不知怎樣玩 但覺得很有意思
[00:00:52.000 --> 00:00:54.000]  有一群人可以站在一起
[00:00:54.000 --> 00:00:56.000]  聚集在一起等某樣東西
[00:00:56.000 --> 00:00:58.000]  我在Facebook上也看到
[00:00:58.000 --> 00:01:00.000]  又按不到了
[00:01:00.000 --> 00:01:04.000]  有個朋友在Facebook上
[00:01:04.000 --> 00:01:06.000]  post了一段說話
[00:01:06.000 --> 00:01:08.000]  他說
[00:01:08.000 --> 00:01:10.000]  太太約了我三點半
[00:01:10.000 --> 00:01:12.000]  但現在已經四點九了
[00:01:12.000 --> 00:01:14.000]  我打電話給他 他只回覆我一句
[00:01:14.000 --> 00:01:16.000]  我快到了 接著就掛線
[00:01:16.000 --> 00:01:18.000]  我快到了 接著就掛線
[00:01:18.000 --> 00:01:20.000]  如果你是先生你會怎樣 很生氣
[00:01:20.000 --> 00:01:22.000]  接著他就說
[00:01:22.000 --> 00:01:24.000]  唯有現在搶著手 永不放棄
[00:01:24.000 --> 00:01:26.000]  接著來為自己打氣
[00:01:26.000 --> 00:01:28.000]  接著他說我忍忍忍
[00:01:28.000 --> 00:01:30.000]  有沒有試過這樣去等人
[00:01:30.000 --> 00:01:32.000]  心情是怎樣的
[00:01:32.000 --> 00:01:34.000]  很忐忑 很生氣
[00:01:34.000 --> 00:01:36.000]  很多複雜的情緒在裡面
[00:01:36.000 --> 00:01:38.000]  接著我自己最近也在等
[00:01:38.000 --> 00:01:40.000]  等過夜
[00:01:40.000 --> 00:01:42.000]  有一次晚上八點多的時間
[00:01:42.000 --> 00:01:44.000]  我在紅磡巴士站
[00:01:44.000 --> 00:01:46.000]  想著坐巴士回我住的地方
[00:01:46.000 --> 00:01:48.000]  筲箕灣 問大家一個問題
[00:01:48.000 --> 00:01:50.000]  坐什麼巴士是最快
[00:01:52.000 --> 00:01:54.000]  一二一零 還有沒有其他答案
[00:01:54.000 --> 00:01:56.000]  一一零 你答的是不是一零
[00:01:56.000 --> 00:01:58.000]  你也認識 真的厲害
[00:01:58.000 --> 00:02:00.000]  一零很快的 走東區走廊
[00:02:00.000 --> 00:02:02.000]  很快的到北角
[00:02:02.000 --> 00:02:04.000]  接著很快的就到筲箕灣
[00:02:04.000 --> 00:02:06.000]  我也很聰明 我選擇了一零
[00:02:06.000 --> 00:02:08.000]  誰知道我等了很久也沒有車
[00:02:08.000 --> 00:02:10.000]  誰知道我等了很久也沒有車
[00:02:10.000 --> 00:02:12.000]  沒有 怎麼你知道
[00:02:12.000 --> 00:02:14.000]  走工
[00:02:14.000 --> 00:02:16.000]  我等了一整天 你真的要早點告訴我
[00:02:16.000 --> 00:02:18.000]  我在這裡等了二十多分鐘
[00:02:18.000 --> 00:02:20.000]  接著為什麼沒有車
[00:02:20.000 --> 00:02:22.000]  有一輛一零二零不停的走
[00:02:22.000 --> 00:02:24.000]  我堅持在這裡等一零
[00:02:24.000 --> 00:02:26.000]  等了很久也沒有
[00:02:26.000 --> 00:02:28.000]  誰知道原來八點就發尾班車
[00:02:28.000 --> 00:02:30.000]  接著我根本等不到這班車
[00:02:30.000 --> 00:02:32.000]  但是我自己一個人在這裡等
[00:02:32.000 --> 00:02:34.000]  有沒有人告訴我
[00:02:34.000 --> 00:02:36.000]  後來我發覺原來看牌子寫著
[00:02:36.000 --> 00:02:38.000]  不好意思 你早就沒有車了
[00:02:38.000 --> 00:02:40.000]  讓我思考一個問題
[00:02:40.000 --> 00:02:42.000]  我們等的過程當中
[00:02:42.000 --> 00:02:44.000]  如果我們不看清楚指示的時候
[00:02:44.000 --> 00:02:46.000]  我們有時候也會很麻煩
[00:02:46.000 --> 00:02:48.000]  回到聖經裏面
[00:02:48.000 --> 00:02:50.000]  我們有時候也要等待
[00:02:50.000 --> 00:02:52.000]  我們需要等的時間 我們問幾個問題
[00:02:52.000 --> 00:02:54.000]  我們到底在等什麼
[00:02:54.000 --> 00:02:56.000]  為什麼我們需要等
[00:02:56.000 --> 00:02:58.000]  還有我們等的過程
[00:02:58.000 --> 00:03:00.000]  我們應該怎樣去等待
[00:03:00.000 --> 00:03:02.000]  我們等耶穌基督回來的時候
[00:03:02.000 --> 00:03:04.000]  我們到底應該怎樣等
[00:03:04.000 --> 00:03:06.000]  聖經有沒有告訴我們
[00:03:06.000 --> 00:03:08.000]  肯定有告訴我們怎樣等
[00:03:08.000 --> 00:03:10.000]  但是如果我們沒有留意
[00:03:10.000 --> 00:03:12.000]  沒有專心去思想
[00:03:12.000 --> 00:03:14.000]  去進行的時間 就會有很大的損失
[00:03:14.000 --> 00:03:16.000]  今天經文裏面
[00:03:16.000 --> 00:03:18.000]  一開始的時候 耶和華說
[00:03:18.000 --> 00:03:20.000]  你們要等候我
[00:03:20.000 --> 00:03:22.000]  神要以斯利文等候的日子
[00:03:22.000 --> 00:03:24.000]  就是耶和華的日子
