
[00:00:00.000 --> 00:00:05.000]  在路加夫音二十四章十三到五十節記載
[00:00:05.000 --> 00:00:07.000]  在二馬五司這條路上
[00:00:07.000 --> 00:00:11.000]  復活的主耶穌基督向兩個人顯現
[00:00:11.000 --> 00:00:13.000]  和他們一起行
[00:00:13.000 --> 00:00:17.000]  不過這兩個人都看不到耶穌就在他們身邊
[00:00:17.000 --> 00:00:21.000]  可能是因為他們對耶穌之前已經死去
[00:00:21.000 --> 00:00:23.000]  是極度的失望
[00:00:23.000 --> 00:00:26.000]  他們看不到耶穌就在他們身邊
[00:00:26.000 --> 00:00:30.000]  是極度的失望
[00:00:30.000 --> 00:00:33.000]  所以令他們的眼睛有點模糊
[00:00:33.000 --> 00:00:36.000]  又可能是因為心中的妄言
[00:00:36.000 --> 00:00:38.000]  看不到身邊的事物
[00:00:38.000 --> 00:00:40.000]  為什麼要離開耶路撒冷
[00:00:40.000 --> 00:00:43.000]  這個宗教核心的地點
[00:00:43.000 --> 00:00:46.000]  又可能是因為他們在那裡找不到
[00:00:46.000 --> 00:00:48.000]  期待得到的東西
[00:00:48.000 --> 00:00:50.000]  又或者在逃避
[00:00:50.000 --> 00:00:52.000]  想去別處找答案
[00:00:52.000 --> 00:00:56.000]  今天你可能也走在一條二馬五司的路上
[00:00:56.000 --> 00:00:58.000]  你要離開耶路撒冷
[00:00:58.000 --> 00:01:01.000]  就是你信仰你信心的核心
[00:01:01.000 --> 00:01:04.000]  你對現實的景況很失望
[00:01:04.000 --> 00:01:06.000]  很灰心 很無助
[00:01:06.000 --> 00:01:10.000]  你對自己的信仰開始冷淡
[00:01:10.000 --> 00:01:13.000]  因為那裡沒有你心中想要的東西
[00:01:13.000 --> 00:01:15.000]  這段經文提醒我們
[00:01:15.000 --> 00:01:17.000]  耶穌就在我們當中
[00:01:17.000 --> 00:01:20.000]  祂不斷在我們旁邊向我們說話
[00:01:20.000 --> 00:01:23.000]  只不過是我們聽不到
[00:01:23.000 --> 00:01:27.000]  頂姐妹我鼓勵你用心去讀聖經
[00:01:27.000 --> 00:01:30.000]  靜心去聆聽上帝的聲音
[00:01:30.000 --> 00:01:35.000]  細心去察看上帝在我們身邊的同在
[00:01:35.000 --> 00:01:37.000]  抓緊上帝的應許
[00:01:37.000 --> 00:01:41.000]  將人生的焦點重新對準在上帝那裡
[00:01:41.000 --> 00:01:43.000]  希望好像這兩個人那樣
[00:01:43.000 --> 00:01:45.000]  你立即就起身
[00:01:45.000 --> 00:01:47.000]  回到耶路撒冷
[00:01:47.000 --> 00:01:49.000]  重拾你的信仰
[00:01:50.000 --> 00:01:53.000]  由 Amara.org 社群提供的字幕
