
[00:00:00.000 --> 00:00:02.000]  大圈姐妹早晨
[00:00:02.000 --> 00:00:06.000]  今時今日我們可以有實體的敬拜
[00:00:06.000 --> 00:00:08.000]  我們感不感恩
[00:00:08.000 --> 00:00:10.000]  好感恩
[00:00:10.000 --> 00:00:14.000]  近排疫情開始飆升
[00:00:14.000 --> 00:00:21.000]  我們不知道會不會有些收緊的社交措施
[00:00:21.000 --> 00:00:23.000]  我們都好驚
[00:00:23.000 --> 00:00:28.000]  到時有沒有實體崇拜
[00:00:28.000 --> 00:00:31.000]  我記得我上次來尖陣港島的時候
[00:00:31.000 --> 00:00:35.000]  眼前空無一人
[00:00:35.000 --> 00:00:39.000]  或者是不見一人只見耶穌
[00:00:39.000 --> 00:00:42.000]  當時的疫情很嚴峻
[00:00:42.000 --> 00:00:46.000]  所以印象都好深刻
[00:00:46.000 --> 00:00:47.000]  但今早好感恩
[00:00:47.000 --> 00:00:48.000]  當我來到這裏的時候
[00:00:48.000 --> 00:00:50.000]  和大家一起去敬拜
[00:00:50.000 --> 00:00:53.000]  心裏面得到好大的鼓勵
[00:00:53.000 --> 00:00:56.000]  因為可以見到好多大圈姐妹
[00:00:56.000 --> 00:00:59.000]  一起有回應
[00:00:59.000 --> 00:01:02.000]  一起去唱詩
[00:01:02.000 --> 00:01:04.000]  感恩去祈禱
[00:01:04.000 --> 00:01:06.000]  其實能夠有這樣的機會
[00:01:06.000 --> 00:01:08.000]  實在是要好感恩
[00:01:08.000 --> 00:01:10.000]  好珍惜這個機會
[00:01:10.000 --> 00:01:14.000]  今早和大家思想的這段聖經
[00:01:14.000 --> 00:01:16.000]  大家都很熟悉
[00:01:16.000 --> 00:01:21.000]  就是耶穌醫治兩個的客子
[00:01:21.000 --> 00:01:24.000]  經文正話都讀了
[00:01:24.000 --> 00:01:28.000]  不過我們進入這段聖經分享之前
[00:01:28.000 --> 00:01:32.000]  可能有兩個問題要先解決
[00:01:32.000 --> 00:01:34.000]  第一個問題就是
[00:01:34.000 --> 00:01:40.000]  馬太的記載和馬可路加有些出入
[00:01:40.000 --> 00:01:42.000]  有些什麼出入呢
[00:01:42.000 --> 00:01:47.000]  因為馬太記載耶穌出耶利哥
[00:01:47.000 --> 00:01:51.000]  而馬可路加記載耶穌入耶利哥
[00:01:51.000 --> 00:01:54.000]  是不是真的有出入
[00:01:54.000 --> 00:01:57.000]  這個出入怎麼解釋呢
[00:01:57.000 --> 00:01:59.000]  解經家告訴我們
[00:01:59.000 --> 00:02:03.000]  原來耶穌時代有兩座耶利哥城
[00:02:03.000 --> 00:02:05.000]  一座是舊城
[00:02:05.000 --> 00:02:07.000]  一座是新城
[00:02:07.000 --> 00:02:10.000]  而這兩座城的距離都很接近
[00:02:10.000 --> 00:02:13.000]  所以你說耶穌出耶利哥也行
[00:02:13.000 --> 00:02:14.000]  耶穌什麼
[00:02:14.000 --> 00:02:16.000]  入耶利哥也行
[00:02:16.000 --> 00:02:24.000]  不過出入是看作者的重點是如何去描述
