
[00:00:00.000 --> 00:00:03.000]  各位早晨 我想問下大家
[00:00:03.000 --> 00:00:07.000]  你信耶穌之前有冇拜過其他神嗎?
[00:00:07.000 --> 00:00:12.000]  有些人搖頭 有些人笑 笑是甚麼意思呀?
[00:00:12.000 --> 00:00:17.000]  你不用怕喔 我不會揶揄你
[00:00:17.000 --> 00:00:19.000]  有冇人拜觀音的 以前?
[00:00:19.000 --> 00:00:22.000]  有冇人說 其實我都唔知那是甚麼神來的
[00:00:22.000 --> 00:00:26.000]  總之就裝下香 又唔知做啲咩啦 有冇呀?
[00:00:27.000 --> 00:00:32.000]  有 祖堂的人坦白啲 你地好似有啲含蓄
[00:00:32.000 --> 00:00:37.000]  我唔知 可能大家都有 不過唔好意思講
[00:00:37.000 --> 00:00:41.000]  我唔知你當時拜神的目的是甚麼呢?
[00:00:41.000 --> 00:00:44.000]  我發覺在香港或者是華人社會
[00:00:44.000 --> 00:00:49.000]  我發覺中國人總之就乜都可以拜一餐
[00:00:49.000 --> 00:00:53.000]  譬如我們可以拜大自然的神 譬如一塊石頭
[00:00:53.000 --> 00:00:56.000]  你知道我們香港有一塊姻緣石
[00:00:56.000 --> 00:00:59.000]  在茶果嶺有一塊求子石
[00:00:59.000 --> 00:01:02.000]  另外我們又會拜一些宗教的神志
[00:01:02.000 --> 00:01:03.000]  譬如觀音陪薩
[00:01:03.000 --> 00:01:08.000]  我聽過有些人小時候就給家裏過繼了給觀音
[00:01:08.000 --> 00:01:14.000]  又有些人會拜那些已經去世的親人
[00:01:14.000 --> 00:01:17.000]  我們又當他好像神一樣
[00:01:17.000 --> 00:01:20.000]  或者我們又會拜一些所謂的人神
[00:01:20.000 --> 00:01:23.000]  人神就是指那些英雄豪傑
[00:01:23.000 --> 00:01:31.000]  他們死了之後就被升級成為神
[00:01:31.000 --> 00:01:33.000]  受到很多人的膜拜
[00:01:33.000 --> 00:01:36.000]  譬如關羽 岳飛
[00:01:36.000 --> 00:01:40.000]  你見到在警察局或者一些社團裏面
[00:01:40.000 --> 00:01:44.000]  都會拜關公
[00:01:44.000 --> 00:01:48.000]  都唔知幫警察好還是幫賊好
[00:01:48.000 --> 00:01:51.000]  或者我們又會拜一些民間流傳的神
[00:01:51.000 --> 00:01:55.000]  譬如到新年的時候你最想誰去你那裏
[00:01:55.000 --> 00:01:57.000]  財神啦 當然
[00:01:57.000 --> 00:01:59.000]  還有我們會拜門神
[00:01:59.000 --> 00:02:02.000]  甚至我們會拜一些根本都沒有的
[00:02:02.000 --> 00:02:04.000]  子虛烏有的人物
[00:02:04.000 --> 00:02:07.000]  譬如齊天大聖 哪吒
[00:02:07.000 --> 00:02:09.000]  這些小說的人物
[00:02:09.000 --> 00:02:12.000]  不知為何我們都會當他們神一樣拜
[00:02:12.000 --> 00:02:15.000]  如果我們細心去留意的話
[00:02:15.000 --> 00:02:16.000]  其實你不難發現的
[00:02:16.000 --> 00:02:18.000]  那些拜神靈的人
[00:02:18.000 --> 00:02:20.000]  其實通常都不知道那些神靈的來歷
[00:02:20.000 --> 00:02:23.000]  亦往往不會理會
[00:02:23.000 --> 00:02:25.000]  祂所拜的神靈是甚麼
[00:02:25.000 --> 00:02:29.000]  甚至明知這些神靈不過是人來的
[00:02:29.000 --> 00:02:31.000]  又或者明知其實祂都不存在
[00:02:31.000 --> 00:02:34.000]  但我們都會像自欺欺人那樣
[00:02:34.000 --> 00:02:36.000]  相信祂們是神
[00:02:36.000 --> 00:02:40.000]  最重要就是你覺得祂靈就行了
[00:02:40.000 --> 00:02:41.000]  祂靈就行了
[00:02:41.000 --> 00:02:44.000]  可以幫到我實際的生活 解決問題
[00:02:44.000 --> 00:02:46.000]  我在這裏想插開一點
[00:02:46.000 --> 00:02:49.000]  剛才我們說我們有時候會拜一些離世的親人
[00:02:49.000 --> 00:02:53.000]  其實我們追念親人是一個非常好的美德
[00:02:53.000 --> 00:02:54.000]  我們中國人
[00:02:54.000 --> 00:02:58.000]  但我們抱著一個追念死去的親人
[00:02:58.000 --> 00:03:00.000]  一個思念的情
[00:03:00.000 --> 00:03:03.000]  就不是當他們神一樣
[00:03:03.000 --> 00:03:04.000]  其實我們不需要當他們神
[00:03:04.000 --> 00:03:06.000]  我們今天說燒香
[00:03:06.000 --> 00:03:09.000]  清明的時候拿一隻燒豬去
[00:03:09.000 --> 00:03:11.000]  其實你想想
[00:03:11.000 --> 00:03:14.000]  你想你的下一代在你生前對你好
[00:03:14.000 --> 00:03:19.000]  還是你死了的時候他拿一支香燒給你
[00:03:19.000 --> 00:03:21.000]  或者拿一隻燒豬去
[00:03:21.000 --> 00:03:23.000]  其實燒豬最後是他們自己吃的
[00:03:23.000 --> 00:03:24.000]  你吃不到的
[00:03:24.000 --> 00:03:28.000]  所以其實我們去世的親人
[00:03:28.000 --> 00:03:30.000]  我們是思念他們 去追思
[00:03:30.000 --> 00:03:33.000]  但他們不是神
[00:03:33.000 --> 00:03:37.000]  很多人說拜得神多自有神庇佑
[00:03:37.000 --> 00:03:40.000]  其實就是希望多拜幾個神
[00:03:40.000 --> 00:03:42.000]  多個神照著我
[00:03:42.000 --> 00:03:45.000]  我的人生路就應該走得好一點
[00:03:45.000 --> 00:03:46.000]  容易過一點
[00:03:46.000 --> 00:03:48.000]  不過我想想
[00:03:48.000 --> 00:03:50.000]  如果我是真神的話
[00:03:50.000 --> 00:03:54.000]  我就應該不會保佑那些什麼都拜的人
[00:03:54.000 --> 00:03:56.000]  因為你這麼花心
[00:03:56.000 --> 00:03:58.000]  老實說我是真神
[00:03:58.000 --> 00:04:00.000]  我怎會想你又拜我
[00:04:00.000 --> 00:04:02.000]  但同時你又拜那麼多
[00:04:02.000 --> 00:04:07.000]  我當然是保佑很誠心拜我的那個
[00:04:07.000 --> 00:04:08.000]  正常
[00:04:08.000 --> 00:04:10.000]  如果那個真的是真神的話
[00:04:10.000 --> 00:04:12.000]  我也會這樣想
[00:04:12.000 --> 00:04:16.000]  我不知道大家以前拜神又是什麼心態
[00:04:16.000 --> 00:04:18.000]  又或者你今天信耶穌
[00:04:18.000 --> 00:04:23.000]  你會不會都好像以前拜神的心態
[00:04:23.000 --> 00:04:25.000]  就是希望信了耶穌之後
[00:04:25.000 --> 00:04:27.000]  我的人生就一帆風順
[00:04:27.000 --> 00:04:30.000]  沒有災沒有難
[00:04:30.000 --> 00:04:32.000]  不過很可惜
[00:04:32.000 --> 00:04:34.000]  我今天也要告訴大家
[00:04:34.000 --> 00:04:35.000]  你信了耶穌之後
[00:04:35.000 --> 00:04:38.000]  其實不代表你往後的人生是一帆風順
[00:04:38.000 --> 00:04:39.000]  很平坦
[00:04:39.000 --> 00:04:40.000]  萬事亨通
[00:04:40.000 --> 00:04:42.000]  逢凶化吉
[00:04:42.000 --> 00:04:44.000]  由今天主日開始
[00:04:44.000 --> 00:04:47.000]  我和羅牧師的講道會集中在雅各書
[00:04:47.000 --> 00:04:51.000]  所以大家有時間就回家看雅各書
[00:04:51.000 --> 00:04:54.000]  說到這個雅各書
[00:04:54.000 --> 00:05:00.000]  我今天就想簡單來說說雅各書的背景資料
[00:05:00.000 --> 00:05:04.000]  大家知不知道雅各書是誰寫的?
[00:05:04.000 --> 00:05:05.000]  雅各
[00:05:05.000 --> 00:05:06.000]  就是雅各
[00:05:06.000 --> 00:05:10.000]  這個雅各不是耶穌那三個入室弟子之一的雅各
[00:05:10.000 --> 00:05:13.000]  這個雅各就是耶穌的親兄弟
[00:05:13.000 --> 00:05:17.000]  這個雅各他之前是不信耶穌的
[00:05:17.000 --> 00:05:20.000]  但是在耶穌復活之後
[00:05:20.000 --> 00:05:23.000]  他曾經向雅各顯現
[00:05:23.000 --> 00:05:26.000]  雅各因此信了耶穌
[00:05:26.000 --> 00:05:27.000]  就是基督
[00:05:27.000 --> 00:05:31.000]  後來他更加成為耶路撒冷教會的領袖
[00:05:31.000 --> 00:05:33.000]  大概在主後62年
[00:05:33.000 --> 00:05:36.000]  為主殉道而死
[00:05:36.000 --> 00:05:38.000]  寫作時間
[00:05:38.000 --> 00:05:40.000]  很多學者都認為
[00:05:40.000 --> 00:05:42.000]  也支持這本書
[00:05:42.000 --> 00:05:47.000]  是寫成於主後的44至50年間
