
[00:00:00.000 --> 00:00:03.760]  我們的信仰是很特別的
[00:00:03.760 --> 00:00:05.680]  我們的主耶穌基督
[00:00:05.680 --> 00:00:07.360]  祂來到這個世界
[00:00:07.360 --> 00:00:10.880]  祂真的不是用一個高高在上
[00:00:10.880 --> 00:00:12.960]  很榮耀的身份
[00:00:12.960 --> 00:00:18.000]  去表達祂是神的兒子
[00:00:18.000 --> 00:00:22.480]  相反地祂是很卑微
[00:00:22.480 --> 00:00:25.200]  是很貧窮
[00:00:25.200 --> 00:00:27.520]  我以為很貧窮又很卑微
[00:00:27.520 --> 00:00:30.720]  人們還覺得祂沒有甚麼學問
[00:00:30.720 --> 00:00:33.520]  因為都不知道祂的師父是誰
[00:00:33.520 --> 00:00:36.000]  如果你說今時今日有學問的人
[00:00:36.000 --> 00:00:38.640]  就會說你是否牛津
[00:00:38.640 --> 00:00:40.720]  或者是哈佛
[00:00:40.720 --> 00:00:42.240]  或者是Hong Kong U
[00:00:42.240 --> 00:00:44.400]  希望Hong Kong U都列入內
[00:00:44.400 --> 00:00:46.320]  或者是UBC
[00:00:46.320 --> 00:00:48.240]  通常人們會說這些學校
[00:00:48.240 --> 00:00:49.760]  如果不是人們會說
[00:00:49.760 --> 00:00:50.480]  你在哪間?
[00:00:50.480 --> 00:00:51.680]  我在那間甚麼甚麼
[00:00:51.680 --> 00:00:52.800]  在哪裏?
[00:00:52.800 --> 00:00:55.280]  那個地方有間這樣的學校嗎?
[00:00:55.280 --> 00:00:58.240]  耶穌基督是沒有這些銜頭的
[00:00:58.240 --> 00:00:59.600]  祂完全沒有
[00:00:59.600 --> 00:01:04.400]  但是甚至如果作為一個領導
[00:01:04.400 --> 00:01:08.000]  祂是被人抓去審
[00:01:08.000 --> 00:01:10.640]  還要死得很慘很淒涼
[00:01:10.640 --> 00:01:17.520]  你說祂有哪一分像是一個領袖?
[00:01:17.520 --> 00:01:20.480]  唯一一件事就是當祂在世上的時候
[00:01:20.480 --> 00:01:22.880]  祂是行神蹟其事
[00:01:22.880 --> 00:01:27.360]  那些反對祂的人都沒有辦法否定祂
[00:01:27.360 --> 00:01:31.680]  祂說一些話令人很驚訝
[00:01:31.680 --> 00:01:34.080]  這麼有權柄的
[00:01:34.080 --> 00:01:35.440]  那些人本來是去抓祂的
[00:01:35.440 --> 00:01:38.080]  覺得祂說話很有權柄
[00:01:38.080 --> 00:01:40.000]  走回頭沒有抓祂
[00:01:40.000 --> 00:01:44.000]  所以耶穌基督就是神的兒子
[00:01:44.000 --> 00:01:46.400]  祂是很謙卑的來到世上
[00:01:46.400 --> 00:01:47.760]  甚至祂死
[00:01:47.760 --> 00:01:49.520]  死就沒有了
[00:01:49.520 --> 00:01:51.280]  死還有甚麼好說的
[00:01:51.280 --> 00:01:53.200]  你多厲害你都死了
[00:01:53.200 --> 00:01:57.040]  但是神的工作就是祂和死類復活
[00:01:57.040 --> 00:01:59.600]  正如我很多時候都說
[00:01:59.600 --> 00:02:01.920]  如果祂不死怎麼可以復活呢?
[00:02:01.920 --> 00:02:04.080]  祂沒有死過怎麼復活呢?
[00:02:04.080 --> 00:02:09.120]  但是這正正是我們的神
[00:02:09.120 --> 00:02:12.400]  很多時候祂的作為就是這樣
[00:02:12.400 --> 00:02:16.800]  今早一路開車回來的時候
[00:02:16.800 --> 00:02:19.120]  聽到一個叫關信輝
[00:02:19.120 --> 00:02:20.240]  我想很多人都聽過
[00:02:20.240 --> 00:02:22.240]  關信輝有沒有聽過?
[00:02:22.240 --> 00:02:25.200]  有沒有聽過一齣戲叫做《五個小孩的校長》?
[00:02:25.200 --> 00:02:26.160]  這個反而聽過
[00:02:26.160 --> 00:02:28.800]  應該是他做導演的是不是?
[00:02:28.800 --> 00:02:29.200]  不知道
[00:02:29.200 --> 00:02:32.400]  我剛才上網看過說是
[00:02:32.400 --> 00:02:33.680]  為甚麼要提他呢?
