
[00:00:00.000 --> 00:00:05.000]  各位聽衆,你有沒有遇過一些出人意表的事?
[00:00:05.000 --> 00:00:09.000]  這個人一直在描述自己
[00:00:09.000 --> 00:00:16.000]  他說,這16年來,我一直過着一些很健康、很有紀律的生活
[00:00:16.000 --> 00:00:20.000]  我又不吸菸,又不喝酒,又不玩遊戲
[00:00:20.000 --> 00:00:25.000]  每天早上6點準時起牀,晚上準時10點睡覺
[00:00:25.000 --> 00:00:29.000]  每天都做運動,非常健康
[00:00:29.000 --> 00:00:32.000]  但是就在一年前
[00:00:32.000 --> 00:00:36.000]  我這個有規律的生活就被完全打亂了
[00:00:36.000 --> 00:00:39.000]  可能大家聽到這個故事的時候
[00:00:39.000 --> 00:00:45.000]  大家在心裏想象,這個人會不會在他人生裏發生一些重大的事故
[00:00:45.000 --> 00:00:48.000]  可能大家想象一些很大的事故
[00:00:48.000 --> 00:00:53.000]  以致他這個有規律的生活就完全被打亂了
[00:00:53.000 --> 00:00:55.000]  原來不是
[00:00:55.000 --> 00:00:59.000]  一年前原來他是出監
[00:00:59.000 --> 00:01:02.000]  由監獄裏面被釋放出來
[00:01:02.000 --> 00:01:04.000]  出人意表
[00:01:04.000 --> 00:01:08.000]  有一天有一個人在上大學的途中
[00:01:08.000 --> 00:01:10.000]  突然間後面有個女生叫他
[00:01:10.000 --> 00:01:16.000]  喂,這位同學,請問A座A樓205課室在哪裏啊?
[00:01:16.000 --> 00:01:18.000]  我叫他上課
[00:01:18.000 --> 00:01:20.000]  哦,這麼巧啊,我現在就去那裏上課
[00:01:20.000 --> 00:01:22.000]  不如我帶你去啊
[00:01:22.000 --> 00:01:26.000]  一路走的時候,這個女生還喋喋不休地說
[00:01:26.000 --> 00:01:29.000]  哎呀,最壞是Amy啦
[00:01:29.000 --> 00:01:33.000]  她昨天又玩通頂,今天課堂也不上
[00:01:33.000 --> 00:01:36.000]  搞到突然間急叫我要帶她上課
[00:01:36.000 --> 00:01:39.000]  又要冒她的名字去籤attendance
[00:01:39.000 --> 00:01:41.000]  一路說blahblahblahblah
[00:01:41.000 --> 00:01:44.000]  說着說着就到了課室
[00:01:44.000 --> 00:01:47.000]  這位女生就選擇了最後一行
[00:01:47.000 --> 00:01:50.000]  因爲帶人上課,冒名籤attendance
[00:01:50.000 --> 00:01:53.000]  就坐在最後一行的位置
[00:01:53.000 --> 00:01:56.000]  但是這個人並沒有停下來
[00:01:56.000 --> 00:01:59.000]  一路走到講臺那裏
[00:01:59.000 --> 00:02:01.000]  原來這個人是誰呢?
[00:02:01.000 --> 00:02:03.000]  就是課堂的教授
[00:02:03.000 --> 00:02:04.000]  意想不到
[00:02:04.000 --> 00:02:06.000]  什麼叫意想不到呢?
[00:02:06.000 --> 00:02:08.000]  就是你以爲事情會這樣發生
[00:02:08.000 --> 00:02:11.000]  但結果不是這樣發生
[00:02:11.000 --> 00:02:13.000]  我們今天講到的經文
[00:02:13.000 --> 00:02:16.000]  是耶穌的家譜
[00:02:16.000 --> 00:02:19.000]  耶穌的家譜也是令人出人意表的
[00:02:19.000 --> 00:02:20.000]  如何出人意表呢?
[00:02:20.000 --> 00:02:22.000]  第一個出人意表就是
[00:02:22.000 --> 00:02:23.000]  你看下去
[00:02:23.000 --> 00:02:25.000]  哇,一些很沉悶
[00:02:25.000 --> 00:02:28.000]  很黑板、很死板的名單
[00:02:28.000 --> 00:02:32.000]  竟然可以提出希望
[00:02:32.000 --> 00:02:35.000]  《馬太福音》的作者是馬太
[00:02:35.000 --> 00:02:37.000]  馬太的職業是稅理
[00:02:37.000 --> 00:02:39.000]  稅理的工作是計數
[00:02:39.000 --> 00:02:41.000]  不知道會不會
[00:02:41.000 --> 00:02:43.000]  計數是非常沉悶的東西
[00:02:43.000 --> 00:02:46.000]  搞到馬太在《馬太福音》的開頭
[00:02:46.000 --> 00:02:47.000]  介紹耶穌的時候
[00:02:47.000 --> 00:02:49.000]  都用一些很沉悶的東西
[00:02:49.000 --> 00:02:50.000]  很黑板的東西
[00:02:50.000 --> 00:02:52.000]  就是耶穌的家譜
[00:02:52.000 --> 00:02:55.000]  相信有很多靖姐妹
[00:02:55.000 --> 00:02:57.000]  臨修的時候
[00:02:57.000 --> 00:02:59.000]  臨修到去《馬太福音》的家譜
[00:02:59.000 --> 00:03:00.000]  或者其他的家譜
[00:03:00.000 --> 00:03:03.000]  都很自然跳過了
[00:03:03.000 --> 00:03:04.000]  除了相悶
[00:03:04.000 --> 00:03:05.000]  我自己也要認罪
[00:03:05.000 --> 00:03:07.000]  因爲很多次臨修我都跳過了
