
[00:00:00.000 --> 00:00:04.000]  今天跟大家講詩篇121篇
[00:00:04.000 --> 00:00:09.000]  我的幫助從何而來
[00:00:09.000 --> 00:00:14.000]  詩篇121篇是稱為上行之詩
[00:00:14.000 --> 00:00:17.000]  在聖經裏面有15首上行之詩
[00:00:17.000 --> 00:00:19.000]  這是其中一首
[00:00:19.000 --> 00:00:23.000]  這一首也是我個人最喜歡的一首
[00:00:23.000 --> 00:00:27.000]  我認為也是最精彩的一首
[00:00:27.000 --> 00:00:29.000]  什麼叫做上行之詩呢
[00:00:29.000 --> 00:00:36.000]  意思就是朝聖者之詩或者朝聖者之歌
[00:00:36.000 --> 00:00:41.000]  如果用今天現代的信仰生活來做比喻
[00:00:41.000 --> 00:00:46.000]  就是我們信徒去禮拜堂敬拜神的時候
[00:00:46.000 --> 00:00:50.000]  整個過程之中的感受
[00:00:50.000 --> 00:00:54.000]  那個過程的心聲
[00:00:54.000 --> 00:01:00.000]  這個過程是包括我們來敬拜的途中
[00:01:00.000 --> 00:01:02.000]  在途中的心情
[00:01:02.000 --> 00:01:06.000]  來到了在敬拜之中的領受
[00:01:06.000 --> 00:01:10.000]  敬拜完了的滿足感
[00:01:10.000 --> 00:01:13.000]  來敬拜的途中
[00:01:13.000 --> 00:01:16.000]  我們心裏面通常都會有很多的問題
[00:01:16.000 --> 00:01:17.000]  也都會有渴求
[00:01:17.000 --> 00:01:22.000]  希望能夠來到敬拜得到神的幫助
[00:01:22.000 --> 00:01:25.000]  進入敬拜的時候
[00:01:25.000 --> 00:01:29.000]  我們在神的話語上得到領受
[00:01:29.000 --> 00:01:30.000]  得到安慰
[00:01:30.000 --> 00:01:32.000]  敬拜完之後
[00:01:32.000 --> 00:01:36.000]  就拿著神話語的應許
[00:01:36.000 --> 00:01:40.000]  很滿足的離開
[00:01:40.000 --> 00:01:45.000]  當然我們知道敬拜神的心態可以有很多方面
[00:01:45.000 --> 00:01:49.000]  但是這種渴求神的幫助
[00:01:49.000 --> 00:01:53.000]  這種心態是很重要的
[00:01:53.000 --> 00:01:57.000]  我們不要以為我們不需要神的幫助
[00:01:57.000 --> 00:01:58.000]  不是的
[00:01:58.000 --> 00:01:59.000]  就算你現在說
[00:01:59.000 --> 00:02:01.000]  神已經很賜福給我了
[00:02:01.000 --> 00:02:02.000]  我已經很滿足了
[00:02:02.000 --> 00:02:05.000]  你仍然需要神的幫助
[00:02:05.000 --> 00:02:11.000]  求神幫助你能夠有一個敬畏神的心
[00:02:11.000 --> 00:02:18.000]  以致你能夠繼續享受神賜給你的恩典
[00:02:18.000 --> 00:02:24.000]  今天我就和大家一起學這個功課
[00:02:24.000 --> 00:02:27.000]  尋求神的幫助是每一個人所需要的
[00:02:27.000 --> 00:02:31.000]  也是很現實的
[00:02:31.000 --> 00:02:35.000]  我們看詩篇121篇第一節
[00:02:35.000 --> 00:02:41.000]  我要向山舉目,我的幫助從何而來?
[00:02:41.000 --> 00:02:43.000]  我們想一下或者猜一下
[00:02:43.000 --> 00:02:45.000]  這個朝聖者
[00:02:45.000 --> 00:02:48.000]  在當時來說
[00:02:48.000 --> 00:02:51.000]  他向耶路撒冷聖殿進發
[00:02:51.000 --> 00:02:54.000]  而要去那裡敬拜神
[00:02:54.000 --> 00:02:55.000]  我們稱之為朝聖
[00:02:55.000 --> 00:02:57.000]  我們回來禮拜堂敬拜神
[00:02:57.000 --> 00:02:59.000]  其實也是某程度上的朝聖
[00:02:59.000 --> 00:03:03.000]  他們在朝聖的途中
[00:03:03.000 --> 00:03:05.000]  他們的心情是怎樣的呢?
[00:03:05.000 --> 00:03:08.000]  他們心裡在想些什麼呢?
[00:03:08.000 --> 00:03:13.000]  我們可以從當時聖殿的位置
[00:03:13.000 --> 00:03:15.000]  那個地理環境
[00:03:15.000 --> 00:03:19.000]  來想像那些朝聖者的心情
[00:03:19.000 --> 00:03:21.000]  聖殿在哪裡?
[00:03:21.000 --> 00:03:23.000]  聖殿在耶路撒冷城
[00:03:23.000 --> 00:03:25.000]  耶路撒冷城在哪裡?
[00:03:25.000 --> 00:03:27.000]  在石安山
[00:03:27.000 --> 00:03:28.000]  石安山在哪裡?
[00:03:28.000 --> 00:03:36.000]  石安山是在中山、高山上的一個小山
[00:03:36.000 --> 00:03:43.000]  即是說朝聖者的旅程是一路上山
[00:03:43.000 --> 00:03:46.000]  我們知道上山是很辛苦的
[00:03:46.000 --> 00:03:48.000]  我們去行山的人就知道
[00:03:48.000 --> 00:03:51.000]  一路上山是很辛苦的
[00:03:51.000 --> 00:03:53.000]  一路上山的時候
[00:03:53.000 --> 00:03:56.000]  心跳就一路加速
[00:03:56.000 --> 00:03:57.000]  會氣喘
[00:03:57.000 --> 00:03:59.000]  會膝頭發軟
[00:03:59.000 --> 00:04:03.000]  會一身汗
[00:04:03.000 --> 00:04:08.000]  如果我是那個朝聖者
[00:04:08.000 --> 00:04:11.000]  我會有兩方面的想法
[00:04:11.000 --> 00:04:13.000]  第一方面的想法就是
[00:04:13.000 --> 00:04:17.000]  當我抬頭望著迎面的高山的時候
[00:04:17.000 --> 00:04:18.000]  我就會想
[00:04:18.000 --> 00:04:21.000]  已經走了這麼久了
[00:04:21.000 --> 00:04:24.000]  原來前面還有這麼高的山要走
[00:04:24.000 --> 00:04:26.000]  要走很久
[00:04:26.000 --> 00:04:28.000]  行不行呢?
[00:04:28.000 --> 00:04:32.000]  會不會受不了呢?
[00:04:32.000 --> 00:04:33.000]  如果你有心臟病
[00:04:33.000 --> 00:04:34.000]  你會受不了的
[00:04:34.000 --> 00:04:36.000]  小心一點
[00:04:36.000 --> 00:04:38.000]  這麼高的山還要走上去
[00:04:38.000 --> 00:04:39.000]  走了這麼久了
[00:04:39.000 --> 00:04:40.000]  受得了嗎?
[00:04:40.000 --> 00:04:44.000]  會不會在途中暴斃呢?
[00:04:44.000 --> 00:04:48.000]  誰可以幫我完成這個旅程呢?
[00:04:48.000 --> 00:04:50.000]  還有
