
[00:00:00.000 --> 00:00:06.000]  我們繼續會去思想《馬學福音》書卷裏面的主題
[00:00:06.000 --> 00:00:09.000]  來到第九和第十章的時候
[00:00:09.000 --> 00:00:15.000]  特別和大家思想耶穌基督對門徒的一個很重要的教導
[00:00:15.000 --> 00:00:18.000]  就是「誰願為首」
[00:00:18.000 --> 00:00:23.000]  誰願意在耶穌基督裏面做大量的工作
[00:00:23.000 --> 00:00:28.000]  耶穌在那裏提醒幫助一班門徒
[00:00:28.000 --> 00:00:36.000]  耶穌揀選他們就是希望他們能夠成為一個在教會延續裏面的領袖
[00:00:36.000 --> 00:00:38.000]  但怎樣去做領袖
[00:00:38.000 --> 00:00:40.000]  你有甚麼素質
[00:00:40.000 --> 00:00:44.000]  耶穌都在那個地方裏面來鼓勵他們幫助他們
[00:00:44.000 --> 00:00:52.000]  以致他們能夠成為一班被神所用的福音使者建立教會
[00:00:52.000 --> 00:00:59.000]  二千年來就是因為這一班的使徒們他們怎樣來安住耶穌基督的教導
[00:00:59.000 --> 00:01:06.000]  來將這個教會將福音的工作一代延一代到今天
[00:01:06.000 --> 00:01:08.000]  二千年的今天
[00:01:08.000 --> 00:01:11.000]  所以求神幫助我們也是願意在這個年代裏面
[00:01:11.000 --> 00:01:15.000]  我們願意作主自己一個大量的工作
[00:01:15.000 --> 00:01:18.000]  在我們所處身的環境裏面
[00:01:18.000 --> 00:01:21.000]  來去服侍有需要的人
[00:01:21.000 --> 00:01:23.000]  在這個年代裏面我們知道
[00:01:23.000 --> 00:01:30.000]  每個國家他們的領導他們都希望能夠可以有效的管理自己的國家
[00:01:30.000 --> 00:01:34.000]  但我知道現代做領袖越來越艱難
[00:01:34.000 --> 00:01:38.000]  因為不單是自己國家的問題都牽涉到其他鄰近國家的問題
[00:01:38.000 --> 00:01:41.000]  整個世界社會的問題
[00:01:41.000 --> 00:01:44.000]  所以國家似乎要走在一起
[00:01:44.000 --> 00:01:46.000]  來去共商
[00:01:46.000 --> 00:01:49.000]  怎樣來去管理好這個世界
[00:01:49.000 --> 00:01:53.000]  在近代裏面一些的領袖
[00:01:53.000 --> 00:01:56.000]  可能我們比較多的中國人會認識
[00:01:56.000 --> 00:01:59.000]  近代中國在大陸裏面幾位的領袖
[00:01:59.000 --> 00:02:02.000]  雖然在這個年代裏面他們都有不同的氣質
[00:02:02.000 --> 00:02:04.000]  不同的處理方法
[00:02:04.000 --> 00:02:07.000]  亦都在不同的處境下做領袖
[00:02:07.000 --> 00:02:12.000]  我相信作為我們在香港以外離開了中國大陸的時候
[00:02:12.000 --> 00:02:15.000]  或者我們有不同的體會在裏面
[00:02:15.000 --> 00:02:17.000]  因為過去我們的成長
[00:02:17.000 --> 00:02:19.000]  特別是我們這個年代的成長
[00:02:19.000 --> 00:02:21.000]  在英國殖民地之下
[00:02:21.000 --> 00:02:24.000]  我們有可能有很不一樣的感覺在裏面
[00:02:24.000 --> 00:02:27.000]  但是越來越我們回歸中國的時候
[00:02:27.000 --> 00:02:31.000]  我們要學習怎樣來去認識我們的國家
[00:02:31.000 --> 00:02:35.000]  世界國家的領袖都常常聚在一起去想想
[00:02:35.000 --> 00:02:39.000]  怎樣能夠管理好整個的世界和世界的經濟
[00:02:39.000 --> 00:02:42.000]  有一個大概是九七年前
[00:02:42.000 --> 00:02:49.000]  差不多醞釀的一個十國的經濟的一個高峰會
[00:02:49.000 --> 00:02:53.000]  由二十個國家在當中的領袖來走在一起
[00:02:53.000 --> 00:02:58.000]  他們共商怎樣能夠去穩定世界的經濟
[00:02:58.000 --> 00:03:00.000]  但在這個過程裏面
[00:03:00.000 --> 00:03:05.000]  亦都在當中很多次他們聚集的時候
[00:03:05.000 --> 00:03:08.000]  都是有暴動的事情出現
[00:03:08.000 --> 00:03:12.000]  很多人不滿意他們經濟的理論
[00:03:12.000 --> 00:03:14.000]  記得一次在韓國的時候
[00:03:14.000 --> 00:03:16.000]  韓國的農民就走出來
[00:03:16.000 --> 00:03:19.000]  在當中去衝擊這些聚會
[00:03:19.000 --> 00:03:23.000]  人很想用不同的方式去帶領著
[00:03:23.000 --> 00:03:27.000]  無論自己的家庭、教會、社會、國家
[00:03:27.000 --> 00:03:29.000]  走向一個和諧的裏面
[00:03:29.000 --> 00:03:32.000]  但人用的方式會是怎樣呢?
[00:03:32.000 --> 00:03:35.000]  極權在這個年代裏面是否還可以行呢?
[00:03:35.000 --> 00:03:41.000]  太過開放又是否能夠解決到人的問題呢?
[00:03:41.000 --> 00:03:42.000]  所以今日我們相信
[00:03:42.000 --> 00:03:44.000]  我們都有一個這樣的體會
[00:03:44.000 --> 00:03:46.000]  就是做領袖很不容易
[00:03:46.000 --> 00:03:49.000]  在一個家庭裏面我們要做父母
