
[00:00:00.000 --> 00:00:03.180]  「第一姐妹平安,我們一同有個禱告,
[00:00:03.180 --> 00:00:05.820]  天父感謝祢,今天早上,
[00:00:05.820 --> 00:00:10.700]  讓我們眾人能夠有生命,有氣息,
[00:00:10.700 --> 00:00:15.820]  和有認識祢的心,到祢的面前來敬拜讚美,
[00:00:15.820 --> 00:00:20.140]  求祢悅納,亦求祢賜福,在祢的施恩座上面,
[00:00:20.140 --> 00:00:23.820]  使我們眾人都能夠蒙恩慰,得廉恤,
[00:00:23.820 --> 00:00:26.300]  求主幫助我們,使我們這個時刻,
[00:00:26.300 --> 00:00:32.220]  使我們的言語,我們的心思意念,在祢面前都能夠蒙您的悅納,
[00:00:32.220 --> 00:00:35.780]  奉耶穌名字祈求,阿們。」
[00:00:35.780 --> 00:00:39.880]  感謝神,時間過得很快,一年又一年,
[00:00:39.880 --> 00:00:43.260]  今天已經到了章林期第三個星期,
[00:00:43.260 --> 00:00:45.440]  就快到聖誕節,
[00:00:45.440 --> 00:00:50.140]  紀念耶穌,是紀念耶穌降生的時式。
[00:00:50.140 --> 00:00:54.200]  今天和大家想透過聖經去看一個,
[00:00:54.200 --> 00:00:56.900]  如果我沒有記錯,應該是兩年多前,
[00:00:56.900 --> 00:00:58.900]  曾經我用過的經文,
[00:00:58.900 --> 00:01:03.960]  就是《約翰一書》一章一到三節。
[00:01:03.960 --> 00:01:10.060]  在這段經文裏面,我最近重新再看的時候,我發覺,
[00:01:10.060 --> 00:01:18.260]  因為我們今年教會的主題都是講到重建關係,生命的成長,
[00:01:18.260 --> 00:01:26.860]  到了年尾,檢討一下,到底和誰建立關係?
[00:01:26.860 --> 00:01:31.820]  一個女孩你不認識的,你要認識她,和她建立關係,
[00:01:31.820 --> 00:01:36.180]  最多都是夫妻,
[00:01:36.180 --> 00:01:40.540]  到人生去到差不多七、八十歲之後,
[00:01:40.540 --> 00:01:44.940]  人生的緣份就會盡了,
[00:01:44.940 --> 00:01:49.200]  聖經是這麼說的,將來不娶不嫁。
[00:01:49.200 --> 00:01:56.340]  但是我們信耶穌的人,除了人生之外,還有什麼生?
[00:01:56.340 --> 00:02:00.640]  你不要不知道,不知道真的會有很大的事。
[00:02:00.640 --> 00:02:06.460]  信耶穌的人,除了人生之外,還有什麼生?
[00:02:06.460 --> 00:02:12.820]  記住,永生不是名詞,永生是實體,
[00:02:12.820 --> 00:02:18.760]  人生是一場戲,這場戲完了之後,你們要進入實體。
[00:02:18.760 --> 00:02:23.980]  這個世界將來是一個虛擬世界,又是虛擬貨幣。
