
[00:00:00.000 --> 00:00:04.000]  今天我們一齊來看一段聖經
[00:00:04.000 --> 00:00:13.000]  以斯拉記第九章
[00:00:13.000 --> 00:00:21.000]  我們看第五至第十五節
[00:00:21.000 --> 00:00:25.000]  我們用啟應的方式來重讀這段經文
[00:00:25.000 --> 00:00:27.000]  我讀單數的節數
[00:00:27.000 --> 00:00:29.000]  請弟兄姊妹讀雙數的節數
[00:00:29.000 --> 00:00:33.000]  我們用啟應的方式來重讀
[00:00:33.000 --> 00:00:34.000]  我讀單數的節數
[00:00:34.000 --> 00:00:36.000]  請弟兄姊妹讀雙數的節數
[00:00:36.000 --> 00:00:37.000]  顯晚祭的時候
[00:00:37.000 --> 00:00:38.000]  我起來
[00:00:38.000 --> 00:00:39.000]  心中受苦
[00:00:39.000 --> 00:00:41.000]  穿著撕裂的衣袍
[00:00:41.000 --> 00:00:43.000]  雙膝跪下
[00:00:43.000 --> 00:00:45.000]  向耀華我的神舉手
[00:00:57.000 --> 00:00:59.000]  我們也祖籍到今天
[00:00:59.000 --> 00:01:01.000]  我們的罪孽甚重
[00:01:01.000 --> 00:01:03.000]  因我們的罪孽
[00:01:03.000 --> 00:01:05.000]  我們和君王
[00:01:05.000 --> 00:01:08.000]  祭祀到教在愛邦王的手中
[00:01:08.000 --> 00:01:10.000]  殺害擄掠搶奪
[00:01:10.000 --> 00:01:13.000]  念上蒙修正於今日的剛勁
[00:01:13.000 --> 00:01:14.000]  我們也祖籍到今天
[00:01:14.000 --> 00:01:15.000]  我們的罪孽甚重
[00:01:15.000 --> 00:01:16.000]  因我們的罪孽
[00:01:16.000 --> 00:01:17.000]  殺害擄掠搶奪
[00:01:17.000 --> 00:01:19.000]  念上蒙修正於今日的剛勁
[00:01:19.000 --> 00:01:21.000]  念上蒙修正於今日的剛勁
[00:01:21.000 --> 00:01:23.000]  念上蒙修正於今日的剛勁
[00:01:23.000 --> 00:01:25.000]  念上蒙修正於今日的剛勁
[00:01:25.000 --> 00:01:27.000]  保光照我們的眼眸
[00:01:27.000 --> 00:01:29.000]  使我們在受克制中
[00:01:29.000 --> 00:01:31.000]  讓我們復興
[00:01:31.000 --> 00:01:33.000]  我們是奴僕
[00:01:33.000 --> 00:01:36.000]  然而在受克制之中
[00:01:36.000 --> 00:01:39.000]  我們的神仍沒有丟棄我們
[00:01:39.000 --> 00:01:40.000]  在波斯王眼前
[00:01:40.000 --> 00:01:42.000]  向我們施恩
[00:01:42.000 --> 00:01:43.000]  叫我們復興
