
[00:00:00.000 --> 00:00:01.280]  挺姊妹,早晨
[00:00:01.280 --> 00:00:03.180]  早晨
[00:00:03.180 --> 00:00:05.900]  你平時有沒有祈禱的?
[00:00:05.900 --> 00:00:07.340]  有吧?
[00:00:07.340 --> 00:00:12.200]  你祈禱之後,期望有什麼事情發生呢?
[00:00:12.200 --> 00:00:15.440]  其實,禱告是成就什麼事呢?
[00:00:15.440 --> 00:00:18.720]  禱告之後會怎樣呢?
[00:00:18.720 --> 00:00:23.620]  我相信天父是很喜歡我們親近祂,向祂祈求的
[00:00:23.620 --> 00:00:27.320]  也很樂意將最好的東西賜給我們
[00:00:27.320 --> 00:00:32.560]  我們今天會看看聖經裡有一個人物,有一個婦人
[00:00:32.560 --> 00:00:34.360]  哈娜的故事
[00:00:34.360 --> 00:00:38.900]  我們會看看天父怎樣跟哈娜互動
[00:00:38.900 --> 00:00:42.980]  哈娜怎樣祈禱,上帝怎樣回應她
[00:00:42.980 --> 00:00:46.600]  經文是記載在《薩姆爾記》上第一章
[00:00:46.600 --> 00:00:50.200]  我們會來看看這個故事
[00:00:50.200 --> 00:00:54.640]  《薩姆爾記》上第一章,這個故事是這樣說的
[00:00:54.640 --> 00:01:10.560]  那裡說「以法連山地的拉瑪索菲,有一個以法連人,叫做以利迦拿,是蘇弗的原孫,托戶的曾孫,以利戶的孫子,耶羅漢的兒子」
[00:01:10.560 --> 00:01:16.000]  聖經用了家譜,一個很長的篇幅來介紹這個人物,以利迦拿
[00:01:16.000 --> 00:01:18.040]  他有兩個妻子
[00:01:18.040 --> 00:01:22.720]  一個叫做哈娜,一個叫做皮尼娜
[00:01:22.720 --> 00:01:25.120]  皮尼娜有個女兒
[00:01:25.120 --> 00:01:28.640]  有兒女,哈娜就沒有兒女
[00:01:28.640 --> 00:01:36.320]  這個人每年從本城上去到士羅斯洛那裡,去敬拜祭祀萬鈞的耶和華
[00:01:36.320 --> 00:01:41.000]  在那裡有以利的兩個兒子,以利就是那裡的祭司
[00:01:41.000 --> 00:01:46.320]  有兩個兒子,何弗尼、菲尼哈,做耶和華的祭司
[00:01:46.320 --> 00:01:49.320]  以利迦拿他每逢獻祭的日子
[00:01:49.320 --> 00:01:55.600]  就將祭玉分給他的妻子皮尼娜和皮尼娜所生的兒女
[00:01:55.600 --> 00:02:02.120]  然後另外的妻子給哈娜這個妻子,卻是雙份的
[00:02:02.120 --> 00:02:05.000]  因為她很愛哈娜
[00:02:05.000 --> 00:02:10.280]  不過經文說,無奈耶和華就不讓哈娜生育
[00:02:10.280 --> 00:02:14.960]  皮尼娜見到耶和華不讓哈娜生育,就做她的對頭
[00:02:14.960 --> 00:02:18.920]  大大激動她,要使她生氣
[00:02:18.920 --> 00:02:20.120]  第七節
[00:02:20.120 --> 00:02:25.800]  每年上到去耶和華殿的時候,以利迦拿都用雙份來給哈娜
[00:02:25.800 --> 00:02:30.680]  皮尼娜卻是激動她,以致她哭泣不吃飯
[00:02:30.680 --> 00:02:33.480]  她的丈夫以利迦拿就對她說
[00:02:33.480 --> 00:02:39.200]  「哈娜,你為何哭泣不吃飯,心裡愁悶呢?」
[00:02:39.200 --> 00:02:43.720]  「有我不給十個兒子還好嗎?」
[00:02:43.720 --> 00:02:44.680]  第九節
[00:02:44.680 --> 00:02:49.320]  他們在侍羅吃喝完了,哈娜就站起來
[00:02:49.320 --> 00:02:55.480]  祭司以利在耶和華殿的門框旁邊,坐在她自己的位置上
[00:02:55.480 --> 00:03:00.880]  哈娜心裡愁苦,她就痛痛哭泣,祈禱耶和華
[00:03:00.880 --> 00:03:02.920]  許願她這樣說
[00:03:02.920 --> 00:03:07.920]  萬鈞之耶和華,你若垂顧皮尼娜的苦情
[00:03:07.920 --> 00:03:11.480]  眷念不忘皮尼娜,賜我一個兒子
[00:03:11.480 --> 00:03:18.120]  我必使他終身歸於耶和華,不用剃頭都剃他的頭
[00:03:18.120 --> 00:03:21.680]  哈娜在耶和華面前不住地祈禱
[00:03:21.680 --> 00:03:25.120]  以利就定睛看著她的嘴
[00:03:25.120 --> 00:03:27.960]  原來哈娜心裡默吐
[00:03:27.960 --> 00:03:30.960]  所以她的嘴唇在動,但是沒有聲音
