
[00:00:00.000 --> 00:00:04.000]  然後我們先在神面前有個禱告
[00:00:04.000 --> 00:00:07.000]  師父我們將教會加在你手裏面
[00:00:07.000 --> 00:00:11.000]  我們感謝主因為你是用流血的代價
[00:00:11.000 --> 00:00:14.000]  你生命的代價將我們買熟回來
[00:00:14.000 --> 00:00:16.000]  讓我們成為神的兒女
[00:00:16.000 --> 00:00:20.000]  讓我們在將來承繼天上的榮耀產業
[00:00:20.000 --> 00:00:22.000]  今天我們主在寶座上面
[00:00:22.000 --> 00:00:26.000]  每時每刻守望著教會為我們禱告
[00:00:26.000 --> 00:00:30.000]  今年又在教會當中,在弟兄姊妹的生命當中為我們禱告
[00:00:30.000 --> 00:00:32.000]  為此我們要感恩
[00:00:32.000 --> 00:00:34.000]  雖然未來仍然有很多危機
[00:00:34.000 --> 00:00:37.000]  不過我們相信我們的主要帶我們走過
[00:00:37.000 --> 00:00:40.000]  我們感謝你,奉耶穌基督名求
[00:00:40.000 --> 00:00:46.000]  第一個我想和大家分享和提醒的危機
[00:00:46.000 --> 00:00:48.000]  就是分裂
[00:00:48.000 --> 00:00:51.000]  要面對分裂最重要的一個制約
[00:00:51.000 --> 00:00:53.000]  就是合一
[00:00:53.000 --> 00:00:57.000]  基督教或者稱為基督新教或者叫做根正教
[00:00:57.000 --> 00:01:00.000]  可以這樣說,從它開始那一天
[00:01:00.000 --> 00:01:03.000]  即是五百多年前,1517年10月31日
[00:01:03.000 --> 00:01:07.000]  當馬丁路德在威登堡教堂那裏貼出了
[00:01:07.000 --> 00:01:10.000]  這個《政經》當時的第15條之後
[00:01:10.000 --> 00:01:15.000]  整個基督教就充滿了這個分裂的基因
[00:01:15.000 --> 00:01:19.000]  當時基督教從天主教那裏分離出來
[00:01:19.000 --> 00:01:23.000]  由那時開始,很多不同的宗教改革家
[00:01:23.000 --> 00:01:25.000]  因著不同的神學理念
[00:01:25.000 --> 00:01:29.000]  於是就會從當時不同的教會當中分裂出來
[00:01:29.000 --> 00:01:31.000]  分裂又分裂
[00:01:31.000 --> 00:01:34.000]  於是基督教就出現了不同的宗派
[00:01:34.000 --> 00:01:38.000]  到今天,基督教雖然很少有新的宗派出現
[00:01:38.000 --> 00:01:41.000]  但是在教會裏面,因著不同的意見
[00:01:41.000 --> 00:01:43.000]  大家不同的看法
[00:01:43.000 --> 00:01:45.000]  於是分裂是常有的事
[00:01:45.000 --> 00:01:48.000]  譬如我們常常都說笑地舉一個例子
[00:01:48.000 --> 00:01:50.000]  有一個教會叫做「真耶穌教會」
[00:01:50.000 --> 00:01:52.000]  由於意見不同
[00:01:52.000 --> 00:01:55.000]  於是有些人從「真耶穌教會」裏面分裂出來
[00:01:55.000 --> 00:01:57.000]  他們改名叫「真真耶穌教會」
[00:01:57.000 --> 00:02:01.000]  後來「真真耶穌教會」裏面有些信徒
[00:02:01.000 --> 00:02:03.000]  跟「真真耶穌教會」意見不同
[00:02:03.000 --> 00:02:05.000]  於是他們又分裂出來
[00:02:05.000 --> 00:02:08.000]  他們改名叫「真真真耶穌教會」
[00:02:08.000 --> 00:02:11.000]  暫時還沒有看到「真」這個字
[00:02:11.000 --> 00:02:13.000]  其實最好就改名「真」
[00:02:13.000 --> 00:02:15.000]  然後上面加一個「N」字的字眼
[00:02:15.000 --> 00:02:17.000]  「真」到「N」字
[00:02:17.000 --> 00:02:20.000]  「永遠都真」就最好了
[00:02:20.000 --> 00:02:22.000]  當靈因運動興起的時候
[00:02:22.000 --> 00:02:24.000]  教會裏面分裂的故事
[00:02:24.000 --> 00:02:26.000]  又常常都聽得到
[00:02:26.000 --> 00:02:28.000]  譬如我過去在大埔區侍奉
[00:02:28.000 --> 00:02:31.000]  在大埔裏面有間教會的牧師
[00:02:31.000 --> 00:02:33.000]  他對靈因的問題
[00:02:33.000 --> 00:02:36.000]  比較上是一個全一個尊重的態度
[00:02:36.000 --> 00:02:39.000]  他能夠容忍不同的靈因的看法
[00:02:39.000 --> 00:02:41.000]  他很少拒絕靈因的意見
[00:02:41.000 --> 00:02:43.000]  但後來他教會裏面有童工
[00:02:43.000 --> 00:02:45.000]  因為傾向靈因的緣故
[00:02:45.000 --> 00:02:47.000]  於是就從教會裏面分裂出來
[00:02:47.000 --> 00:02:49.000]  帶著一班不同的信徒
[00:02:49.000 --> 00:02:52.000]  建立了一個團契
[00:02:52.000 --> 00:02:56.000]  後來有機會又遇到這間教會的童工
[00:02:56.000 --> 00:02:57.000]  我又講起這件事
[00:02:57.000 --> 00:02:58.000]  問一下那些童工的時候
[00:02:58.000 --> 00:02:59.000]  那些童工說
[00:02:59.000 --> 00:03:01.000]  現在牧師的看法改變了
[00:03:01.000 --> 00:03:05.000]  他對靈因再不是那麼開放了
[00:03:05.000 --> 00:03:06.000]  我記得我讀神學的時候
[00:03:06.000 --> 00:03:10.000]  有機會參與在沙田區一間教會的聚會
[00:03:10.000 --> 00:03:14.000]  那間教會是某一個中派的分堂
[00:03:14.000 --> 00:03:16.000]  原本發展得很好
[00:03:16.000 --> 00:03:18.000]  但後來教會裏面的童工
[00:03:18.000 --> 00:03:19.000]  傾向靈因
[00:03:19.000 --> 00:03:23.000]  於是最後就從中派裏面分裂出來
[00:03:23.000 --> 00:03:25.000]  自立門戶
[00:03:25.000 --> 00:03:26.000]  可能大家會說
[00:03:26.000 --> 00:03:28.000]  牧師你講得那麼嚴重
[00:03:28.000 --> 00:03:31.000]  但事實的確如此
[00:03:31.000 --> 00:03:34.000]  有時牧者在大家聊天時
[00:03:34.000 --> 00:03:35.000]  開玩笑地這樣說
[00:03:35.000 --> 00:03:38.000]  教會的增長的原因就是分裂
[00:03:38.000 --> 00:03:39.000]  當分裂的話
[00:03:39.000 --> 00:03:40.000]  教會就有增長
[00:03:40.000 --> 00:03:43.000]  當一班靈子妹從教會裏面分裂出來的時候
[00:03:43.000 --> 00:03:45.000]  就會多一間新的教會
[00:03:45.000 --> 00:03:47.000]  於是教會就有增長
[00:03:47.000 --> 00:03:49.000]  所以香港有千多間教會
[00:03:49.000 --> 00:03:52.000]  大概都是反映著這個現實
[00:03:52.000 --> 00:03:54.000]  其實有些地方就有問題
[00:03:54.000 --> 00:03:58.000]  有些地方就有人事的爭論
[00:03:58.000 --> 00:04:00.000]  而教會是有人的
[00:04:00.000 --> 00:04:02.000]  所以教會裏面常有人事的問題
[00:04:02.000 --> 00:04:04.000]  人事的紛爭
[00:04:04.000 --> 00:04:06.000]  過去七十年來的教會
[00:04:06.000 --> 00:04:09.000]  城機裏面有不少人事的問題
[00:04:09.000 --> 00:04:10.000]  人事的紛爭
[00:04:10.000 --> 00:04:12.000]  比如我們過去都分享過
[00:04:12.000 --> 00:04:14.000]  七十年代的時候
[00:04:14.000 --> 00:04:16.000]  當時的牧師和蔣執
[00:04:16.000 --> 00:04:17.000]  大家要爭咪
[00:04:17.000 --> 00:04:20.000]  所以我們從此之後有兩支咪
[00:04:20.000 --> 00:04:23.000]  雖然那件事已經過去了
[00:04:23.000 --> 00:04:25.000]  但今天在教會裏面
[00:04:25.000 --> 00:04:27.000]  我們仍然會常常見到和聽到
[00:04:27.000 --> 00:04:29.000]  不同的意見不同的爭吵
[00:04:29.000 --> 00:04:31.000]  有時在堂委會裏面
[00:04:31.000 --> 00:04:32.000]  有時在執事會裏面
[00:04:32.000 --> 00:04:35.000]  為著不同的事我們有紛爭
