
[00:00:00.000 --> 00:00:05.400]  如果我問大家 你覺得彼得在十二使徒裏面算老幾呢?
[00:00:05.400 --> 00:00:10.320]  如果問大家 你們覺得彼得在十二使徒裏面算第幾呢?
[00:00:10.320 --> 00:00:14.200]  我想大部分人都會覺得他應該是老大哥來的
[00:00:14.200 --> 00:00:18.320]  我相信 牧師相信大部分人都會覺得他是老大哥來的
[00:00:18.320 --> 00:00:21.680]  奇怪在在今天我們所讀的經文裏面呢?
[00:00:21.680 --> 00:00:25.040]  但奇怪的是在今天我們所讀的經文裏面呢?
[00:00:25.040 --> 00:00:29.160]  聖經在這裏毫不保留記載了他最失敗的辭職
[00:00:29.160 --> 00:00:32.560]  聖經毫不保留地記載了彼得最失敗的事情
[00:00:32.560 --> 00:00:36.400]  三次不認主 絕對不是一件光彩的事
[00:00:36.400 --> 00:00:37.880]  這絕對不是一件光彩的事
[00:00:37.880 --> 00:00:40.320]  發生在我身上 我絕對不希望別人知道
[00:00:40.320 --> 00:00:43.160]  發生在牧師身上 牧師肯定不希望別人知道
[00:00:43.160 --> 00:00:46.320]  但大家留意一件事 大家留意一件事
[00:00:46.320 --> 00:00:51.480]  彼得這件事情其實是在整個主耶穌釘十字架的事情上
[00:00:51.480 --> 00:00:54.520]  就算沒有了這件事都不影響十字架的故事
[00:00:54.520 --> 00:00:56.760]  彼得三次不認主這件事
[00:00:56.760 --> 00:01:00.160]  其實在十字架的整個故事裏面 如果去了這件事
[00:01:00.160 --> 00:01:01.560]  也不會影響整個故事的
[00:01:01.560 --> 00:01:05.840]  究竟為什麼聖經要記載在這一個十字架故事裏面
[00:01:05.840 --> 00:01:07.760]  一個這樣的小插曲呢?
[00:01:07.760 --> 00:01:10.760]  為什麼聖經要記載這個小插曲呢?
[00:01:10.760 --> 00:01:13.640]  我們要明白聖經其實從來不會記載一些多餘
[00:01:13.640 --> 00:01:14.760]  沒有意思的東西
[00:01:14.760 --> 00:01:18.440]  我們知道聖經從來不會記載一些多餘和沒有意義的事
[00:01:18.440 --> 00:01:22.680]  我相信這個小插曲是記載了很多值得我們去學習的事情
[00:01:22.680 --> 00:01:24.920]  我向牧師相信這個小插曲
[00:01:24.920 --> 00:01:27.720]  其實是記載了許多值得我們去學習的事
[00:01:27.720 --> 00:01:30.560]  讓我們去看一個很重要的功課
[00:01:30.560 --> 00:01:32.680]  讓我們來看一個很重要的功課
[00:01:32.680 --> 00:01:35.760]  就是今天我們的題目 愛的真相
[00:01:35.760 --> 00:01:39.360]  就是今天我們講到的題目 愛的真相
[00:01:39.360 --> 00:01:42.360]  我們希望通過這個故事
[00:01:42.360 --> 00:01:44.120]  我們希望通過這個故事
[00:01:44.120 --> 00:01:47.040]  我們一起去探討 什麼為之去愛呢?
[00:01:47.040 --> 00:01:50.040]  我們一起去探討 什麼才是愛呢?
[00:01:50.040 --> 00:01:54.040]  我們第一句探討就是 當我們說要愛其他人的時候
[00:01:54.040 --> 00:01:58.240]  我們第一句探討就是 當我們說要愛其他人的時候
[00:01:58.240 --> 00:02:00.800]  究竟我們愛的出發點是什麼?
[00:02:00.800 --> 00:02:02.720]  究竟我們愛的出發點是什麼呢?
