
[00:00:00.000 --> 00:00:05.000]  這個傳說就說他們受到咒咒
[00:00:05.000 --> 00:00:11.000]  而被鎖在這個同世隔絕的城堡裏面
[00:00:11.000 --> 00:00:14.000]  他們找不到任何人來幫助他們
[00:00:14.000 --> 00:00:18.000]  也都沒有辦法向任何人來求助
[00:00:18.000 --> 00:00:23.000]  他們的食物慢慢的用完
[00:00:23.000 --> 00:00:28.000]  他們落在一個很絕望的警方裏面
[00:00:28.000 --> 00:00:33.000]  他們都沒有想過他們的遭遇
[00:00:33.000 --> 00:00:35.000]  是神靈對他們的考驗
[00:00:35.000 --> 00:00:41.000]  是關於團結、智慧、知識合作的考驗
[00:00:41.000 --> 00:00:45.000]  有一次其中一個小藝人
[00:00:45.000 --> 00:00:47.000]  他在做夢裏面
[00:00:47.000 --> 00:00:52.000]  這個守護神就跟他說
[00:00:52.000 --> 00:01:01.000]  這個城堡裏面除了他們在那間又暗又濕的儲物室之外
[00:01:01.000 --> 00:01:04.000]  其實還有二十五間的房間
[00:01:04.000 --> 00:01:08.000]  而有一間裏面就有蜂蜜和水
[00:01:08.000 --> 00:01:12.000]  能夠維持他們一段時間的生命
[00:01:12.000 --> 00:01:15.000]  而另外二十四間的房間裏面
[00:01:15.000 --> 00:01:16.000]  有些有石頭
[00:01:16.000 --> 00:01:22.000]  但當中有二百二十塊玫瑰紅色的寶石
[00:01:22.000 --> 00:01:28.000]  當他們收集到齊了二百二十五粒的寶石的時候
[00:01:28.000 --> 00:01:31.000]  來排成一個圓圈的話
[00:01:31.000 --> 00:01:36.000]  對他們的咒詛的咒語就會解除
[00:01:36.000 --> 00:01:39.000]  他們都可以離開這個城堡
[00:01:39.000 --> 00:01:41.000]  回到自己的家裏面
[00:01:41.000 --> 00:01:50.000]  第二天這個小藝人就將他在夢裏面所得到的消息
[00:01:50.000 --> 00:01:53.000]  告訴其他六個的同伴
[00:01:53.000 --> 00:01:58.000]  但其他四個都不太相信他所說的話
[00:01:58.000 --> 00:02:05.000]  只有愛麗絲和蘇格拉底願意和他們一起努力
[00:02:05.000 --> 00:02:08.000]  過了最初那幾天
[00:02:08.000 --> 00:02:15.000]  愛麗絲就想先去找那些木和柴來生火
[00:02:15.000 --> 00:02:17.000]  以致她可以取暖
[00:02:17.000 --> 00:02:20.000]  也讓房間可以光一點
[00:02:20.000 --> 00:02:25.000]  而蘇格拉底就想起要去找那間有食物的房間
[00:02:25.000 --> 00:02:33.000]  另一個在夢裏面得到啟示的基米德
[00:02:33.000 --> 00:02:38.000]  很快就去到其他二十四間房裏面
[00:02:38.000 --> 00:02:42.000]  嘗試去找那二百二十粒的寶石
[00:02:42.000 --> 00:02:46.000]  希望可以早一點解除這些咒語
[00:02:46.000 --> 00:02:52.000]  三個人都沒有辦法有意見相同
[00:02:52.000 --> 00:02:55.000]  所以就決定各有各去找
[00:02:55.000 --> 00:02:57.000]  接下來的那幾天
[00:02:57.000 --> 00:03:01.000]  他們三個人都沒有什麼成果
[00:03:01.000 --> 00:03:03.000]  幾個都很累
