
[00:00:00.000 --> 00:00:02.500]  不知大家剛才聽到這兩段的經文
[00:00:02.500 --> 00:00:04.500]  有沒有覺得好像有些不妥當的地方
[00:00:04.500 --> 00:00:07.000]  不知道大家聽到剛才這兩段經文
[00:00:07.000 --> 00:00:09.500]  有沒有覺得有點不妥當的地方
[00:00:09.500 --> 00:00:13.500]  在《易不所書》保羅說我們得救是本乎恩 恩著信
[00:00:13.500 --> 00:00:18.000]  在《易不所書》保羅說我們得救是本乎恩 恩著信
[00:00:18.000 --> 00:00:22.000]  然後他說我們的救恩 我們得救並不是出於行為
[00:00:22.000 --> 00:00:24.000]  免得有人自誇
[00:00:24.000 --> 00:00:28.000]  還有說我們得救並不是出於行為 免得有人自誇
[00:00:28.000 --> 00:00:30.000]  但是到了《斐勒比書》的時候
[00:00:30.000 --> 00:00:32.000]  但是到了《斐勒比書》的時候
[00:00:32.000 --> 00:00:40.000]  他卻說我們需要恐懼戰擊 造成我們得救的功夫
[00:00:40.000 --> 00:00:46.000]  在《斐勒比書》裏他卻又說我們要恐懼戰擊 造成我們得救的功夫
[00:00:46.000 --> 00:00:49.000]  聽上去好像這兩段的經文有點矛盾
[00:00:49.000 --> 00:00:52.000]  聽起來這兩段的經文好像有點矛盾
[00:00:52.000 --> 00:00:56.000]  究竟我們需不需要盡力造成我們得救的功夫呢
[00:00:56.000 --> 00:00:59.000]  究竟我們需不需要盡力造成我們得救的功夫呢
[00:00:59.000 --> 00:01:03.000]  今天讓我們來探討這個好像有一點矛盾的經文
[00:01:03.000 --> 00:01:08.000]  今天我們一起來探討這一段好像稍微有點矛盾的經文
[00:01:08.000 --> 00:01:11.000]  我們首先來看《易不所書》的二章八節
[00:01:11.000 --> 00:01:14.000]  我們先看《易不所書》的二章八節
[00:01:14.000 --> 00:01:17.000]  那裏說你們得救是本乎恩
[00:01:17.000 --> 00:01:19.000]  這裏說你們得救是本乎恩
[00:01:19.000 --> 00:01:23.000]  在這節的經文裏面那個得救呢
[00:01:23.000 --> 00:01:25.000]  這節經文裏的這個得救呢
[00:01:25.000 --> 00:01:28.000]  希臘文呢就是soso這個字
[00:01:28.000 --> 00:01:32.000]  那麼希臘文就是soso這個字
[00:01:32.000 --> 00:01:35.000]  這個字呢在新約的聖經裏面出了110次那麼多
[00:01:35.000 --> 00:01:39.000]  這個詞呢在新約聖經裏出現了大概110次
