
[00:00:00.000 --> 00:00:03.520]  《時事記》的十四章、十五章
[00:00:03.520 --> 00:00:07.000]  我今天給他一個很有趣的題目
[00:00:07.000 --> 00:00:09.600]  剛才Betty也走來跟我說
[00:00:09.600 --> 00:00:12.880]  牧師你一定是很喜歡看武俠小說
[00:00:12.880 --> 00:00:14.440]  你今天的題目是
[00:00:14.440 --> 00:00:18.600]  「參宣的致命死穴」
[00:00:18.600 --> 00:00:23.000]  還有「心懷異異的可怕」
[00:00:23.000 --> 00:00:25.120]  甚麼是他致命的死穴?
[00:00:25.120 --> 00:00:26.240]  是女人
[00:00:26.240 --> 00:00:28.760]  她是沉迷女色
[00:00:28.760 --> 00:00:32.000]  為何她是有心懷異異?
[00:00:32.000 --> 00:00:35.520]  因為神是要她來對抗菲律師人
[00:00:35.520 --> 00:00:39.200]  但她想跟菲律師人結交
[00:00:39.200 --> 00:00:44.400]  甚至是跟菲律師的一個女子結婚
[00:00:44.400 --> 00:00:47.640]  所以她是一個心懷異異的人
[00:00:47.640 --> 00:00:50.960]  有人說一個人最大的能力
[00:00:50.960 --> 00:00:53.000]  就是他的可靠性
[00:00:53.000 --> 00:00:55.200]  但在參宣的身上
[00:00:55.200 --> 00:00:57.920]  他是一個滿有能力的人
[00:00:57.920 --> 00:01:01.080]  但他絕對不是一個可靠的人
[00:01:01.080 --> 00:01:04.720]  參宣在男人面前恐武有力
[00:01:04.720 --> 00:01:06.880]  很大的能力
[00:01:06.880 --> 00:01:08.840]  但在女人面前
[00:01:08.840 --> 00:01:11.760]  她顯得軟弱無力
[00:01:11.760 --> 00:01:13.040]  多過一次
[00:01:13.040 --> 00:01:15.520]  起碼兩次將自己的秘密
[00:01:15.520 --> 00:01:17.640]  來告訴敵人
[00:01:17.640 --> 00:01:21.000]  就是告訴她身邊的女人
[00:01:21.000 --> 00:01:23.680]  她的靈是被神來帶領
[00:01:23.680 --> 00:01:29.080]  但她的身體是被情慾征服
[00:01:29.080 --> 00:01:32.920]  神是要她向菲律師人宣戰
[00:01:32.920 --> 00:01:35.960]  但她跟菲律師人結交
[00:01:35.960 --> 00:01:39.760]  想娶一個菲律師的女子為妻
[00:01:39.760 --> 00:01:41.840]  她八天為主爭戰
[00:01:41.840 --> 00:01:46.560]  晚上違背了神的誡命
[00:01:46.560 --> 00:01:50.600]  參宣這個名字的意思是燦爛的陽光
[00:01:50.600 --> 00:01:53.240]  但她最後是被敵人
[00:01:53.240 --> 00:01:55.480]  將她雙眼挖了出來
[00:01:55.480 --> 00:01:57.160]  以致她失明
[00:01:57.160 --> 00:01:59.480]  到最後她死在一間
[00:01:59.480 --> 00:02:03.480]  供奉外邦人神靈的廟裡面
[00:02:03.480 --> 00:02:08.120]  是一個非常可悲的故事
[00:02:08.120 --> 00:02:12.640]  我們說參宣是一個心懷異議的人
[00:02:12.640 --> 00:02:16.040]  一方面神要她對抗敵人
[00:02:16.040 --> 00:02:20.000]  另一方面她要娶外邦人的妻子
[00:02:20.000 --> 00:02:22.520]  她絕對不是可靠
[00:02:22.520 --> 00:02:26.000]  她的人做事是很難被人預測
[00:02:26.000 --> 00:02:29.160]  她下一步會做些什麼
[00:02:29.160 --> 00:02:32.320]  就像雅各書的一章百節
[00:02:32.320 --> 00:02:34.120]  說心懷異議的人
[00:02:34.120 --> 00:02:40.000]  在他一切所行的路上都沒有定見
[00:02:40.000 --> 00:02:43.760]  雖然希伯來書的十一章三十二節
[00:02:43.760 --> 00:02:46.000]  說她是有信心的人
[00:02:46.000 --> 00:02:47.480]  雖然她有信心
[00:02:47.480 --> 00:02:50.520]  但她絕對不是一個忠心的人
[00:02:50.520 --> 00:02:54.480]  她對她父母的教導不忠心
