
[00:00:00.000 --> 00:00:05.440]  有一個地方叫達拉斯,有一間神學院
[00:00:05.440 --> 00:00:09.760]  在1924年成立
[00:00:09.760 --> 00:00:15.200]  沒多久就遇上財務上的困難
[00:00:15.200 --> 00:00:18.720]  學院就面臨破產
[00:00:18.720 --> 00:00:21.160]  有一天所有的債主都約定
[00:00:21.160 --> 00:00:26.520]  在那天去神學院追債
[00:00:26.520 --> 00:00:31.640]  他們決定如果神學院拿不出錢
[00:00:31.640 --> 00:00:34.960]  神學院就要宣告破產
[00:00:34.960 --> 00:00:39.640]  那天神學院的院長就叫除了秘書之外
[00:00:39.640 --> 00:00:41.000]  一起回來祈禱
[00:00:41.000 --> 00:00:43.160]  那天神學院就叫了
[00:00:43.160 --> 00:00:45.680]  除了秘書之外都一起來禱告
[00:00:45.680 --> 00:00:49.760]  有一個董事他禱告的時候
[00:00:49.760 --> 00:00:54.520]  就用了詩篇五十篇十節
[00:00:54.520 --> 00:00:56.800]  向主祈求
[00:00:56.800 --> 00:00:58.400]  他說主啊
[00:00:58.400 --> 00:01:02.920]  他說我知道千山深處都是你的
[00:01:02.920 --> 00:01:06.440]  拜託你賣近一點吧
[00:01:06.440 --> 00:01:11.240]  沒多久突然間秘書室有個身材高大的人衝進來
[00:01:11.240 --> 00:01:15.840]  穿著牛仔褲的德州人
[00:01:15.840 --> 00:01:18.720]  他對秘書說
[00:01:18.720 --> 00:01:23.200]  他說我在附近的街市
[00:01:23.200 --> 00:01:27.840]  剛剛賣了兩車的牛
[00:01:27.840 --> 00:01:34.200]  本來想把這些錢用來做一單交易
[00:01:34.200 --> 00:01:36.800]  但是談不成
[00:01:36.800 --> 00:01:41.800]  我覺得神要我把這筆錢交給神學院
[00:01:41.800 --> 00:01:44.720]  我不知道是不是你們的需要
[00:01:44.720 --> 00:01:47.120]  支票就在這裡了
[00:01:47.120 --> 00:01:50.160]  秘書一接到支票之後
[00:01:50.160 --> 00:01:54.240]  很快就跑進去找院長
[00:01:54.240 --> 00:01:58.440]  院長一看到支票的號碼
[00:01:58.440 --> 00:02:01.520]  剛剛就是他們的需要
[00:02:01.520 --> 00:02:05.480]  院長就轉身跟董事說
[00:02:05.480 --> 00:02:10.280]  上帝今天早上真的賣了那些牛
[00:02:10.280 --> 00:02:12.760]  信耶穌的人
[00:02:12.760 --> 00:02:16.800]  會經常經歷神蹟奇事
[00:02:16.800 --> 00:02:21.480]  還沒相信的人可能就會問
[00:02:21.480 --> 00:02:24.120]  怎樣可以信耶穌呢
[00:02:24.120 --> 00:02:27.600]  相信教會大部分的人
[00:02:27.600 --> 00:02:31.240]  可以很清楚的告訴你
[00:02:31.240 --> 00:02:34.920]  如果你今天早上想信耶穌
[00:02:34.920 --> 00:02:37.160]  你就拍拍旁邊的人
[00:02:37.160 --> 00:02:39.640]  他應該會跟你講得很清楚
[00:02:39.640 --> 00:02:43.640]  但無論如何我們今天都一起來溫習
[00:02:43.640 --> 00:02:49.400]  馬可福音十六章十六到二十節
[00:02:49.400 --> 00:02:53.480]  給我一個很深刻的就是十六章十六節
[00:02:53.480 --> 00:02:56.240]  給我一個很深刻的就是十六章十六節
[00:02:56.240 --> 00:03:00.240]  他說信而受洗必然得救
[00:03:00.240 --> 00:03:03.120]  不信的必被定罪
[00:03:03.120 --> 00:03:05.640]  後半句沒有講到受浸
[00:03:05.640 --> 00:03:11.360]  意思就是說得救是在乎信和不信
[00:03:11.360 --> 00:03:13.920]  意思就是說得救是在乎信和不信
[00:03:13.920 --> 00:03:15.440]  不在乎是否受浸
[00:03:15.440 --> 00:03:17.240]  不在乎是否受浸
[00:03:17.240 --> 00:03:19.840]  約翰福音三章三十六節
[00:03:19.840 --> 00:03:22.040]  約翰福音三章三十六節說
[00:03:22.040 --> 00:03:24.360]  信耶穌的人有永生
[00:03:24.360 --> 00:03:25.840]  信耶穌的人有永生
[00:03:25.840 --> 00:03:28.000]  不信耶穌的人就沒有永生
[00:03:28.000 --> 00:03:29.560]  不信耶穌的人就沒有永生
[00:03:29.560 --> 00:03:32.040]  神的震怒經常在他們身上
[00:03:32.040 --> 00:03:34.480]  神的震怒經常在他們身上
[00:03:34.480 --> 00:03:36.160]  馬可福音十六章
[00:03:36.160 --> 00:03:36.880]  馬可福音十六章
[00:03:36.880 --> 00:03:40.040]  一再出現門徒不相信耶穌
[00:03:40.040 --> 00:03:42.040]  一再出現門徒不相信耶穌
[00:03:42.040 --> 00:03:43.680]  他們不相信耶穌的復活
[00:03:43.680 --> 00:03:45.160]  他們不相信耶穌的復活
[00:03:45.160 --> 00:03:46.840]  所以當耶穌復活之後
[00:03:46.840 --> 00:03:48.280]  所以當耶穌復活之後
[00:03:48.280 --> 00:03:50.200]  就向十一個門徒顯現
[00:03:50.200 --> 00:03:51.760]  就向十一個門徒顯現
[00:03:51.760 --> 00:03:53.560]  責備他們為什麼不信
[00:03:53.560 --> 00:03:55.520]  就責備他們為什麼不信
[00:03:55.520 --> 00:03:57.400]  因為如果門徒都不信
[00:03:57.400 --> 00:03:59.040]  因為如果門徒都不信
[00:03:59.040 --> 00:04:00.400]  你怎樣向人傳福音
[00:04:00.400 --> 00:04:01.680]  你怎麼去傳福音
[00:04:01.680 --> 00:04:04.800]  不過十六章十四節所提到的
