
[00:00:00.000 --> 00:00:04.860]  現在留著沒 加拉太書是一卷不太容易讀的書
[00:00:04.860 --> 00:00:07.180]  但是加拉太書非常重要
[00:00:07.180 --> 00:00:11.620]  跟羅馬書可以說這兩卷書是保羅整個書信當中
[00:00:11.620 --> 00:00:15.460]  講到我們西洋的一個非常重要的核心就是什麼
[00:00:15.460 --> 00:00:19.180]  陰性誠意
[00:00:19.180 --> 00:00:20.600]  我們已經講了好多次了
[00:00:20.600 --> 00:00:23.420]  你說 哎呀 牧師啊 陰性誠意太簡單了
[00:00:23.420 --> 00:00:25.100]  我聽過這麼多遍 我都知道
[00:00:25.100 --> 00:00:27.640]  好 跟你旁邊分享一下什麼叫陰性誠意
[00:00:27.640 --> 00:00:30.160]  你一句話就好了嘛 不要講太多好不好
[00:00:30.160 --> 00:00:35.860]  來 你跟他分享一下
[00:00:35.860 --> 00:00:40.020]  我們今天讀的這段經文 加拉太書第三章第六節
[00:00:40.020 --> 00:00:44.720]  開始到第九節
[00:00:44.720 --> 00:00:48.900]  保羅在加拉太書第三章第一節到第五節 還記得嗎
[00:00:48.900 --> 00:00:53.340]  我們講了兩次信息 是不是 還記得嗎
[00:00:53.340 --> 00:00:58.180]  三章第一節到第五節 主題是什麼
[00:00:58.180 --> 00:01:06.060]  陰性領受聖靈
[00:01:06.060 --> 00:01:09.420]  所以保羅用聖靈來做一個例子
[00:01:09.420 --> 00:01:14.260]  他說你信了耶穌是因為行律法呢
[00:01:14.260 --> 00:01:18.700]  還是因為聖靈
[00:01:18.700 --> 00:01:21.180]  每一個信耶穌的人都有聖靈的工作
[00:01:21.180 --> 00:01:24.780]  上禮拜我們講了說 聖靈會重生我們對不對
[00:01:24.780 --> 00:01:28.820]  所以你們是憑聖靈而入門
[00:01:28.820 --> 00:01:30.180]  簡單的意思就是說
[00:01:30.180 --> 00:01:32.220]  每一個重生得救的基督徒
[00:01:32.220 --> 00:01:35.620]  他都是聖靈重生他的
[00:01:35.620 --> 00:01:36.960]  不是因為行的律法
[00:01:36.960 --> 00:01:43.620]  不是因為去做了什麼好事 不是
[00:01:43.620 --> 00:01:47.460]  所以因為我們是聖靈重生了
[00:01:47.460 --> 00:01:49.580]  我們聖靈入門了
[00:01:49.580 --> 00:01:51.580]  所以上禮拜我也提到
[00:01:51.580 --> 00:01:55.260]  我們也被聖靈充滿 是不是
[00:01:55.260 --> 00:01:57.540]  主應許賜給我們聖靈充滿
[00:01:57.540 --> 00:01:59.540]  好叫我們得到能力恩賜
[00:01:59.540 --> 00:02:05.340]  為主做見證傳福音 是不是
[00:02:05.340 --> 00:02:07.980]  所以保羅講完這個之後
[00:02:07.980 --> 00:02:09.580]  第一節到第五節講完之後
[00:02:09.580 --> 00:02:12.780]  接著第六節開始到第九節
[00:02:12.780 --> 00:02:19.940]  他就用亞伯拉罕作為一個例子
[00:02:19.940 --> 00:02:21.660]  一開始他就說
[00:02:21.660 --> 00:02:24.740]  他說正如亞伯拉罕
[00:02:24.740 --> 00:02:32.660]  信神這就算為他的什麼義
