
[00:00:00.000 --> 00:00:03.000]  今年教會的主題就是
[00:00:03.000 --> 00:00:07.000]  心意更新 作好鄰舍
[00:00:07.000 --> 00:00:09.000]  作好鄰舍
[00:00:09.000 --> 00:00:11.000]  愛是很重要的
[00:00:11.000 --> 00:00:15.000]  因為耶穌給了我們一個大誡命
[00:00:15.000 --> 00:00:17.000]  這是第一的大誡命
[00:00:17.000 --> 00:00:20.000]  就是你要盡心盡性
[00:00:20.000 --> 00:00:22.000]  盡義盡力
[00:00:22.000 --> 00:00:24.000]  愛主你的神
[00:00:24.000 --> 00:00:27.000]  又要愛鄰舍如同自己
[00:00:27.000 --> 00:00:32.000]  這條大誡命正正用十字架
[00:00:32.000 --> 00:00:40.000]  就是這樣表述大誡命的意義
[00:00:40.000 --> 00:00:45.000]  神和人是一個中向的關係
[00:00:45.000 --> 00:00:50.000]  人和人是一個橫向的關係
[00:00:50.000 --> 00:00:54.000]  十字架告訴我們
[00:00:54.000 --> 00:00:57.000]  神先愛我們
[00:00:57.000 --> 00:01:01.000]  所以我們就要去愛
[00:01:01.000 --> 00:01:03.000]  今天的講題是
[00:01:03.000 --> 00:01:05.000]  「拓展愛的疆界」
[00:01:05.000 --> 00:01:08.000]  我會用三點的重點
[00:01:08.000 --> 00:01:12.000]  去宣講今天的講題
[00:01:12.000 --> 00:01:14.000]  拓展愛的疆界
[00:01:14.000 --> 00:01:17.000]  拔起我他的關係
[00:01:17.000 --> 00:01:19.000]  拓展愛的疆界
[00:01:19.000 --> 00:01:21.000]  植根我們的關係
[00:01:21.000 --> 00:01:24.000]  拓展愛的疆界
[00:01:24.000 --> 00:01:26.000]  植根我他的關係
[00:01:26.000 --> 00:01:31.000]  《老教福音》十章二十五至二十九節
[00:01:31.000 --> 00:01:34.000]  講到有個律法師來試探耶穌
[00:01:34.000 --> 00:01:36.000]  看看耶穌有什麼料
[00:01:36.000 --> 00:01:38.000]  他問了一個問題
[00:01:38.000 --> 00:01:42.000]  我可以做什麼才可以承受永生?
[00:01:42.000 --> 00:01:46.000]  耶穌沒有直接回答這個問題
[00:01:46.000 --> 00:01:49.000]  由律法師自己去回答
[00:01:49.000 --> 00:01:54.000]  你要盡心盡性盡義盡力
[00:01:54.000 --> 00:01:56.000]  愛主你的神
[00:01:56.000 --> 00:02:00.000]  又要愛鄰舍如同自己
[00:02:00.000 --> 00:02:05.000]  律法師很明顯地自問自答
[00:02:05.000 --> 00:02:07.000]  自問自答都好
[00:02:07.000 --> 00:02:09.000]  好過自言自語
[00:02:09.000 --> 00:02:11.000]  律法師很聰明
[00:02:11.000 --> 00:02:12.000]  其實這條問題
[00:02:12.000 --> 00:02:15.000]  我應該做什麼才可以承受永生?
[00:02:15.000 --> 00:02:19.000]  問題背後是不簡單的
