
[00:00:00.000 --> 00:00:02.000]  我首先要低頭祈禱
[00:00:02.000 --> 00:00:08.320]  當我們踏入這個禮堂之前
[00:00:08.320 --> 00:00:11.240]  我們心裏面仍然有很多的記掛
[00:00:11.240 --> 00:00:14.160]  有很多的結我們未解
[00:00:14.160 --> 00:00:17.600]  甚至有些仇、有些仗
[00:00:17.600 --> 00:00:20.160]  我們都未解決
[00:00:20.160 --> 00:00:23.680]  但我們透過美好的詩歌
[00:00:23.680 --> 00:00:27.000]  透過聖經的教導
[00:00:27.000 --> 00:00:29.320]  透過崇尚別人的智慧
[00:00:30.000 --> 00:00:33.040]  幫助我們躺開了心
[00:00:33.040 --> 00:00:36.160]  全心去領受上帝的話語
[00:00:36.160 --> 00:00:38.920]  奉耶穌名祈禱 阿們
[00:00:38.920 --> 00:00:41.320]  不知道大家有沒有感受到
[00:00:41.320 --> 00:00:43.320]  近期香港的氣氛很特別
[00:00:43.320 --> 00:00:45.160]  很難去形容
[00:00:45.160 --> 00:00:48.840]  有一位記者出身的朋友
[00:00:48.840 --> 00:00:50.600]  在《明報》的專欄這樣寫
[00:00:50.600 --> 00:00:53.800]  他一班平時可以無所不談的好朋友
[00:00:53.800 --> 00:00:55.640]  一起去喫飯 什麼都說的
[00:00:55.640 --> 00:00:58.000]  但那天突然間有人說一句
[00:00:58.880 --> 00:01:01.000]  誰說老師不可以說髒話
[00:01:01.000 --> 00:01:04.480]  於是全場靜了
[00:01:04.480 --> 00:01:06.720]  因為如果再爭論下去
[00:01:06.720 --> 00:01:08.320]  會不歡而散
[00:01:08.320 --> 00:01:12.120]  有一位聽眾在網上留言給我說
[00:01:12.120 --> 00:01:13.200]  真的
[00:01:13.200 --> 00:01:14.680]  那天我們喫飯
[00:01:14.680 --> 00:01:17.360]  突然間爸爸放了一個筷子
[00:01:17.360 --> 00:01:18.160]  指著電視機拿
[00:01:18.160 --> 00:01:21.640]  就是這班嘟嘟搞壞香港
[00:01:21.640 --> 00:01:25.240]  於是全家靜了
[00:01:25.240 --> 00:01:26.840]  沒有人說話
[00:01:27.960 --> 00:01:28.960]  那些氣氛很特別
[00:01:28.960 --> 00:01:30.960]  我經常說香港是一個
[00:01:30.960 --> 00:01:32.360]  其實很有包容性
[00:01:32.360 --> 00:01:34.240]  一個百花齊放
[00:01:34.240 --> 00:01:35.880]  我們能夠任何的言論
[00:01:35.880 --> 00:01:37.120]  可以說的城市
[00:01:37.120 --> 00:01:39.600]  但發覺現在面對很多
[00:01:39.600 --> 00:01:41.720]  很爭論性的問題
[00:01:41.720 --> 00:01:44.120]  變成了是沒得對話的
[00:01:44.120 --> 00:01:47.480]  是隻有互相去指罵的
[00:01:47.480 --> 00:01:50.600]  那些氣氛是不斷去問
[00:01:50.600 --> 00:01:51.240]  甚至呢
[00:01:51.240 --> 00:01:54.280]  這種情況在教會是需要的
[00:01:54.280 --> 00:01:56.840]  於是我們教會很多
[00:01:56.840 --> 00:01:59.600]  我們盡量避開一切
[00:01:59.600 --> 00:02:02.440]  可能出爾爭論的問題
[00:02:02.440 --> 00:02:04.920]  發覺很多問題要爭論的時候
[00:02:04.920 --> 00:02:06.320]  所以教會很多東西都不敢鬥的
[00:02:06.320 --> 00:02:10.000]  於是我們保持一個表面的寧靜
[00:02:10.000 --> 00:02:10.920]  但是呢
[00:02:10.920 --> 00:02:12.760]  在會友心目中
[00:02:12.760 --> 00:02:15.320]  其實很多的問題想問
[00:02:15.320 --> 00:02:16.680]  很多東西想說
[00:02:16.680 --> 00:02:17.920]  但不知道怎麼說
[00:02:17.920 --> 00:02:21.600]  其實這些情況在很多教會都出現
[00:02:21.600 --> 00:02:25.240]  昨天我們教會的執事會都討論過
[00:02:25.880 --> 00:02:28.240]  教會怎麼去面對會友
[00:02:28.240 --> 00:02:32.200]  有關佔領中環的爭論
[00:02:32.200 --> 00:02:34.520]  其實這個不是一個信仰話題
[00:02:34.520 --> 00:02:36.200]  教會不需要表態
[00:02:36.200 --> 00:02:38.520]  但是會友會關心的
[00:02:38.520 --> 00:02:39.680]  會問教育同工
[00:02:39.680 --> 00:02:40.760]  你怎麼看
[00:02:40.760 --> 00:02:44.320]  我們會跨過了很多討論的過程
[00:02:44.320 --> 00:02:45.280]  一去到答案
[00:02:45.280 --> 00:02:46.400]  這個是危險的
[00:02:46.400 --> 00:02:48.320]  這個是危險的
[00:02:48.320 --> 00:02:50.200]  一個討論過程
[00:02:50.200 --> 00:02:53.920]  其實是一個思考和信仰反映的過程
