
[00:00:00.000 --> 00:00:05.200]  最近在2014年裡,有一個這樣的統計,
[00:00:05.200 --> 00:00:09.000]  他說在美國的教會裡面,
[00:00:09.000 --> 00:00:18.000]  信徒一個星期看聖經一次或以上的有37%。
[00:00:18.000 --> 00:00:21.520]  聽起來很安慰吼,
[00:00:21.520 --> 00:00:25.020]  如果把這個數字反過來念的話呢,
[00:00:25.020 --> 00:00:26.400]  你就會很憂愁,
[00:00:26.760 --> 00:00:34.500]  意思說,一個星期的當中有63%的人連看聖經一次的這個習慣都沒有。
[00:00:34.500 --> 00:00:41.760]  約翰威斯你說沒有一個人不在看神的話語中知道神的旨意,
[00:00:41.760 --> 00:00:46.500]  一樣我們今天在神的面前再次有這種的勇氣,
[00:00:46.500 --> 00:00:50.000]  每個禮拜在神的面前來看神自己的言語。
[00:00:50.400 --> 00:00:58.400]  我在1月1號的時候,我做了一個醫生裡面沒有嘗試過的一個自我的計劃,
[00:00:58.400 --> 00:01:04.900]  每天清晨把最好的兩個小時給神,
[00:01:04.900 --> 00:01:07.900]  讀經禱告,然後看神的話語,
[00:01:07.900 --> 00:01:14.400]  然後把所領受的把它錄下來,
[00:01:14.400 --> 00:01:21.900]  然後請一個教會的一個姊妹特別把我有的把它寫成了一個筆記,
[00:01:21.900 --> 00:01:27.900]  原先是為了我們教會的小組需要,
[00:01:27.900 --> 00:01:31.900]  所以後來我就把它放在Facebook,
[00:01:31.900 --> 00:01:34.900]  沒有想過過了兩個月以後,
[00:01:34.900 --> 00:01:36.900]  這個同工告訴我,
[00:01:36.900 --> 00:01:42.400]  他說牧師啊,你寫的東西竟然現在傳到很遠的地方,
[00:01:42.400 --> 00:01:43.900]  我說有多遠?
[00:01:43.900 --> 00:01:45.900]  傳到中國去,
[00:01:45.900 --> 00:01:51.900]  然後呢有一些人是沒有經籌我的同意轉發的,
[00:01:51.900 --> 00:01:55.900]  現在在東岸裡面有兩個大的群,
[00:01:55.900 --> 00:01:58.900]  我每天給他們的時候,
[00:01:58.900 --> 00:02:01.900]  他每天就放在他們的那個WeChat上面,
[00:02:01.900 --> 00:02:04.900]  然後大家有興趣Facebook裡面找活潑的生命,
[00:02:04.900 --> 00:02:11.900]  你就會找到這個checkbook大概有7000人,
[00:02:11.900 --> 00:02:13.900]  我不知道這些人是誰,
[00:02:13.900 --> 00:02:19.900]  但是呢我每天寫的東西到了晚上就一定貼在他們裡面上面去,
[00:02:19.900 --> 00:02:21.900]  那我很驚訝,
[00:02:21.900 --> 00:02:25.900]  我說我個人自己的領受的東西為什麼有些人會轉載,
[00:02:25.900 --> 00:02:28.900]  而且放在這個很大的網絡上面,
[00:02:28.900 --> 00:02:34.900]  後來更發現有另外一個宣教士把我的東西發在中國去,
[00:02:34.900 --> 00:02:36.900]  那我聽到的時候我驚訝,
[00:02:36.900 --> 00:02:43.900]  另一個方面我就覺得原來神的話語餵養一個人也可以連續餵養很多的人,
[00:02:43.900 --> 00:02:45.900]  所以鼓勵大家,
[00:02:45.900 --> 00:02:47.900]  我做了一個很小對自己的要求,
[00:02:47.900 --> 00:02:49.900]  是每天寫下來,
[00:02:49.900 --> 00:02:52.900]  從1月1號到現在的3月19號,
[00:02:52.900 --> 00:02:53.900]  沒有一天停,
[00:02:53.900 --> 00:02:54.900]  包括星期天,
[00:02:54.900 --> 00:02:55.900]  我有些時候想,
[00:02:55.900 --> 00:02:58.900]  我說你真的有這樣多的時間嗎?
[00:02:58.900 --> 00:03:00.900]  我跟神說我真的沒有這個時間,
[00:03:00.900 --> 00:03:02.900]  但是感謝讚美主,
[00:03:02.900 --> 00:03:06.900]  在同工的配合底下,這個成為別人的幫助,
[00:03:06.900 --> 00:03:08.900]  我盼望你的生命也這樣子,
[00:03:08.900 --> 00:03:11.900]  能夠因著神的領受的恩惠,
