
[00:00:00.000 --> 00:00:01.600]  各位兄弟姐妹 你們好
[00:00:01.600 --> 00:00:03.600]  今天是復活節的主日
[00:00:03.600 --> 00:00:05.600]  我們會紀念主耶穌復活
[00:00:05.600 --> 00:00:06.800]  但我想說
[00:00:06.800 --> 00:00:10.100]  其實每個主日都是復活節主日
[00:00:10.100 --> 00:00:12.300]  因為主已經復活了
[00:00:12.300 --> 00:00:14.100]  所以我們才去敬拜祂
[00:00:14.100 --> 00:00:19.000]  正如我特別鼓勵青少年人要尊重父母
[00:00:19.000 --> 00:00:21.800]  上次我已經說
[00:00:21.800 --> 00:00:25.300]  女性的地位比男性強很多
[00:00:25.300 --> 00:00:26.900]  因為在英國
[00:00:26.900 --> 00:00:29.900]  三月第二個星期是母親節
[00:00:29.900 --> 00:00:31.900]  可能那些丈夫說
[00:00:31.900 --> 00:00:33.900]  我們是五月第二個星期
[00:00:33.900 --> 00:00:35.900]  可能太太說
[00:00:35.900 --> 00:00:36.900]  我們進了英國
[00:00:36.900 --> 00:00:38.900]  當然要依英國的慣例
[00:00:38.900 --> 00:00:40.900]  那就要有母親節了
[00:00:40.900 --> 00:00:42.900]  但到五月第二個星期
[00:00:42.900 --> 00:00:44.900]  是香港慣常的母親節
[00:00:44.900 --> 00:00:46.900]  那太太就說
[00:00:46.900 --> 00:00:48.400]  你為什麼不和我慶祝母親節?
[00:00:48.400 --> 00:00:49.900]  三月已經和你慶祝了
[00:00:49.900 --> 00:00:50.900]  我們是香港來的
[00:00:50.900 --> 00:00:53.700]  我們怎麼可以數點黃鐘呢?
[00:00:53.700 --> 00:00:55.900]  於是又有第二個母親節了
[00:00:55.900 --> 00:00:57.900]  但我常常和青少年說
[00:00:57.900 --> 00:00:59.900]  不是母親節才和母親慶祝
[00:00:59.900 --> 00:01:02.900]  其實是每一天都要尊敬我們的母親
[00:01:02.900 --> 00:01:06.900]  所以復活節每一天都是主的復活
[00:01:06.900 --> 00:01:08.900]  不過我們在這個日子裡面
[00:01:08.900 --> 00:01:11.900]  是去再思想主耶穌的復活
[00:01:11.900 --> 00:01:13.900]  對我們有什麼意義
[00:01:13.900 --> 00:01:15.900]  所以今天會和大家分享
[00:01:15.900 --> 00:01:18.900]  復活前後和主同行
[00:01:18.900 --> 00:01:20.900]  有什麼情況呢?
[00:01:20.900 --> 00:01:21.900]  在我們領受之前
[00:01:21.900 --> 00:01:22.900]  我們先來禱告
[00:01:22.900 --> 00:01:24.900]  我們先去祈禱
[00:01:24.900 --> 00:01:26.900]  我們有機會來敬拜你
[00:01:26.900 --> 00:01:28.900]  求主你自己親自使用孩子
[00:01:28.900 --> 00:01:29.900]  今天所說的信息
[00:01:29.900 --> 00:01:31.900]  聖靈你自己親自的工作
[00:01:31.900 --> 00:01:33.900]  讓我們帶進去有所反思
[00:01:33.900 --> 00:01:34.900]  帶領我們以後的時間
[00:01:34.900 --> 00:01:36.900]  祈禱奉主 得善的名
[00:01:36.900 --> 00:01:37.900]  阿們
[00:01:37.900 --> 00:01:39.900]  今天和大家分享的重點就是
[00:01:39.900 --> 00:01:41.900]  耶穌受苦
[00:01:41.900 --> 00:01:42.900]  受死之前
[00:01:42.900 --> 00:01:43.900]  和之後
[00:01:43.900 --> 00:01:46.900]  那些門徒怎麼去面對主耶穌
[00:01:46.900 --> 00:01:49.900]  其實有很多種不同的形態出現
[00:01:49.900 --> 00:01:53.900]  第一種就是半途而退
[00:01:53.900 --> 00:01:55.900]  當耶穌剛出來
[00:01:55.900 --> 00:01:57.900]  去宣告天國的福音的時候
[00:01:57.900 --> 00:02:00.900]  祂說的道理很顯淺
[00:02:00.900 --> 00:02:02.900]  但是卻是很有意思
[00:02:02.900 --> 00:02:05.900]  重要的是祂能夠行神蹟
[00:02:05.900 --> 00:02:07.900]  治病趕鬼
[00:02:07.900 --> 00:02:09.900]  所以很多人來大去歡迎祂
[00:02:09.900 --> 00:02:10.900]  我們一齊來大
[00:02:10.900 --> 00:02:13.900]  去看這項福音第六章第二節
[00:02:13.900 --> 00:02:16.900]  很多人看到耶穌所行的神蹟
[00:02:16.900 --> 00:02:17.900]  就跟隨祂
[00:02:17.900 --> 00:02:18.900]  特別
[00:02:18.900 --> 00:02:19.900]  如果你記得
[00:02:19.900 --> 00:02:22.900]  在五餅二魚的神蹟之後
[00:02:22.900 --> 00:02:24.900]  更加多人要跟隨耶穌
[00:02:24.900 --> 00:02:26.900]  甚至福音記載這些人
[00:02:26.900 --> 00:02:28.900]  想擁戴耶穌做王
[00:02:28.900 --> 00:02:29.900]  因為如果耶穌做王的時候
[00:02:29.900 --> 00:02:31.900]  至少不用怕沒東西吃
[00:02:31.900 --> 00:02:32.900]  你們都留意到
[00:02:32.900 --> 00:02:34.900]  在香港的一些民意調查
[00:02:34.900 --> 00:02:38.900]  哪個官員的民望是最高
[00:02:38.900 --> 00:02:39.900]  或者應該這樣說
[00:02:39.900 --> 00:02:40.900]  不是最低那個
