
[00:00:00.000 --> 00:00:03.400]  我不知道大家怎樣理解新約和舊約之間的關係
[00:00:03.400 --> 00:00:06.200]  我不知道大家怎樣理解新約和舊約的關係
[00:00:06.200 --> 00:00:10.200]  有人說舊約的時代是律法時代
[00:00:10.200 --> 00:00:13.200]  有人說舊約時代是律法時代
[00:00:13.200 --> 00:00:15.300]  就是要靠著律法來得救
[00:00:15.300 --> 00:00:17.500]  就是要靠守律法來得救
[00:00:17.500 --> 00:00:18.800]  所以就沒有救恩
[00:00:18.800 --> 00:00:20.000]  所以沒有救恩的
[00:00:20.000 --> 00:00:22.600]  而新約時代就是所謂的恩典時代
[00:00:22.600 --> 00:00:25.000]  那麼新約時代就是所謂的恩典時代
[00:00:25.000 --> 00:00:26.800]  就是靠恩而得救
[00:00:26.800 --> 00:00:28.200]  而是靠恩得救
[00:00:28.200 --> 00:00:29.500]  所以就不用守律法了
[00:00:29.500 --> 00:00:31.000]  所以就不需要守律法了
[00:00:31.000 --> 00:00:31.900]  不知道大家有沒有聽過
[00:00:31.900 --> 00:00:33.800]  或者同不同意以上的說法
[00:00:33.800 --> 00:00:35.100]  不知道大家有沒有聽過
[00:00:35.100 --> 00:00:37.800]  或者是不是同意這種講法
[00:00:37.800 --> 00:00:39.200]  那我可以告訴大家
[00:00:39.200 --> 00:00:40.600]  那麼我告訴大家聽
[00:00:40.600 --> 00:00:43.500]  這個說法是沒有什麼聖經的根據
[00:00:43.500 --> 00:00:45.400]  那麼這個說法是沒有什麼聖經根據的
[00:00:45.400 --> 00:00:47.200]  甚至可以說是錯的
[00:00:47.200 --> 00:00:48.400]  甚至是錯誤的
[00:00:48.400 --> 00:00:49.500]  我們需要明白
[00:00:49.500 --> 00:00:50.500]  我們需要明白
[00:00:50.500 --> 00:00:51.900]  無論舊約還是新約
[00:00:51.900 --> 00:00:53.900]  無論是舊約或者是新約
[00:00:53.900 --> 00:00:54.800]  我們都是
[00:00:54.800 --> 00:00:57.200]  無論是舊約時代還是恩典時代
[00:00:57.200 --> 00:00:59.500]  無論是舊約時代或者是恩典時代
[00:00:59.500 --> 00:01:02.400]  我們都是靠恩來稱義
[00:01:02.400 --> 00:01:04.000]  我們都是靠恩來稱義
[00:01:04.000 --> 00:01:05.500]  我們靠恩來得救
[00:01:05.500 --> 00:01:06.900]  我們靠恩來得救
[00:01:06.900 --> 00:01:08.400]  而今天的信徒
[00:01:08.400 --> 00:01:10.200]  因為今日的信徒
[00:01:10.200 --> 00:01:12.000]  雖然活在恩典時代
[00:01:12.000 --> 00:01:13.000]  雖然是在恩典時代
[00:01:13.000 --> 00:01:14.800]  但是我們仍然靠神的恩典
[00:01:14.800 --> 00:01:16.600]  但是我們依然靠神的恩典
[00:01:16.600 --> 00:01:18.100]  靠聖靈所賜的能力
[00:01:18.100 --> 00:01:19.500]  靠聖靈所賜的能力
[00:01:19.500 --> 00:01:23.100]  來仍然的去持守律法裏面的精神
[00:01:23.100 --> 00:01:25.200]  來仍然持守律法的精神
[00:01:25.200 --> 00:01:28.000]  雖然主耶穌在舊約裏面
[00:01:28.000 --> 00:01:29.500]  主耶穌是沒有出現過的
[00:01:29.500 --> 00:01:30.700]  那麼你看舊約裏面
[00:01:30.700 --> 00:01:32.900]  主耶穌是沒有出現過的
[00:01:32.900 --> 00:01:34.500]  但是我們看舊約的時候
[00:01:34.500 --> 00:01:36.000]  但是我們看舊約的時候
[00:01:36.000 --> 00:01:38.600]  我們不能夠離開基督去理解舊約
[00:01:38.600 --> 00:01:40.800]  我們不能夠離開基督去理解舊約
[00:01:40.800 --> 00:01:42.600]  因為主耶穌自己這樣說
[00:01:42.600 --> 00:01:44.000]  因為主耶穌這樣說
[00:01:44.000 --> 00:01:45.500]  摩西的律法
[00:01:45.500 --> 00:01:46.400]  摩西的律法
[00:01:46.400 --> 00:01:47.200]  先知的書
[00:01:47.200 --> 00:01:48.400]  先知的書
[00:01:48.400 --> 00:01:50.600]  和詩篇上所寫的呢
[00:01:50.600 --> 00:01:52.400]  和詩篇上所寫的
[00:01:52.400 --> 00:01:55.000]  很多地方都是指著主耶穌來講
[00:01:55.000 --> 00:01:57.500]  很多地方都是指著主耶穌來說的
[00:01:57.500 --> 00:02:00.600]  有一次他在會堂裏面讀了一段聖經之後
[00:02:00.600 --> 00:02:02.000]  讀了以賽亞書之後
[00:02:02.000 --> 00:02:05.800]  有一次他在會堂裏讀完一段以賽亞書之後
[00:02:05.800 --> 00:02:07.600]  他就說
[00:02:07.600 --> 00:02:08.800]  他就說
[00:02:08.800 --> 00:02:11.400]  今天這段經文裏面所講的東西
[00:02:11.400 --> 00:02:13.600]  已經應驗在你們當中了
[00:02:13.600 --> 00:02:16.400]  他說今天這段經文裏所講的
[00:02:16.400 --> 00:02:18.800]  已經應驗在你們的耳中了
[00:02:18.800 --> 00:02:20.600]  所以無論新約與舊約
[00:02:20.600 --> 00:02:22.200]  所以無論是新約和舊約
[00:02:22.200 --> 00:02:24.400]  那個焦點都是主耶穌基督的身上
[00:02:24.400 --> 00:02:27.200]  那個焦點都是主耶穌基督的身上
[00:02:27.200 --> 00:02:32.000]  有人就很精簡地將那個關係來講
[00:02:32.000 --> 00:02:36.000]  那麼有人就很經典地將這個關係是這樣講的
