
[00:00:00.000 --> 00:00:02.000]  鳳主明文大樓,弟兄姊妹平安
[00:00:02.000 --> 00:00:04.000]  鳳主溫和,弟兄姊妹平安
[00:00:04.000 --> 00:00:10.000]  大家知道今天是美國的國殤日
[00:00:10.000 --> 00:00:12.000]  大家知道今天是美國的國殤日
[00:00:12.000 --> 00:00:14.000]  911
[00:00:14.000 --> 00:00:16.000]  我今早臨修的時候
[00:00:16.000 --> 00:00:18.000]  我臨修的時候
[00:00:18.000 --> 00:00:20.000]  我看到一個故事
[00:00:20.000 --> 00:00:22.000]  我看到這麼一個故事
[00:00:22.000 --> 00:00:24.000]  就是那一天
[00:00:24.000 --> 00:00:26.000]  就是那一天
[00:00:26.000 --> 00:00:28.000]  在第一棟樓
[00:00:28.000 --> 00:00:30.000]  飛機撞上我兩樓的81樓
[00:00:30.000 --> 00:00:32.000]  飛機撞上我兩樓的81樓
[00:00:32.000 --> 00:00:34.000]  飛機撞上我兩樓的81樓
[00:00:34.000 --> 00:00:36.000]  飛機撞上是否撞上81樓我不知道
[00:00:36.000 --> 00:00:38.000]  飛機撞上是否撞上81樓我不知道
[00:00:38.000 --> 00:00:40.000]  不過有一個人叫Stanley Pranev
[00:00:40.000 --> 00:00:42.000]  不過有一個人叫Stanley Pranev
[00:00:42.000 --> 00:00:44.000]  他在81樓看到飛機撞過來
[00:00:44.000 --> 00:00:46.000]  他在81樓看到飛機撞過來
[00:00:46.000 --> 00:00:48.000]  他在81樓看到飛機撞過來
[00:00:48.000 --> 00:00:50.000]  我相信不是撞他那層,可能高過他那層
[00:00:50.000 --> 00:00:52.000]  我相信不是撞他那層,可能高過他那層
[00:00:52.000 --> 00:00:54.000]  他祈禱
[00:00:54.000 --> 00:00:56.000]  我身體保護他
[00:00:56.000 --> 00:00:58.000]  我身體保護他
[00:00:58.000 --> 00:01:00.000]  他把飛機撞到他的桌子底
[00:01:00.000 --> 00:01:02.000]  他把飛機撞到他的桌子底
[00:01:02.000 --> 00:01:04.000]  他把飛機撞到他的桌子底
[00:01:04.000 --> 00:01:06.000]  撞到他的桌子底
[00:01:06.000 --> 00:01:08.000]  撞到他的桌子底
[00:01:08.000 --> 00:01:10.000]  打電話給他的朋友
[00:01:10.000 --> 00:01:12.000]  打電話給他的朋友
[00:01:12.000 --> 00:01:14.000]  叫Brian Clark
[00:01:14.000 --> 00:01:16.000]  叫Brian Clark
[00:01:16.000 --> 00:01:18.000]  我們怎麼辦
[00:01:18.000 --> 00:01:20.000]  我們怎麼辦
[00:01:20.000 --> 00:01:22.000]  奇妙地
[00:01:22.000 --> 00:01:24.000]  奇妙地
[00:01:24.000 --> 00:01:26.000]  我們走到地面
[00:01:26.000 --> 00:01:28.000]  我們走到地面
[00:01:28.000 --> 00:01:30.000]  我們走到地面
[00:01:30.000 --> 00:01:32.000]  他在81樓
[00:01:32.000 --> 00:01:34.000]  走多少層
[00:01:34.000 --> 00:01:36.000]  80層
[00:01:36.000 --> 00:01:38.000]  這個數字很容易計算
[00:01:38.000 --> 00:01:40.000]  他在81樓
[00:01:40.000 --> 00:01:42.000]  走80層的樓梯
[00:01:42.000 --> 00:01:44.000]  走80層的樓梯
[00:01:44.000 --> 00:01:46.000]  走到地面
[00:01:46.000 --> 00:01:48.000]  走到地面
[00:01:48.000 --> 00:01:50.000]  他可以行免
[00:01:50.000 --> 00:01:52.000]  他可以行免
[00:01:52.000 --> 00:02:21.000]  他知道,他行動,這是今天的零收,消費保護,今天是十五週年了,今天十五週年,CNN今晚預告十五年後,叫做911的孩子,今晚你可以看到,這件事發生的時候,這些孩子,有些是幾歲,有的是幾歲,
[00:02:22.000 --> 00:02:51.000]  沒有父親,這十五年來怎麼去掙扎呢?有很多報告,於是讓我看到一件事,當然很悲慘,但是在這些新聞當中,沒有父親,丁子梅,我覺得這個父親的形狀是很重要,
[00:02:53.000 --> 00:03:19.000]  天父,用什麼形象給我們知道,爸爸,耶穌,到世界上,阿巴夫,今天美國總統大選,如火如荼,
