
[00:00:00.000 --> 00:00:02.240]  大仙姊妹、牧者平安
[00:00:02.240 --> 00:00:05.640]  好像很久沒有跟大家見面了,是嗎?
[00:00:05.640 --> 00:00:10.200]  很感謝神今天能夠跟大家分享神的說話
[00:00:10.200 --> 00:00:15.000]  俗世清泉是一個非常好的主題
[00:00:15.000 --> 00:00:18.840]  其實我們每一個人都很想自己的生命
[00:00:18.840 --> 00:00:21.040]  真的好像一道清泉一樣,是嗎?
[00:00:21.040 --> 00:00:22.560]  去到哪裡
[00:00:22.560 --> 00:00:26.920]  周圍的人都會因為有這一道的清泉在
[00:00:26.920 --> 00:00:28.640]  他們可以享受
[00:00:29.360 --> 00:00:31.240]  乾淨、清潔的水
[00:00:31.240 --> 00:00:32.680]  而這個水
[00:00:32.680 --> 00:00:35.720]  是可以灌進人的生命裡面
[00:00:35.720 --> 00:00:37.680]  求神幫助我們
[00:00:37.680 --> 00:00:42.280]  由我們先將以下的時間藉著祈禱交託給神
[00:00:42.280 --> 00:00:43.240]  我們一起禱告
[00:00:43.240 --> 00:00:46.000]  親愛的天父
[00:00:46.000 --> 00:00:49.040]  我們衷心感謝你的慈愛和恩典
[00:00:49.040 --> 00:00:52.800]  今天我們用每一口氣
[00:00:52.800 --> 00:00:54.320]  每一個呼吸
[00:00:54.320 --> 00:00:57.480]  去唱出讚美的歌聲
[00:00:58.160 --> 00:00:59.560]  願你越南
[00:00:59.560 --> 00:01:02.160]  又叫我們的心靈
[00:01:02.160 --> 00:01:06.480]  真的因為能夠在你面前敬拜你而歡喜快樂
[00:01:06.480 --> 00:01:10.440]  因為我們眾人在忙碌的生活、工作裡面
[00:01:10.440 --> 00:01:13.240]  能夠將今天的時間分別為聖
[00:01:13.240 --> 00:01:15.880]  在你面前親近你
[00:01:15.880 --> 00:01:19.080]  我們恭敬將以下的時間交託
[00:01:19.080 --> 00:01:20.920]  求天父你幫助我們
[00:01:20.920 --> 00:01:23.480]  謙卑領受你的說話
[00:01:24.040 --> 00:01:28.280]  讓你的話語可以做我們腳前的燈、生命的亮
[00:01:28.280 --> 00:01:31.800]  更加求你幫助我們心被恩感
[00:01:31.800 --> 00:01:36.960]  能夠從心底去回應你給我們的帶領和教導
[00:01:36.960 --> 00:01:40.280]  我們這樣的禱告奉靠主耶穌基督的命
[00:01:40.280 --> 00:01:41.160]  阿們
[00:01:41.160 --> 00:01:46.800]  今天跟大家分享的題目裡面是談吐
[00:01:46.800 --> 00:01:51.680]  談吐其實不單止是指我們說話的內容
[00:01:52.120 --> 00:01:54.800]  也包括了說話的時候的態度
[00:01:54.800 --> 00:01:58.520]  我們的粗詞和我們用什麼樣的表達方式
