
[00:00:00.000 --> 00:00:05.960]  我們繼續看這次的講道系列
[00:00:05.960 --> 00:00:09.680]  我們會講到《接受來歷加前後書》的系列
[00:00:09.680 --> 00:00:11.560]  我們之前講了一個系列
[00:00:11.560 --> 00:00:13.460]  講到《接受來歷加前後書》
[00:00:13.460 --> 00:00:14.540]  關於末世
[00:00:14.540 --> 00:00:21.060]  現在我們會講到關於教會的觀念
[00:00:21.060 --> 00:00:23.840]  大家知道《接受來歷加前書》
[00:00:23.840 --> 00:00:28.860]  是保羅第一本他所寫的書信
[00:00:28.860 --> 00:00:30.040]  他一寫的時候
[00:00:30.040 --> 00:00:33.220]  已經特別針對兩個很重要的主題
[00:00:33.220 --> 00:00:34.560]  一個是末世的主題
[00:00:34.560 --> 00:00:38.480]  另一個是關於教會的主題
[00:00:38.480 --> 00:00:42.380]  我們這個系列會講到關於教會的主題
[00:00:42.380 --> 00:00:45.720]  我們先看看經文怎麼說
[00:00:45.720 --> 00:00:46.680]  今天第一講
[00:00:46.680 --> 00:00:49.840]  我們講到《接受來歷加前書》第一章
[00:00:49.840 --> 00:00:51.400]  一至十節
[00:00:51.400 --> 00:00:53.120]  大家看到我這個口罩
[00:00:53.120 --> 00:00:54.180]  經常頂著
[00:00:54.180 --> 00:00:56.060]  我不是口吃
[00:00:56.060 --> 00:00:58.260]  請大家原諒一下
[00:00:58.260 --> 00:01:02.000]  有時頂著發音的時候也要遷就一下
[00:01:02.000 --> 00:01:02.720]  沒辦法
[00:01:02.720 --> 00:01:04.680]  這是大快活的口罩
[00:01:04.680 --> 00:01:07.120]  我們看看經文裡面所說
[00:01:07.120 --> 00:01:09.300]  「保羅西拉提摩泰寫信給
[00:01:09.300 --> 00:01:12.800]  接受來歷加在父上帝和主耶穌基督裡面的教會
[00:01:12.800 --> 00:01:15.180]  願恩惠平安歸於你們
[00:01:15.180 --> 00:01:18.080]  我們為你們眾人常常感謝上帝
[00:01:18.080 --> 00:01:20.200]  禱告的時候常提到你們
[00:01:20.200 --> 00:01:24.120]  在我們的父上帝面前不住的紀念你們
[00:01:24.120 --> 00:01:25.960]  因信心所做的工作
[00:01:25.960 --> 00:01:27.680]  因愛心所受的勞苦
[00:01:27.680 --> 00:01:31.360]  因盼望我們主耶穌基督所傳的堅忍
[00:01:31.360 --> 00:01:33.300]  上帝所愛的弟兄
[00:01:33.300 --> 00:01:36.760]  我知道你們是蒙上帝所揀選的
[00:01:36.760 --> 00:01:39.080]  因為我們的福音傳到你們那裡
[00:01:39.080 --> 00:01:40.980]  不單只是在言語
[00:01:40.980 --> 00:01:41.980]  也是在能力
[00:01:41.980 --> 00:01:45.180]  也是在聖靈和充足的確信
[00:01:45.180 --> 00:01:46.220]  你們知道
[00:01:46.220 --> 00:01:47.480]  我們在你們那裡
[00:01:47.480 --> 00:01:48.820]  我們的緣故
[00:01:48.820 --> 00:01:51.080]  為你們的緣故是怎樣為人
[00:01:51.080 --> 00:01:54.740]  你們成為效法我們更效法主的人
[00:01:54.740 --> 00:01:57.820]  因為聖靈所激發的喜樂
[00:01:57.820 --> 00:02:00.260]  在大患難當中受了真道
[00:02:00.260 --> 00:02:05.320]  從此你們就做了馬其頓和阿該亞所有信主的人的榜樣
[00:02:05.320 --> 00:02:08.240]  恩主的道已經從你們那裡傳出去
[00:02:08.240 --> 00:02:09.840]  你們向上帝的信心
[00:02:09.840 --> 00:02:11.560]  不單止在馬其頓和阿該亞
[00:02:11.560 --> 00:02:13.320]  在各處也都傳開了
[00:02:13.320 --> 00:02:15.800]  所以不用我再說什麼
[00:02:15.800 --> 00:02:20.920]  因為他們自己已經傳說我們是怎樣進到你們那裡
[00:02:20.920 --> 00:02:22.640]  你們是怎樣離棄偶像
[00:02:22.640 --> 00:02:26.680]  可以向上帝來服侍那位又真又活的上帝
[00:02:26.680 --> 00:02:29.600]  等候他兒子從天降臨
[00:02:29.600 --> 00:02:33.600]  就是上帝使他從死人中復活的那位
[00:02:33.600 --> 00:02:37.920]  救我們脫離將來憤怒的耶穌
[00:02:37.920 --> 00:02:44.060]  去年1月我就接手做張牧師
[00:02:44.060 --> 00:02:46.920]  3月初就已經shut down SIP
[00:02:46.920 --> 00:02:49.640]  基本上不是沒什麼工作
[00:02:49.640 --> 00:02:54.120]  做了其他的處理疫情的工作
[00:02:54.120 --> 00:02:55.240]  現在重開了
[00:02:55.240 --> 00:02:58.440]  當然我們也不知道明天會如何
[00:02:58.440 --> 00:03:00.880]  今天我們有恩典能夠繼續在當中聚會
[00:03:00.880 --> 00:03:01.480]  也很感恩
[00:03:01.480 --> 00:03:05.920]  因為世界上有很多教會都還沒能夠重開
[00:03:05.920 --> 00:03:09.120]  我們有很多頂住會都會想
[00:03:09.120 --> 00:03:11.360]  一個新的張牧師上場的時候
[00:03:11.360 --> 00:03:13.560]  有什麼特別在教會運作
[00:03:13.560 --> 00:03:14.880]  在教會理念裡面
[00:03:14.880 --> 00:03:16.600]  我們怎樣看教會呢?
[00:03:16.600 --> 00:03:18.560]  今天這篇信息
[00:03:18.560 --> 00:03:21.560]  我希望跟大家分享三件事
[00:03:21.560 --> 00:03:24.400]  當然教會不止這三件事
[00:03:24.400 --> 00:03:26.960]  但是保羅在這篇信息裡面告訴我們
[00:03:26.960 --> 00:03:28.000]  有三件很重要的事情
[00:03:28.000 --> 00:03:29.200]  我們需要反省一下
[00:03:29.200 --> 00:03:30.200]  會點教會
[00:03:30.200 --> 00:03:34.040]  我們是不是在做聖經裡面所吩咐的
[00:03:34.040 --> 00:03:36.960]  教會的一個角色呢?
[00:03:36.960 --> 00:03:38.600]  簡單講一下小背景
[00:03:38.600 --> 00:03:39.320]  大家知道
[00:03:39.320 --> 00:03:41.800]  《接受內耶加前書》在哥倫多
[00:03:41.800 --> 00:03:43.280]  基本上也在哥倫多
[00:03:43.280 --> 00:03:45.720]  很多學者都在哥倫多寫的
[00:03:45.720 --> 00:03:49.320]  你知道保羅第二次的報道課程旅程
[00:03:49.320 --> 00:03:55.720]  如果你看這個舊式的圖
[00:03:55.720 --> 00:03:58.800]  你要看這些舊式的圖你就知道
[00:03:58.800 --> 00:04:02.000]  這些線體字就是城市的名字
[00:04:02.000 --> 00:04:05.920]  那些深色的鍋子的字
[00:04:05.920 --> 00:04:09.040]  就是當時羅馬的衡省
[00:04:09.040 --> 00:04:11.760]  所以在《聖經時代》裡面你看到
[00:04:11.760 --> 00:04:13.840]  有時候他說一下城市的名字
[00:04:13.840 --> 00:04:15.440]  有時候也說一下衡省的名字
[00:04:15.440 --> 00:04:16.640]  你要懂得分辨
[00:04:16.640 --> 00:04:18.440]  他也幫你分辨了
[00:04:18.440 --> 00:04:20.840]  你知道在安提阿當
[00:04:20.840 --> 00:04:26.000]  保羅、西拉和巴拿巴馬可
[00:04:26.000 --> 00:04:27.840]  他們出發去傳福音
[00:04:27.840 --> 00:04:31.760]  一開始沒多久就吵架吵架了
[00:04:31.760 --> 00:04:33.520]  因為馬可的言故
[00:04:33.520 --> 00:04:35.200]  於是大家就分道揚鑣了
[00:04:35.200 --> 00:04:41.200]  保羅和西拉就一直向北走
[00:04:41.200 --> 00:04:43.000]  因為第一次福音旅程
[00:04:43.000 --> 00:04:46.520]  他就去過今天的土耳其中部
[00:04:46.520 --> 00:04:49.880]  所以他就想去加拿大省的地方
[00:04:49.880 --> 00:04:52.080]  去探望那些教會
[00:04:52.080 --> 00:04:55.960]  第一次福音旅程就建立了很多不同的教會
[00:04:55.960 --> 00:04:58.360]  然後他就想再北上
[00:04:58.360 --> 00:05:02.760]  去比推尼和本都的地方
[00:05:02.760 --> 00:05:05.800]  一個比較密集的
[00:05:05.800 --> 00:05:09.760]  中亞、西亞的土耳其北部
[00:05:09.760 --> 00:05:12.000]  今天土耳其北部的地方去做福音工作
[00:05:12.000 --> 00:05:15.840]  大家都知道當時已經有一些大城市
[00:05:15.840 --> 00:05:20.920]  特別是近著土耳其邊境的
[00:05:20.920 --> 00:05:23.760]  當時的昆士坦丁堡
[00:05:23.760 --> 00:05:25.640]  當時沒有
[00:05:25.640 --> 00:05:28.360]  但是開始有很多人口聚居
[00:05:28.360 --> 00:05:30.960]  但是他聲令不讓他
[00:05:30.960 --> 00:05:33.680]  於是他就向西出發
[00:05:33.680 --> 00:05:34.600]  繼續去
[00:05:34.600 --> 00:05:38.560]  去到特羅亞的地方
[00:05:38.560 --> 00:05:40.720]  當然你看《少林傳》就知道
