
[00:00:00.000 --> 00:00:04.680]  當每次參與頂展會的洗禮的時候
[00:00:04.680 --> 00:00:07.680]  我們很多時候都會回想我們自己
[00:00:07.680 --> 00:00:08.720]  如果你洗過禮的時候
[00:00:08.720 --> 00:00:12.040]  回想回自己洗禮的時候的情景
[00:00:12.040 --> 00:00:14.920]  昨晚我回去翻開
[00:00:14.920 --> 00:00:16.480]  我洗禮
[00:00:16.480 --> 00:00:20.320]  當年朋友送給我的聖經
[00:00:20.320 --> 00:00:22.280]  封面已經破爛了
[00:00:22.280 --> 00:00:25.600]  原來才突然間發覺
[00:00:25.600 --> 00:00:28.440]  原來我是1987年5月洗禮的
[00:00:28.640 --> 00:00:30.320]  足足已經三十年了
[00:00:30.320 --> 00:00:34.240]  我想問當中有沒有洗禮超過三十年的人呢?
[00:00:34.240 --> 00:00:37.240]  應該很多
[00:00:37.240 --> 00:00:39.440]  這是資深信徒
[00:00:39.440 --> 00:00:41.040]  資深信徒
[00:00:41.040 --> 00:00:43.040]  我便想
[00:00:43.040 --> 00:00:47.200]  其實我們看著頂展會今天這麼雀躍
[00:00:47.200 --> 00:00:49.000]  這麼喜樂
[00:00:49.000 --> 00:00:52.680]  這麼開心地步入洗禮池的時候
[00:00:52.680 --> 00:00:55.680]  其實我們回想當年
[00:00:55.680 --> 00:00:57.280]  當時多少
[00:00:57.280 --> 00:00:59.720]  剛剛開始二字頭
[00:00:59.720 --> 00:01:03.600]  那種年輕的小夥子的模樣
[00:01:03.600 --> 00:01:06.680]  最主要就是洗了禮這三十年
[00:01:06.680 --> 00:01:09.200]  這三十年裡面
[00:01:09.200 --> 00:01:10.480]  到今天
[00:01:10.480 --> 00:01:14.200]  我會問我自己我的愛有沒有多了
[00:01:14.200 --> 00:01:16.200]  還是少了
[00:01:16.200 --> 00:01:19.280]  我會問自己我的生命多了喜樂
[00:01:19.280 --> 00:01:22.160]  還是多了很多屈結
[00:01:22.160 --> 00:01:26.280]  我裡面多了更多崇神而來的創意
[00:01:27.120 --> 00:01:29.120]  還是有很多的封閉
[00:01:29.120 --> 00:01:35.000]  更認識神和祂所創造的驚訝
[00:01:35.000 --> 00:01:39.320]  還是有很多很守舊的習慣
[00:01:39.320 --> 00:01:43.800]  變得一個很遠離
[00:01:43.800 --> 00:01:46.080]  純粹一個觀摩
[00:01:46.080 --> 00:01:51.200]  或者凡事去看看怎樣的人
[00:01:51.200 --> 00:01:54.320]  還是一個願意毀身參與的人
[00:01:58.120 --> 00:01:59.120]  各位親友
[00:01:59.120 --> 00:02:01.400]  被邀請來的朋友
[00:02:01.400 --> 00:02:03.720]  可能同學或者是家人
[00:02:03.720 --> 00:02:06.040]  今天你們都出席
[00:02:06.040 --> 00:02:09.440]  都是見證邀請你們來的人
[00:02:09.440 --> 00:02:12.480]  他們一步一步地步入洗禮池
[00:02:12.480 --> 00:02:15.000]  當他們步入的時候
[00:02:15.000 --> 00:02:16.560]  你們又在想什麼呢?
[00:02:16.560 --> 00:02:20.000]  你們會不會在想水有沒有什麼特別的呢?
[00:02:20.000 --> 00:02:22.800]  他們每天都在家裡洗澡
