
[00:00:00.000 --> 00:00:04.300]  約翰福音第十三章的開始
[00:00:04.300 --> 00:00:12.700]  是記載了耶穌基督在最後的日子的講論的序幕
[00:00:12.700 --> 00:00:16.500]  如果我們從聖經整個鋪排裡面看到
[00:00:16.500 --> 00:00:18.500]  十三章開始到十七章
[00:00:18.500 --> 00:00:22.500]  都是記載了在短短的一個晚上
[00:00:22.500 --> 00:00:24.500]  在筵席當中的晚上
[00:00:24.500 --> 00:00:29.500]  耶穌的行動和言論
[00:00:29.500 --> 00:00:33.500]  在整個鋪排當中
[00:00:33.500 --> 00:00:35.500]  我們可以看到
[00:00:35.500 --> 00:00:38.500]  使徒約翰記下這個晚上發生的事情的時候
[00:00:38.500 --> 00:00:43.500]  他用了什麼樣的眼光
[00:00:43.500 --> 00:00:44.500]  第一節裡面說
[00:00:44.500 --> 00:00:49.500]  二月節以前耶穌知道自己離世歸附的時候到了
[00:00:49.500 --> 00:00:51.500]  他一向愛世間屬自己的人
[00:00:51.500 --> 00:00:54.500]  就愛他們到底
[00:00:54.500 --> 00:01:00.500]  約翰看耶穌在晚上一直所做的事情
[00:01:00.500 --> 00:01:02.500]  是一個愛的表現
[00:01:02.500 --> 00:01:05.500]  在使徒約翰的眼中
[00:01:05.500 --> 00:01:09.500]  耶穌所做的事情很有特別
[00:01:09.500 --> 00:01:10.500]  很不同
[00:01:10.500 --> 00:01:12.500]  是一個愛的表現
[00:01:12.500 --> 00:01:17.500]  就讓我們今天用一個現跡的角度
[00:01:17.500 --> 00:01:21.500]  來看耶穌怎樣展示他的愛
[00:01:21.500 --> 00:01:26.500]  讓我們一同心禱告
[00:01:26.500 --> 00:01:29.500]  世主求祢的聖靈來帶領我們
[00:01:29.500 --> 00:01:34.500]  讓我們進入耶穌這個現跡的晚上
[00:01:34.500 --> 00:01:39.500]  來感受體會上帝的愛旨
[00:01:39.500 --> 00:01:43.500]  怎樣來愛世間屬祂的人
[00:01:43.500 --> 00:01:44.500]  求祢帶領我們
[00:01:44.500 --> 00:01:46.500]  禱告奉耶穌基督的聖名祈求
[00:01:46.500 --> 00:01:48.500]  阿門
[00:01:48.500 --> 00:01:54.500]  愛這個字非常有市場價值
[00:01:54.500 --> 00:01:58.500]  無論是古往今來
[00:01:58.500 --> 00:02:00.500]  中世文化
[00:02:00.500 --> 00:02:04.500]  愛很有感染力
[00:02:04.500 --> 00:02:08.500]  有它的廣泛性
[00:02:08.500 --> 00:02:14.500]  無論是以前的文人筆下的愛情歌頌
[00:02:14.500 --> 00:02:21.500]  或是迪士尼公主片中的真愛
[00:02:21.500 --> 00:02:25.500]  都是關於愛的主題
[00:02:25.500 --> 00:02:28.500]  如果你以為在迪士尼影片中
[00:02:28.500 --> 00:02:31.500]  看到的是真愛
[00:02:31.500 --> 00:02:32.500]  你就錯了
[00:02:32.500 --> 00:02:34.500]  迪士尼的真愛、公主愛
[00:02:34.500 --> 00:02:36.500]  通常最後是假的
[00:02:36.500 --> 00:02:37.500]  一開始是粗粒的
[00:02:37.500 --> 00:02:39.500]  最後是騙人的
[00:02:39.500 --> 00:02:40.500]  於是我們會問
[00:02:40.500 --> 00:02:43.500]  究竟真愛是什麼一回事呢
[00:02:43.500 --> 00:02:46.500]  不單止迪士尼的影片會講愛
[00:02:46.500 --> 00:02:48.500]  甚至乎我們現在
[00:02:48.500 --> 00:02:50.500]  在我們的媒體裏
[00:02:50.500 --> 00:02:54.500]  很多都是講愛的主題
[00:02:54.500 --> 00:02:57.500]  傳頌一時的金庸筆下裏
[00:02:57.500 --> 00:03:00.500]  神鵰俠侶的序裏
[00:03:00.500 --> 00:03:02.500]  有一句很有意思的說話
[00:03:02.500 --> 00:03:04.500]  問世間情為何物
[00:03:04.500 --> 00:03:08.500]  直教生死相許
[00:03:08.500 --> 00:03:11.500]  我們的大作家金庸
[00:03:11.500 --> 00:03:14.500]  引用了袁皓文的詞
[00:03:14.500 --> 00:03:18.500]  叫做「摸如兒硬幽詞」
[00:03:18.500 --> 00:03:22.500]  一個很複雜的詞牌
[00:03:22.500 --> 00:03:27.500]  一首很優美的詩詞
[00:03:27.500 --> 00:03:29.500]  你們上網慢慢看看
[00:03:29.500 --> 00:03:30.500]  當中的內容很長
[00:03:30.500 --> 00:03:31.500]  我不和你們分享
[00:03:31.500 --> 00:03:33.500]  但是簡單兩句
[00:03:33.500 --> 00:03:35.500]  問世間情為何物
[00:03:35.500 --> 00:03:37.500]  直教生死相許
[00:03:37.500 --> 00:03:39.500]  就去講了人世間裏面
[00:03:39.500 --> 00:03:42.500]  最美妙最值得我們去追尋的
[00:03:42.500 --> 00:03:43.500]  原來是愛
[00:03:43.500 --> 00:03:48.500]  愛能夠令我們去以身相許
[00:03:48.500 --> 00:03:50.500]  對愛的堅持
[00:03:50.500 --> 00:03:52.500]  對愛的毀身
[00:03:52.500 --> 00:03:55.500]  的確是人世間的美事
[00:03:55.500 --> 00:03:57.500]  愛一個人其實
[00:03:57.500 --> 00:04:01.500]  想一想也不容易
[00:04:01.500 --> 00:04:05.500]  你愛我不愛的時候怎麼辦呢
[00:04:05.500 --> 00:04:07.500]  要愛其實不容易
[00:04:07.500 --> 00:04:12.500]  但是能夠對愛堅持一生到底
[00:04:12.500 --> 00:04:14.500]  愛一個人愛到底
[00:04:14.500 --> 00:04:16.500]  更加不容易
[00:04:16.500 --> 00:04:17.500]  再進一步來說
