
[00:00:00.000 --> 00:00:03.320]  這篇23篇被稱為「金詩」
[00:00:03.320 --> 00:00:05.740]  真是給我們很深的體會到
[00:00:05.740 --> 00:00:08.560]  安慰了很多很多的人
[00:00:08.560 --> 00:00:11.280]  所以都求神彌大人去幫助我們
[00:00:11.280 --> 00:00:15.140]  叫我們懂得怎樣彌大人去依靠神
[00:00:15.140 --> 00:00:16.840]  這個是很重要的
[00:00:16.840 --> 00:00:22.540]  好了 現在大家看不看到那個畫面?
[00:00:22.540 --> 00:00:24.200]  看到嗎?OK
[00:00:24.200 --> 00:00:27.560]  剛才那首歌給我很大的感觸
[00:00:27.560 --> 00:00:32.240]  正如我所說 在香港如果我負責喪禮的時候
[00:00:32.240 --> 00:00:35.620]  我多數會引用這首歌做開始
[00:00:35.620 --> 00:00:38.760]  離開了香港 我想我最大的遺憾
[00:00:38.760 --> 00:00:41.340]  就是我答應了一兩個老人家
[00:00:41.340 --> 00:00:45.020]  特別是有一位姓鄺的婆婆 我很尊敬她
[00:00:45.020 --> 00:00:47.920]  她離開世界的時候
[00:00:47.920 --> 00:00:51.160]  我不能夠跟她做那個安息禮
[00:00:51.160 --> 00:00:55.920]  這個是我自己最大的感觸和遺憾
[00:00:55.920 --> 00:00:58.560]  無論怎樣 求神都眷顧我們
[00:00:58.560 --> 00:01:00.140]  好了 我們再看一看
[00:01:00.140 --> 00:01:03.360]  我們一路會看耶穌登山變相
[00:01:03.360 --> 00:01:06.680]  但是登山變相之前發生一些事情
[00:01:06.680 --> 00:01:09.860]  我就稱它為「變臉前傳」
[00:01:09.860 --> 00:01:14.300]  我們看到耶穌帶著一幫門徒
[00:01:14.300 --> 00:01:17.120]  去到蓋薩利亞肥納比的時候
[00:01:17.120 --> 00:01:20.120]  就問他們 你說我們是誰呢?
[00:01:20.120 --> 00:01:24.560]  有些門徒就說你就是施洗約翰
[00:01:24.560 --> 00:01:26.660]  你就是以利亞
[00:01:26.660 --> 00:01:30.120]  但是耶穌說 你們說我是誰呢?
[00:01:30.120 --> 00:01:34.160]  原來是使我們直接經歷了解祂是怎樣
[00:01:34.160 --> 00:01:36.280]  而不是收二手資料的
[00:01:36.280 --> 00:01:41.400]  比德就說 你就是永生神的兒子
[00:01:41.400 --> 00:01:43.180]  耶穌就讚賞他
[00:01:43.180 --> 00:01:45.700]  這個絕對不是憑你自己的經驗
[00:01:45.700 --> 00:01:50.320]  憑你的主觀 你可以來得去知道的
[00:01:50.320 --> 00:01:53.260]  因為當時耶穌都是粗衣麻布
[00:01:53.260 --> 00:01:56.220]  跟隨他的一些婦孺、一些小孩子
[00:01:56.220 --> 00:01:58.600]  怎會是一個彌賽呢?
[00:01:58.600 --> 00:02:01.140]  因為他們印象中的彌賽就是君王
[00:02:01.140 --> 00:02:02.420]  是尊貴的
[00:02:02.420 --> 00:02:06.000]  所以說到今天是神啟示給你
[00:02:06.000 --> 00:02:09.040]  因為比德對神有渴慕的心
[00:02:09.040 --> 00:02:10.540]  對主有愛
[00:02:10.540 --> 00:02:13.160]  他捨棄一切來跟隨主
[00:02:13.160 --> 00:02:17.540]  因此他就得到神特別的寵愛
[00:02:17.540 --> 00:02:19.540]  得到神的啟示
[00:02:19.540 --> 00:02:24.140]  他不會隨從當時的人對耶穌的看法
[00:02:24.140 --> 00:02:27.080]  他不會接受這些判斷
[00:02:27.080 --> 00:02:31.160]  他正確指出 主耶穌基督 你就是基督
[00:02:31.160 --> 00:02:33.160]  是永生神的兒子
[00:02:33.160 --> 00:02:36.260]  《馬達文第十六章》第十六節也記載了這裡
[00:02:36.260 --> 00:02:37.980]  因為這個緣故
[00:02:37.980 --> 00:02:42.340]  我們就看到比德被主彌大人去祝福他
[00:02:42.340 --> 00:02:43.560]  讚賞他
[00:02:43.560 --> 00:02:45.180]  主耶穌稱讚他
[00:02:45.180 --> 00:02:46.460]  你是有福的
[00:02:46.460 --> 00:02:48.840]  所以就是悟道得福了
[00:02:48.840 --> 00:02:50.680]  就是領悟了這個道
[00:02:50.680 --> 00:02:51.880]  他得到福氣
[00:02:51.880 --> 00:02:53.540]  因為有神特別的啟示
[00:02:53.540 --> 00:02:58.000]  於是主耶穌當眾給了他一個應許
[00:02:58.000 --> 00:03:02.020]  就是教會要建基在他的身上
[00:03:02.020 --> 00:03:05.240]  他要成為教會一個很重要的人物
[00:03:05.240 --> 00:03:07.780]  一塊很重要的基石
[00:03:07.780 --> 00:03:10.260]  不僅如此 他更加得到權柄
[00:03:10.260 --> 00:03:12.260]  上一次我們看到
[00:03:12.260 --> 00:03:15.840]  一個很爭議性的經文
[00:03:15.840 --> 00:03:20.060]  這個時候 我們再看看這一段經文
[00:03:20.060 --> 00:03:22.380]  就是《馬達文第十六章》第十八節
[00:03:22.380 --> 00:03:26.700]  我們上一堂只是看到這一節的上半節
[00:03:26.700 --> 00:03:29.320]  我們看看Ivonne給我們讀完整一節
[00:03:29.320 --> 00:03:32.300]  「我還告訴你 你是彼得
[00:03:32.300 --> 00:03:35.620]  我要把我的教會建造在這盤石上
[00:03:35.620 --> 00:03:38.440]  任間的權柄不能勝過他」
[00:03:38.440 --> 00:03:41.660]  我們上個星期用了四十多分鐘的時間
[00:03:41.660 --> 00:03:44.900]  探討這一句的上半節
[00:03:44.900 --> 00:03:50.220]  「我要把我教會的權柄建造在這盤石上」
[00:03:50.220 --> 00:03:53.200]  我們說這裡首先出現「教會」這個字
[00:03:53.200 --> 00:03:55.200]  「盤石」這個字就說
[00:03:55.200 --> 00:03:57.500]  曾經有不同的人有不同的看法
[00:03:57.500 --> 00:03:59.800]  天主教就說到
[00:03:59.800 --> 00:04:02.700]  教會就建基在彼得的身上
[00:04:02.700 --> 00:04:08.200]  然後所以彼得就自然成為第一任的教皇
[00:04:08.200 --> 00:04:11.160]  有些人就抗衡這個看法
[00:04:11.160 --> 00:04:12.980]  就說到 不是的
[00:04:12.980 --> 00:04:16.880]  教會就不是建基在彼得的身上
[00:04:16.880 --> 00:04:19.340]  彼得只是一顆小石
[00:04:19.340 --> 00:04:21.640]  但這個是說盤石
[00:04:21.640 --> 00:04:24.540]  但我們上次看到這個事實
[00:04:24.540 --> 00:04:28.300]  真是建基在彼得的身上
[00:04:28.300 --> 00:04:30.080]  但是請你記住
[00:04:30.080 --> 00:04:32.580]  不單單是他
[00:04:32.580 --> 00:04:37.660]  其他的仕途都有成為教會的根基
[00:04:37.660 --> 00:04:41.180]  如果大家上個星期沒有看到
[00:04:41.180 --> 00:04:44.020]  或者沒有上到可以上YouTube去看
[00:04:44.020 --> 00:04:45.180]  好了
[00:04:45.180 --> 00:04:49.580]  接著耶穌說你不單是一塊重要的基石
