
[00:00:00.000 --> 00:00:04.320]  首先多謝林牧師邀請我來到大家當中
[00:00:04.320 --> 00:00:07.640]  他又再有機會在週六的崇拜裡面
[00:00:07.640 --> 00:00:10.120]  去跟大家分享上帝的話語
[00:00:10.120 --> 00:00:13.040]  正如剛才柏芝孫教師提到
[00:00:13.040 --> 00:00:17.720]  2020年真的不是一年容易經過的日子
[00:00:17.720 --> 00:00:22.920]  全球都被新型冠狀病毒肆虐
[00:00:22.920 --> 00:00:28.920]  平安健康顯然是非常珍貴的
[00:00:28.920 --> 00:00:33.520]  但我想起一件在梁法堂發生的事
[00:00:33.520 --> 00:00:36.520]  是我非常感恩的
[00:00:36.520 --> 00:00:38.520]  就是在七月初的時候
[00:00:38.520 --> 00:00:41.120]  梁法堂、全因堂和國語堂
[00:00:41.120 --> 00:00:44.120]  都能夠順利地舉行了培靈會
[00:00:44.120 --> 00:00:47.520]  我們都一起讀過路德記
[00:00:47.520 --> 00:00:50.520]  學習過上帝的話語
[00:00:50.520 --> 00:00:56.520]  在這裡也要代表國語堂的弟兄姊妹向大家問安
[00:00:56.520 --> 00:01:00.320]  祝願新一年平安健康
[00:01:00.320 --> 00:01:01.920]  靈命日長
[00:01:01.920 --> 00:01:03.920]  主因也尚佳
[00:01:03.920 --> 00:01:12.120]  早前我留意到明報的電子平台編輯在十二月初的下旬
[00:01:12.120 --> 00:01:14.120]  透過一個訪問
[00:01:14.120 --> 00:01:16.120]  或者Facebook和Instagram
[00:01:16.120 --> 00:01:20.120]  收集了網民對2020年度的回顧
[00:01:20.120 --> 00:01:22.120]  他的要求是什麼呢
[00:01:22.120 --> 00:01:25.520]  就是用一個字或者一個詞來形容
[00:01:25.520 --> 00:01:30.520]  你對2020年那種想法
[00:01:30.520 --> 00:01:34.920]  最後收集了大概三百多個回覆
[00:01:34.920 --> 00:01:39.320]  最多人用的字是什麼呢
[00:01:39.320 --> 00:01:42.520]  第一個字是個慘字
[00:01:42.520 --> 00:01:44.720]  淒慘的慘
[00:01:44.720 --> 00:01:47.120]  第二個是個悲字
[00:01:47.120 --> 00:01:48.920]  悲哀的悲
[00:01:48.920 --> 00:01:50.920]  第三個是個怒字
[00:01:50.920 --> 00:01:52.920]  憤怒的怒
[00:01:52.920 --> 00:01:54.520]  我因為很好奇
[00:01:54.520 --> 00:01:58.920]  就問了我接觸到的一些基督徒
[00:01:58.920 --> 00:02:05.320]  問他們用什麼字或者詞來形容2020年
[00:02:05.320 --> 00:02:07.520]  得出了幾個字
[00:02:07.520 --> 00:02:10.920]  應該是詞
[00:02:10.920 --> 00:02:13.920]  他們用了忍耐
[00:02:13.920 --> 00:02:16.520]  盼望和喜樂
[00:02:16.520 --> 00:02:22.120]  這幾個字都是帶著信仰色彩的字眼
[00:02:22.120 --> 00:02:24.320]  其實回顧2020年
[00:02:24.320 --> 00:02:27.520]  其實網民那種回覆
[00:02:27.520 --> 00:02:30.920]  我覺得很真 也很坦白
[00:02:30.920 --> 00:02:33.920]  今年的香港在疫情的影響下
[00:02:33.920 --> 00:02:36.520]  我們要戴著口罩
[00:02:36.520 --> 00:02:38.920]  減少社交的距離
[00:02:38.920 --> 00:02:41.720]  限聚 現在整個堂仔都敬拜對家
[00:02:41.720 --> 00:02:43.720]  林學超和我
[00:02:43.720 --> 00:02:47.120]  暫停了現場的聚會
[00:02:47.120 --> 00:02:49.320]  很多香港人最慘的就是
