
[00:00:00.000 --> 00:00:02.000]  讓姐妹平安
[00:00:02.000 --> 00:00:06.560]  很感恩我們仍然可以去敬拜主
[00:00:06.560 --> 00:00:10.000]  記得5月3日的時候
[00:00:10.000 --> 00:00:15.000]  蔡牧師跟我們分享的訊息
[00:00:15.000 --> 00:00:19.000]  就說世界在等候的門徒
[00:00:19.000 --> 00:00:26.000]  第一,是祂不超凡,卻是絕俗
[00:00:26.000 --> 00:00:30.000]  信徒能夠除去自我中心
[00:00:30.000 --> 00:00:32.000]  不隨波逐流
[00:00:32.000 --> 00:00:34.000]  存著敬畏的心
[00:00:34.000 --> 00:00:39.000]  來作主一個信服的兒女
[00:00:39.000 --> 00:00:42.000]  今天跟大家說到
[00:00:42.000 --> 00:00:48.000]  周圍門徒如何去學像我們的主耶穌基督
[00:00:48.000 --> 00:00:52.000]  在羅馬書8章29節裡說
[00:00:52.000 --> 00:00:56.000]  因為他所預知的人
[00:00:56.000 --> 00:01:01.000]  他也預定他們效法他兒子的榜樣
[00:01:01.000 --> 00:01:08.000]  使他兒子在許多弟兄中作長子
[00:01:08.000 --> 00:01:12.000]  表明了神已經預先定下
[00:01:12.000 --> 00:01:17.000]  他的子民效法他的兒子的模樣
[00:01:17.000 --> 00:01:23.000]  效法神的形象意味著學校主耶穌
[00:01:23.000 --> 00:01:28.000]  按斯托德牧師所說
[00:01:28.000 --> 00:01:31.000]  像耶穌是什麼意思呢?
[00:01:31.000 --> 00:01:35.000]  就是神永恆預定的子兒
[00:01:35.000 --> 00:01:40.000]  是學習徹底作主的門徒
[00:01:40.000 --> 00:01:45.000]  另外一項一書的三章二節提及
[00:01:45.000 --> 00:01:49.000]  親愛的,我們現在是神的兒女
[00:01:49.000 --> 00:01:53.000]  將來如何還未顯明
[00:01:53.000 --> 00:01:55.000]  我們所知道的是
[00:01:55.000 --> 00:01:58.000]  基督顯現的時候
[00:01:58.000 --> 00:02:00.000]  我們會像祂
[00:02:00.000 --> 00:02:05.000]  因為我們將見到祂的本相
[00:02:05.000 --> 00:02:11.000]  神正朝著這個目的去工作
[00:02:11.000 --> 00:02:15.000]  祂呼召我們和祂同工
[00:02:15.000 --> 00:02:19.000]  祂說跟隨祂,學校祂
[00:02:19.000 --> 00:02:24.000]  我們不知道將來的細節會怎樣
[00:02:24.000 --> 00:02:28.000]  但我們知道將來我們要像基督
[00:02:28.000 --> 00:02:30.000]  和祂同在
[00:02:30.000 --> 00:02:35.000]  主預定我們透過聖靈的改變
[00:02:35.000 --> 00:02:37.000]  更新,教導
[00:02:37.000 --> 00:02:40.000]  讓我們更加像耶穌
[00:02:40.000 --> 00:02:44.000]  其實一書二章的第六節是這樣說的
[00:02:44.000 --> 00:02:47.000]  「凡說自己住在他裡面的
[00:02:47.000 --> 00:02:51.000]  就該照著他所行的去行」
[00:02:51.000 --> 00:02:56.000]  那怎樣可以照著主所行的去行呢?
[00:02:56.000 --> 00:03:00.000]  在美國坎薩斯州
[00:03:00.000 --> 00:03:05.000]  有一個人在爆炸當中
[00:03:05.000 --> 00:03:11.000]  受到重創,面部毀容
[00:03:11.000 --> 00:03:16.000]  失去雙眼和雙手
[00:03:16.000 --> 00:03:21.000]  他是一個信了主沒多久的基督徒
[00:03:21.000 --> 00:03:27.000]  他最大的失望就是不能夠再去讀聖經
[00:03:27.000 --> 00:03:31.000]  後來他聽到在英國
[00:03:31.000 --> 00:03:38.000]  有一位姊妹用嘴唇去讀特治的聖經
[00:03:38.000 --> 00:03:44.000]  他很希望能夠同樣去讀聖經
[00:03:44.000 --> 00:03:50.000]  很可惜他發現原來嘴唇的神經
[00:03:50.000 --> 00:03:54.000]  也在爆炸當中受到破壞
[00:03:54.000 --> 00:03:58.000]  在絕望裡他忽然用他的嘴唇
[00:03:58.000 --> 00:04:03.000]  去碰到一些有感覺的字體
[00:04:03.000 --> 00:04:06.000]  結果他在幾年當中
[00:04:06.000 --> 00:04:11.000]  用他的舌頭去讀完聖經有四次
[00:04:11.000 --> 00:04:14.000]  他最大的體會就是
[00:04:14.000 --> 00:04:19.000]  當他心靈感到冰冷的時候
[00:04:19.000 --> 00:04:22.000]  神的話能夠溫暖他
[00:04:22.000 --> 00:04:26.000]  當他的心靈感到沉睡
[00:04:26.000 --> 00:04:29.000]  神的話能夠喚醒他
[00:04:29.000 --> 00:04:32.000]  當他的生命感到後退
[00:04:32.000 --> 00:04:35.000]  神的話能夠警戒他
[00:04:35.000 --> 00:04:39.000]  當他的生命是沾染污穢
[00:04:39.000 --> 00:04:42.000]  神的話能夠潔淨他
[00:04:42.000 --> 00:04:46.000]  當他的生命不願意去馴服
[00:04:46.000 --> 00:04:49.000]  神的話能夠鞭策他
[00:04:49.000 --> 00:04:53.000]  當他的生命感到不確定
[00:04:53.000 --> 00:04:56.000]  神的話能夠引導他
[00:04:56.000 --> 00:05:01.000]  正如提摩太后書三章十六十七節都有提到
[00:05:01.000 --> 00:05:04.000]  她說「聖經都是神所默示的
[00:05:04.000 --> 00:05:09.000]  於教訓、督責、使人歸正、教導人學義
