
[00:00:00.000 --> 00:00:04.900]  (主席)兩姐妹好!大部分都見過了,是吧?
[00:00:04.900 --> 00:00:09.060]  我們一起祈禱吧!
[00:00:09.060 --> 00:00:15.260]  親愛的主,我們讓祢在我們當中做我們的主,做我們的王
[00:00:15.260 --> 00:00:18.700]  讓聖靈在我們當中,讓我們明白祢的真理
[00:00:18.700 --> 00:00:23.660]  並且記在心裡面,以致在我們生命裡面能夠行出來
[00:00:23.660 --> 00:00:26.700]  聖靈,祢藉著真理塑造我們
[00:00:26.700 --> 00:00:33.700]  以致我們人生,我們的生命能夠活得更合祢心意
[00:00:33.700 --> 00:00:35.260]  主,我們多謝祢
[00:00:35.260 --> 00:00:39.160]  讓在我們當中,讓我們更加明白祢的心腸
[00:00:39.160 --> 00:00:41.260]  知道祢是怎樣看我們
[00:00:41.260 --> 00:00:44.600]  知道祢用什麼態度跟我們同在
[00:00:44.600 --> 00:00:47.460]  再多謝祢,我們奉耶穌名,吩咐一切不屬於耶穌的
[00:00:47.460 --> 00:00:49.900]  都要離開祢的地方,離開弟兄姊妹
[00:00:49.900 --> 00:00:53.600]  讓我們每一位都分裂為聖,單單聽祢的聖音
[00:00:53.600 --> 00:00:57.100]  聽我們的禱告,奉耶穌基督特聖的名
[00:00:57.100 --> 00:00:58.900]  阿們
[00:00:58.900 --> 00:01:02.900]  有一個富翁,我們香港人叫有錢佬
[00:01:02.900 --> 00:01:06.800]  有一個富翁,他知道自己患了重病
[00:01:06.800 --> 00:01:10.200]  於是就很想見三個好朋友
[00:01:10.200 --> 00:01:13.700]  這三個好朋友,包括一個醫生
[00:01:13.700 --> 00:01:17.100]  一個牧師,還有一個律師
[00:01:17.100 --> 00:01:20.100]  這個富翁就跟他們說
[00:01:20.100 --> 00:01:24.100]  我知道錢是帶不走的,哥哥都告訴我錢帶不走
[00:01:24.100 --> 00:01:26.500]  不過我都想試一試帶不帶得走
[00:01:26.500 --> 00:01:30.400]  所以我現在就給你們每人三個布袋
[00:01:30.400 --> 00:01:35.400]  這三個布袋,每個布袋是載著五百萬的現金
[00:01:35.400 --> 00:01:38.300]  請你如果我真的回天家
[00:01:38.300 --> 00:01:41.200]  你就在我安息禮拜那裡
[00:01:41.200 --> 00:01:43.700]  將這個布袋原封不動
[00:01:43.700 --> 00:01:46.000]  扔進我的棺木那裡就可以了
[00:01:46.000 --> 00:01:48.000]  好不好?好不好啊?
[00:01:48.000 --> 00:01:52.400]  這三個朋友異口同聲都說好啊
[00:01:52.400 --> 00:01:59.000]  過了一段時間,這個富翁又真的主懷安息了
[00:01:59.000 --> 00:02:01.800]  在他的安息禮拜,這三位朋友
[00:02:01.800 --> 00:02:05.300]  就分別將他的布袋扔進棺木那裡
[00:02:05.300 --> 00:02:07.700]  那個安息禮拜就完了
[00:02:07.700 --> 00:02:12.300]  過了一段時間,這三位好朋友的罪疚
[00:02:12.300 --> 00:02:14.800]  那個醫生就好像悶悶不樂地說
[00:02:14.800 --> 00:02:19.500]  什麼事啊?其實我心裡面有一個
[00:02:19.500 --> 00:02:22.300]  放了心很久,我想說出來的
[00:02:22.300 --> 00:02:24.100]  那個醫生就說
[00:02:24.100 --> 00:02:28.200]  其實我們的朋友給了我布袋五百萬
[00:02:28.200 --> 00:02:33.100]  其實我的診所那次想添置一個新的最先進的儀器
[00:02:33.100 --> 00:02:34.400]  不過又不夠錢
[00:02:34.400 --> 00:02:39.000]  所以我就在布袋裡拿了三百萬去添置這個新的儀器
[00:02:39.000 --> 00:02:42.700]  不過剩下的兩百萬,我沒有下價的
[00:02:42.700 --> 00:02:44.500]  我沒有留給自己用的
[00:02:44.500 --> 00:02:47.200]  就放回那個布袋,就扔進棺木那裡
[00:02:47.200 --> 00:02:53.200]  那麼,醫生說那個牧師就懺悔,認罪悔改了
[00:02:53.200 --> 00:02:55.700]  他說,其實呢,你都知道
[00:02:55.700 --> 00:02:58.500]  近期很多有需要的人
[00:02:58.500 --> 00:03:00.700]  很多窮人都需要幫助
[00:03:00.700 --> 00:03:03.500]  所以我就在那個布袋裡拿了二百萬
[00:03:03.500 --> 00:03:06.700]  就放到那個慈慰基金那裡
[00:03:06.700 --> 00:03:08.200]  幫助有需要的人
[00:03:08.200 --> 00:03:10.300]  其餘的三百萬,我沒有據為己有的
