
[00:00:00.000 --> 00:00:05.240]  今天我們來到一個新的講道系列
[00:00:05.240 --> 00:00:08.560]  這個講道系列就是講到神的總管
[00:00:08.560 --> 00:00:11.080]  也就是講到主導
[00:00:11.080 --> 00:00:16.080]  在第一堂裏面我們會討論一個題目
[00:00:16.080 --> 00:00:18.080]  就是富足與貧窮
[00:00:18.080 --> 00:00:25.360]  在《真言》22章第二節
[00:00:25.360 --> 00:00:29.720]  那裏說貧窮人和有錢人一同相處
[00:00:29.720 --> 00:00:32.000]  又一處相同
[00:00:32.000 --> 00:00:35.040]  兩者都是上主所造
[00:00:35.040 --> 00:00:37.840]  所以無論是窮人還是有錢人
[00:00:37.840 --> 00:00:39.840]  有一樣東西是一樣的
[00:00:39.840 --> 00:00:42.760]  就是都是神所造
[00:00:42.760 --> 00:00:46.600]  也有些不同的譯伴翻譯是
[00:00:46.600 --> 00:00:49.720]  貧窮人與有錢人在世相遇
[00:00:49.720 --> 00:00:52.840]  所以我們住在同一個地方
[00:00:52.840 --> 00:00:55.440]  有些很有錢 有些很缺乏
[00:00:55.440 --> 00:00:56.800]  但是都是神所造
[00:00:56.800 --> 00:00:58.800]  我們在世上遇到兩種人
[00:00:58.800 --> 00:01:00.800]  我不知道你屬於哪個階層
[00:01:00.800 --> 00:01:02.560]  兩種人都有
[00:01:02.560 --> 00:01:05.320]  所以今天我們來學習
[00:01:05.320 --> 00:01:09.040]  我們作爲基督徒應該如何看富足與貧窮
[00:01:09.040 --> 00:01:11.840]  應該在兩個很不同的極端當中
[00:01:11.840 --> 00:01:13.720]  我們如何找到一個平衡點
[00:01:13.720 --> 00:01:16.280]  應該用一個什麼心態去面對
[00:01:16.280 --> 00:01:18.280]  神所賜給我們這些物質呢
[00:01:18.280 --> 00:01:21.280]  我想先播一段視頻給大家看
[00:01:28.800 --> 00:01:49.800]  (視頻播放)
[00:01:59.800 --> 00:02:08.800]  (視頻播放)
[00:02:08.800 --> 00:02:13.800]  (視頻播放)
[00:02:13.800 --> 00:02:23.800]  (視頻播放)
[00:02:23.800 --> 00:02:33.800]  (視頻播放)
[00:02:33.800 --> 00:02:43.800]  (視頻播放)
[00:02:43.800 --> 00:03:11.800]  (視頻播放)
[00:03:11.800 --> 00:03:18.800]  (視頻播放)
[00:03:18.800 --> 00:03:20.800]  (視頻播放)
[00:03:20.800 --> 00:03:23.800]  (視頻播放)
[00:03:23.800 --> 00:03:52.800]  (視頻播放)
[00:03:52.800 --> 00:04:05.800]  (視頻播放)
[00:04:05.800 --> 00:04:17.800]  (視頻播放)
[00:04:17.800 --> 00:04:43.800]  (視頻播放)
[00:04:43.800 --> 00:04:55.800]  (視頻播放)
[00:04:55.800 --> 00:05:02.800]  (視頻播放)
[00:05:02.800 --> 00:05:15.800]  (視頻播放)
[00:05:15.800 --> 00:05:34.800]  (視頻播放)
[00:05:34.800 --> 00:06:03.800]  (視頻播放)
[00:06:03.800 --> 00:06:32.800]  (視頻播放)
[00:06:32.800 --> 00:07:01.800]  (視頻播放)
[00:07:01.800 --> 00:07:29.800]  (視頻播放)
[00:07:29.800 --> 00:07:53.800]  (視頻播放)
[00:07:53.800 --> 00:08:22.800]  (視頻播放)
[00:08:22.800 --> 00:08:35.800]  (視頻播放)
[00:08:35.800 --> 00:08:48.800]  (視頻播放)
[00:08:48.800 --> 00:09:15.800]  (視頻播放)
[00:09:15.800 --> 00:09:40.800]  (視頻播放)
[00:09:40.800 --> 00:10:09.800]  (視頻播放)
[00:10:09.800 --> 00:10:19.800]  (視頻播放)
[00:10:19.800 --> 00:10:34.800]  (視頻播放)
[00:10:34.800 --> 00:10:48.800]  (視頻播放)
[00:10:48.800 --> 00:11:03.800]  (視頻播放)
[00:11:03.800 --> 00:11:21.800]  (視頻播放)
[00:11:21.800 --> 00:11:41.800]  (視頻播放)
[00:11:41.800 --> 00:11:54.800]  (視頻播放)
[00:11:54.800 --> 00:12:23.800]  (視頻播放)
[00:12:23.800 --> 00:12:33.800]  (視頻播放)
[00:12:33.800 --> 00:12:43.800]  (視頻播放)
[00:12:43.800 --> 00:12:53.800]  (視頻播放)
[00:12:53.800 --> 00:13:03.800]  (視頻播放)
[00:13:03.800 --> 00:13:32.800]  (視頻播放)
[00:13:32.800 --> 00:13:46.800]  (視頻播放)
[00:13:46.800 --> 00:13:59.800]  (視頻播放)
[00:13:59.800 --> 00:14:09.800]  (視頻播放)
[00:14:09.800 --> 00:14:29.800]  (視頻播放)
[00:14:29.800 --> 00:14:44.800]  (視頻播放)
[00:14:44.800 --> 00:14:59.800]  (視頻播放)
[00:14:59.800 --> 00:15:19.800]  (視頻播放)
[00:15:19.800 --> 00:15:29.800]  (視頻播放)
[00:15:29.800 --> 00:15:39.800]  (視頻播放)
[00:15:39.800 --> 00:15:59.800]  (視頻播放)
[00:15:59.800 --> 00:16:09.800]  (視頻播放)
[00:16:09.800 --> 00:16:19.800]  (視頻播放)
[00:16:19.800 --> 00:16:29.800]  (視頻播放)
[00:16:29.800 --> 00:16:39.800]  (視頻播放)
[00:16:39.800 --> 00:16:49.800]  (視頻播放)
[00:16:49.800 --> 00:16:59.800]  (視頻播放)
[00:16:59.800 --> 00:17:09.800]  (視頻播放)
[00:17:09.800 --> 00:17:19.800]  (視頻播放)
[00:17:19.800 --> 00:17:29.800]  (視頻播放)
[00:17:29.800 --> 00:17:39.800]  (視頻播放)
[00:17:39.800 --> 00:17:49.800]  (視頻播放)
[00:17:49.800 --> 00:17:59.800]  (視頻播放)
[00:17:59.800 --> 00:18:09.800]  (視頻播放)
[00:18:09.800 --> 00:18:19.800]  (視頻播放)
[00:18:19.800 --> 00:18:29.800]  (視頻播放)
[00:18:29.800 --> 00:18:39.800]  (視頻播放)
[00:18:39.800 --> 00:18:49.800]  (視頻播放)
[00:18:49.800 --> 00:18:59.800]  (視頻播放)
[00:18:59.800 --> 00:19:09.800]  (視頻播放)
[00:19:09.800 --> 00:19:19.800]  (視頻播放)
[00:19:19.800 --> 00:19:29.800]  (視頻播放)
[00:19:29.800 --> 00:19:39.800]  (視頻播放)
[00:19:39.800 --> 00:19:49.800]  (視頻播放)
[00:19:49.800 --> 00:19:59.800]  (視頻播放)
[00:19:59.800 --> 00:20:09.800]  (視頻播放)
[00:20:09.800 --> 00:20:19.800]  (視頻播放)
[00:20:19.800 --> 00:20:29.800]  (視頻播放)
[00:20:29.800 --> 00:20:39.800]  (視頻播放)
[00:20:39.800 --> 00:20:49.800]  (視頻播放)
[00:20:49.800 --> 00:20:59.800]  (視頻播放)
[00:20:59.800 --> 00:21:19.800]  (視頻播放)
[00:21:19.800 --> 00:21:29.800]  (視頻播放)
[00:21:29.800 --> 00:21:39.800]  (視頻播放)
[00:21:39.800 --> 00:21:49.800]  (視頻播放)
[00:21:49.800 --> 00:21:59.800]  (視頻播放)
[00:21:59.800 --> 00:22:09.800]  (視頻播放)
[00:22:09.800 --> 00:22:19.800]  (視頻播放)
[00:22:19.800 --> 00:22:29.800]  (視頻播放)
[00:22:29.800 --> 00:22:39.800]  (視頻播放)
[00:22:39.800 --> 00:22:49.800]  (視頻播放)
[00:22:49.800 --> 00:22:59.800]  (視頻播放)
[00:22:59.800 --> 00:23:09.800]  (視頻播放)
[00:23:09.800 --> 00:23:19.800]  (視頻播放)
[00:23:19.800 --> 00:23:29.800]  (視頻播放)
[00:23:29.800 --> 00:23:39.800]  (視頻播放)
[00:23:39.800 --> 00:23:49.800]  (視頻播放)
[00:23:49.800 --> 00:23:59.800]  (視頻播放)
[00:23:59.800 --> 00:24:09.800]  (視頻播放)
[00:24:09.800 --> 00:24:19.800]  (視頻播放)
[00:24:19.800 --> 00:24:29.800]  (視頻播放)
