
[00:00:00.000 --> 00:00:04.300]  有一個荷里活出名的製片家
[00:00:04.300 --> 00:00:06.900]  他說一齣成功的電影
[00:00:06.900 --> 00:00:10.500]  一定要有一個均天動地的開始
[00:00:10.500 --> 00:00:14.500]  然後帶領觀眾進入高潮
[00:00:14.500 --> 00:00:16.900]  這樣才能收得的
[00:00:16.900 --> 00:00:19.600]  肯定路加醫生寫《使徒行傳》
[00:00:19.600 --> 00:00:22.000]  不是照著這個劇本來寫
[00:00:22.000 --> 00:00:23.300]  但是我們看到
[00:00:23.300 --> 00:00:25.700]  在《使徒行傳》裡面的第一章
[00:00:25.700 --> 00:00:27.400]  耶穌基督的升天
[00:00:27.400 --> 00:00:29.900]  和第二章聖靈的降臨
[00:00:29.900 --> 00:00:31.900]  真是均天動地
[00:00:31.900 --> 00:00:35.500]  真是好富於戲劇性
[00:00:35.500 --> 00:00:37.700]  我今天叫今天這篇道做
[00:00:37.700 --> 00:00:40.900]  《風火混雜,聖靈初現》
[00:00:40.900 --> 00:00:43.700]  為什麼有風、有火、有雲?
[00:00:43.700 --> 00:00:46.000]  因為第二章聖靈降臨的時候
[00:00:46.000 --> 00:00:48.800]  真是有風和火
[00:00:48.800 --> 00:00:50.200]  雲,你說
[00:00:50.200 --> 00:00:52.900]  在第一章耶穌基督升天的時候
[00:00:52.900 --> 00:00:55.400]  是加著雲彩升天
[00:00:55.400 --> 00:00:57.500]  所以我叫今天這篇道做
[00:00:57.500 --> 00:01:02.000]  《風火混雜,聖靈初現》
[00:01:02.000 --> 00:01:04.900]  第一章一開始就是講到
[00:01:04.900 --> 00:01:07.700]  耶穌基督升天之前的事
[00:01:07.700 --> 00:01:12.000]  其實早在馬太福音的二十八章十九節
[00:01:12.000 --> 00:01:15.300]  耶穌基督已經給門徒有祂的大使命
[00:01:15.300 --> 00:01:18.900]  說:「你們要去使萬民作我的門徒
[00:01:18.900 --> 00:01:23.100]  奉父子聖靈的名給他們施洗。」
[00:01:23.100 --> 00:01:26.400]  然後去到《使徒行傳》的第一章八節
[00:01:26.400 --> 00:01:28.300]  耶穌又跟門徒說
[00:01:28.300 --> 00:01:31.300]  「當聖靈降臨在你們的身上
[00:01:31.300 --> 00:01:33.600]  你們就必得著能力
[00:01:33.600 --> 00:01:38.700]  並要在耶路撒冷、猶太全地和撒馬利亞
[00:01:38.700 --> 00:01:42.400]  直到地極作我的見證。」
[00:01:42.400 --> 00:01:45.000]  《使徒行傳》的一章八節講得很清楚
[00:01:45.000 --> 00:01:46.200]  給我們知道
[00:01:46.200 --> 00:01:49.200]  早期教會他們的能力
[00:01:49.200 --> 00:01:50.800]  不是出自自己
[00:01:50.800 --> 00:01:53.300]  是出於聖靈
[00:01:53.300 --> 00:01:59.400]  施洗約翰也曾經預言將會有聖靈的洗禮
[00:01:59.400 --> 00:02:01.600]  這在《四福音》
[00:02:01.600 --> 00:02:06.400]  和《使徒行傳》的十一章十六節都講得很清楚
[00:02:06.400 --> 00:02:10.600]  另外耶穌基督也預言將會有聖靈的降臨
[00:02:10.600 --> 00:02:14.300]  約翰福音的十四章至十六章都講到
