
[00:00:00.000 --> 00:00:04.240]  靚姊妹平安 母親節快樂 祝姊妹們
[00:00:04.240 --> 00:00:08.520]  今日講一個記載舊約的母親
[00:00:08.520 --> 00:00:13.120]  經文剛才都講了 25章24至28節 請聽我讀
[00:00:13.120 --> 00:00:17.040]  生產的日子到了 福中果然是雙子
[00:00:17.040 --> 00:00:21.440]  先產的身體發紅 渾身有毛 如同皮衣
[00:00:21.440 --> 00:00:25.480]  他們就給他起名叫耳掃 就是有毛的意思
[00:00:25.480 --> 00:00:30.240]  隨後又生了耳掃的兄弟 手抓住耳掃的腳筋
[00:00:30.240 --> 00:00:34.400]  因此給他起名叫雅各 就是抓住的意思
[00:00:34.400 --> 00:00:39.680]  尼伯加生了兩個兒子的時候 以撒年正六十歲
[00:00:39.680 --> 00:00:44.640]  兩個孩子漸漸長大 耳掃善於打獵 常在田野
[00:00:44.640 --> 00:00:48.680]  雅各為人安靜 常住在帳幕裡
[00:00:48.680 --> 00:00:52.520]  以撒愛耳掃 因為常吃他的野味
[00:00:52.520 --> 00:00:55.640]  尼伯加卻愛雅各
[00:00:55.640 --> 00:00:57.640]  我們先一起來祈禱
[00:00:57.640 --> 00:01:02.120]  撒愛天父 我們感謝你 做男做女
[00:01:02.120 --> 00:01:07.320]  設立家庭 設立父母 這個又尊貴又重要的角色
[00:01:07.320 --> 00:01:10.120]  求主幫助我們每年的母親節
[00:01:10.120 --> 00:01:13.240]  更多去感謝我們的母親
[00:01:13.240 --> 00:01:17.240]  而且我們做母親的 我們要學習
[00:01:17.240 --> 00:01:19.960]  怎樣用神的話語去教導我們的孩子
[00:01:19.960 --> 00:01:21.960]  求主幫助我們 多謝主
[00:01:21.960 --> 00:01:23.960]  祈禱奉主耶穌基督 得聖命祈求
[00:01:23.960 --> 00:01:25.960]  阿門
[00:01:25.960 --> 00:01:31.320]  今天是母親節 所以問問大家的問題
[00:01:31.320 --> 00:01:36.360]  你覺得你媽媽對你的人生影響大不大呢?
[00:01:36.360 --> 00:01:41.160]  如果你覺得媽媽對你的人生影響有一半以上
[00:01:41.160 --> 00:01:43.160]  舉手來看看
[00:01:43.160 --> 00:01:47.960]  不是很多 我以為每個人都會舉手
[00:01:47.960 --> 00:01:55.080]  其實媽媽對孩子的影響不止是孩子
[00:01:55.080 --> 00:01:57.960]  一直對孩子的影響都是非常深遠的
[00:01:57.960 --> 00:02:01.080]  可以是小時候 也可以是一生之久
[00:02:01.080 --> 00:02:03.880]  現代心理學家亦都研究
[00:02:03.880 --> 00:02:08.440]  他說父母的教養方式 特別是母親
[00:02:08.440 --> 00:02:12.440]  很大程度影響了孩子將來怎樣看自己
[00:02:12.440 --> 00:02:14.440]  怎樣跟人相處
[00:02:14.440 --> 00:02:16.440]  有沒有安全感
[00:02:16.440 --> 00:02:18.440]  有沒有自信
[00:02:18.440 --> 00:02:22.440]  甚至怎樣面對神
[00:02:22.440 --> 00:02:24.440]  所以我們看到
[00:02:24.440 --> 00:02:30.440]  父母的影響其實很大
[00:02:30.440 --> 00:02:32.440]  現在的研究
[00:02:32.440 --> 00:02:36.440]  大約將父母的教養方式分為四種
[00:02:36.440 --> 00:02:40.440]  這四種都是建立在兩個核心上
[00:02:40.440 --> 00:02:46.440]  一個是你給孩子的愛
[00:02:46.440 --> 00:02:50.440]  另一個是界線 就是原則
[00:02:50.440 --> 00:02:52.440]  甚麼是愛呢?
[00:02:52.440 --> 00:02:54.440]  包括你接納他 你支持他
[00:02:54.440 --> 00:02:56.440]  你怎樣陪伴他
[00:02:56.440 --> 00:02:58.440]  你怎樣關心他
[00:02:58.440 --> 00:03:00.440]  這些都是愛的表現
[00:03:00.440 --> 00:03:02.440]  當然你供養他
[00:03:02.440 --> 00:03:06.440]  飲食各樣東西都是愛的表現
[00:03:06.440 --> 00:03:08.440]  第二是界線
[00:03:08.440 --> 00:03:14.440]  就是怎樣有原則 有規矩去管教他
[00:03:14.440 --> 00:03:16.440]  或者對他有要求
[00:03:16.440 --> 00:03:20.440]  這些都是在這兩個界線上
[00:03:20.440 --> 00:03:22.440]  其實你發覺很有趣
[00:03:22.440 --> 00:03:24.440]  現代的概念在這兩個界線上
[00:03:24.440 --> 00:03:28.440]  其實神創造亞當夏娃的時候
[00:03:28.440 --> 00:03:30.440]  創世紀第二章
[00:03:30.440 --> 00:03:32.440]  其實神就是做了這件事
[00:03:32.440 --> 00:03:38.440]  神做了亞當夏娃之後
[00:03:38.440 --> 00:03:42.440]  他供應他一切的所需
[00:03:42.440 --> 00:03:44.440]  然後就設立了一個界線
[00:03:44.440 --> 00:03:46.440]  就是分辨善惡術的果子
[00:03:46.440 --> 00:03:48.440]  你們不可以吃
[00:03:48.440 --> 00:03:50.440]  這個就是一個界線
[00:03:50.440 --> 00:03:52.440]  所以你發覺很特別地
[00:03:52.440 --> 00:03:54.440]  原來神也是這樣教導我們
[00:03:54.440 --> 00:03:58.440]  真正健康的愛不是完全放任的
[00:03:58.440 --> 00:04:03.440]  不是沒有規矩的愛
[00:04:03.440 --> 00:04:06.440]  一定是包含了有界限的
[00:04:06.440 --> 00:04:09.440]  所以我們現在來看看這四類母親
[00:04:09.440 --> 00:04:11.440]  第一個就是權威型
[00:04:11.440 --> 00:04:13.440]  一聽名字就以為權威不是很好
[00:04:13.440 --> 00:04:16.440]  但其實這個才是最健康的母親
[00:04:16.440 --> 00:04:19.440]  她又有愛又有高的界線
[00:04:19.440 --> 00:04:22.440]  她會去抱孩子 聽孩子說
[00:04:22.440 --> 00:04:26.440]  同時也會跟孩子說
[00:04:26.440 --> 00:04:28.440]  這件事不可以做
[00:04:28.440 --> 00:04:30.440]  也會跟孩子解釋原因
[00:04:30.440 --> 00:04:32.440]  她不只是發命令
[00:04:32.440 --> 00:04:34.440]  她更加懂得怎樣去教孩子
[00:04:34.440 --> 00:04:36.440]  所以研究發現這種媽媽
[00:04:36.440 --> 00:04:39.440]  帶出來的孩子會經常跟他們溝通
[00:04:39.440 --> 00:04:41.440]  所以比較有安全感
[00:04:41.440 --> 00:04:43.440]  有自律 有責任感
[00:04:43.440 --> 00:04:45.440]  人際關係也會比較健康
[00:04:45.440 --> 00:04:50.440]  這是最接近神教導我們的方向
[00:04:50.440 --> 00:04:53.440]  第二個就是專制型的母親
[00:04:53.440 --> 00:04:56.440]  她有很多命令 但是很嚴格
[00:04:56.440 --> 00:04:59.440]  但她比較少關懷
[00:04:59.440 --> 00:05:01.440]  可能媽媽有句口頭禪
[00:05:01.440 --> 00:05:04.440]  「我說了是就是」
[00:05:04.440 --> 00:05:06.440]  不能讓孩子去反駁
[00:05:06.440 --> 00:05:08.440]  這種媽媽很重視規矩
[00:05:08.440 --> 00:05:11.440]  但很少一些情感的交流
[00:05:11.440 --> 00:05:14.440]  可能跟我們上一輩有點相似
[00:05:14.440 --> 00:05:16.440]  孩子表面上很乖
[00:05:16.440 --> 00:05:19.440]  但其實裡面有很多壓抑
[00:05:19.440 --> 00:05:21.440]  很容易去焦慮
[00:05:21.440 --> 00:05:23.440]  自己想怎樣做
[00:05:23.440 --> 00:05:25.440]  就會做的自主性
[00:05:25.440 --> 00:05:27.440]  長大之後
[00:05:27.440 --> 00:05:29.440]  孩子很容易反叛
[00:05:29.440 --> 00:05:32.440]  不喜歡聽媽媽說話
[00:05:32.440 --> 00:05:37.440]  或者很討好人
[00:05:37.440 --> 00:05:42.440]  因為從小覺得她未被真正接納
[00:05:42.440 --> 00:05:44.440]  所以做得很討好人
[00:05:44.440 --> 00:05:48.440]  第三種就是縱容型的母親
[00:05:48.440 --> 00:05:52.440]  很疼愛她們
[00:05:52.440 --> 00:05:54.440]  非常愛孩子
[00:05:54.440 --> 00:05:57.440]  她們不會跟孩子說不
[00:05:57.440 --> 00:06:01.440]  因為不想令孩子失望
[00:06:01.440 --> 00:06:05.440]  亦不想令孩子哭
