
[00:00:00.000 --> 00:00:02.360]  你們是特別蒙福的一羣
[00:00:02.360 --> 00:00:02.980]  爲什麼呢?
[00:00:02.980 --> 00:00:07.500]  因爲我們過去說過轉化生命的敬拜
[00:00:07.500 --> 00:00:10.000]  其實本來是三堂
[00:00:10.000 --> 00:00:13.700]  不過今天牧師就便宜你們了
[00:00:13.700 --> 00:00:15.000]  加了一堂
[00:00:15.000 --> 00:00:19.900]  如何能夠經歷一個轉化生命的敬拜呢?
[00:00:19.900 --> 00:00:23.340]  2011年5月
[00:00:23.340 --> 00:00:28.740]  前總統奧巴馬和他的太太米雪兒
[00:00:28.740 --> 00:00:30.140]  去英國
[00:00:30.140 --> 00:00:33.300]  有一個官式的訪問
[00:00:33.300 --> 00:00:35.500]  當然美國總統來到
[00:00:35.500 --> 00:00:37.620]  英女皇當然要款待她
[00:00:37.620 --> 00:00:40.220]  所以在5月份的時間
[00:00:40.220 --> 00:00:42.820]  去到2011年的時候
[00:00:42.820 --> 00:00:46.020]  英女皇爲她安排了一個國宴
[00:00:46.020 --> 00:00:50.460]  在白金漢宮裏面舉行
[00:00:50.460 --> 00:00:53.260]  當然有一些官式的程序
[00:00:53.260 --> 00:00:56.220]  其中一件事就要敬酒了
[00:00:56.220 --> 00:00:58.540]  就是奧巴馬總統來到英國
[00:00:58.540 --> 00:01:01.940]  就向英女皇祝酒
[00:01:01.940 --> 00:01:04.860]  但是很不幸地
[00:01:04.860 --> 00:01:06.660]  奧巴馬總統沒有做好功課
[00:01:06.660 --> 00:01:10.620]  不太懂得英國皇家的禮節
[00:01:10.620 --> 00:01:13.380]  結果在他祝酒的時候
[00:01:13.380 --> 00:01:18.340]  就令他有一個很尷尬的場面發生
[00:01:18.340 --> 00:01:19.860]  如何尷尬呢?
[00:01:19.860 --> 00:01:22.380]  我們來看看吧
[00:01:28.540 --> 00:01:32.940]  奧巴馬總統向英國國家和世界祝賀
[00:01:32.940 --> 00:01:34.300]  女士們先生們
[00:01:34.300 --> 00:01:35.900]  請跟着我站起來
[00:01:35.900 --> 00:01:37.580]  舉起你的鏡子
[00:01:37.580 --> 00:01:42.980]  我爲你們提出一杯乾杯
[00:01:42.980 --> 00:01:46.100]  給英女皇的皇后
[00:01:46.100 --> 00:01:52.260]  給我們國民的特別關係的生命
[00:01:52.260 --> 00:01:58.900]  以及在奧巴馬總統的口中
[00:01:58.900 --> 00:02:00.500]  給這片圓滿的地球
[00:02:00.500 --> 00:02:01.900]  這片土地
[00:02:01.900 --> 00:02:04.540]  這片英國
[00:02:22.260 --> 00:02:36.180]  大家有沒有看過這個新聞?
[00:02:36.180 --> 00:02:40.260]  原來當外國元首或者使節
[00:02:40.260 --> 00:02:42.740]  來參加白金漢宮的宴會
[00:02:42.740 --> 00:02:43.940]  都會祝酒的
[00:02:43.940 --> 00:02:45.940]  對女皇祝酒的
[00:02:45.940 --> 00:02:49.580]  但是其實爲什麼沒有做好功課呢?
[00:02:49.580 --> 00:02:53.220]  原來在皇宮的禮節當中
[00:02:53.220 --> 00:02:59.820]  當女皇給女王一個湯圓
[00:02:59.820 --> 00:03:04.620]  她就說我現在給皇后一個湯圓
[00:03:04.620 --> 00:03:08.780]  儀仗隊聽到Queen這個字的時候
[00:03:08.780 --> 00:03:10.740]  就會奏起國歌
[00:03:10.740 --> 00:03:13.140]  就是National Anthem
[00:03:13.140 --> 00:03:15.740]  其實一直以來他們的習慣是這樣的
[00:03:15.740 --> 00:03:18.340]  所以所有人如果知道的話
[00:03:18.340 --> 00:03:20.540]  一聽到最後一句就是這句話
[00:03:20.540 --> 00:03:21.700]  不可以再說其他東西了
[00:03:21.700 --> 00:03:23.460]  說這句話就會停止
[00:03:23.460 --> 00:03:24.740]  但是他們就沒有停止
[00:03:24.740 --> 00:03:25.340]  繼續說
[00:03:25.340 --> 00:03:27.540]  但是國歌已經奏起了
[00:03:27.540 --> 00:03:28.540]  這個國歌
