
[00:00:00.000 --> 00:00:03.180]  好 各位親愛的大姐妹 大家早安
[00:00:03.180 --> 00:00:07.680]  很開心今天可以實體看到大家的見面
[00:00:07.680 --> 00:00:10.300]  雖然疫情仍然反覆
[00:00:10.300 --> 00:00:15.760]  但我們都祈求主保我們每一個人繼續身心靈到平安
[00:00:15.760 --> 00:00:19.760]  今天我跟大家分享的題目是「心心心」
[00:00:19.760 --> 00:00:24.800]  三個心 當然與心有關
[00:00:24.800 --> 00:00:27.800]  主要的題目是幫助大家用耳機
[00:00:27.800 --> 00:00:31.480]  透過今天的經文《肥臘比書》
[00:00:31.480 --> 00:00:34.640]  二章五召十一節 跟大家分享三個心
[00:00:34.640 --> 00:00:36.200]  這三個心與什麼有關呢?
[00:00:36.200 --> 00:00:42.040]  我們經常說我們信耶穌 我們效法主基督
[00:00:42.040 --> 00:00:47.000]  我們希望自己能夠活像基督
[00:00:47.000 --> 00:00:49.760]  所以今天我分享的三個心
[00:00:49.760 --> 00:00:55.800]  就是與我們怎樣來效法主耶穌基督呢?
[00:00:55.800 --> 00:01:01.280]  我們不如一起來做一個禱告吧
[00:01:01.280 --> 00:01:02.960]  主 我們讚美祢
[00:01:02.960 --> 00:01:06.960]  今天在祢自己的主人之中
[00:01:06.960 --> 00:01:08.840]  我們能夠得以親近祢
[00:01:08.840 --> 00:01:11.280]  願祢這一刻就在我們當中
[00:01:11.280 --> 00:01:14.240]  主要知道不是我們誰能夠分享祢的話語
[00:01:14.240 --> 00:01:16.640]  或者講道神祢自己的心意
[00:01:16.640 --> 00:01:20.320]  我就在懇求聖靈祢來充滿我們這裏
[00:01:20.320 --> 00:01:23.320]  充滿我們這裏每一個弟兄姊妹的心
[00:01:23.320 --> 00:01:25.960]  讓我們能夠在聖靈祢自己的引導下
[00:01:25.960 --> 00:01:28.840]  得以明白上帝祢自己的心意
[00:01:28.840 --> 00:01:32.360]  並且幫助我們 不單止我們知道
[00:01:32.360 --> 00:01:36.120]  更加幫助我們能夠聽到也行到
[00:01:36.120 --> 00:01:37.400]  在我們的生命裏面
[00:01:37.400 --> 00:01:40.400]  每一天就能夠活出基督祢的樣式
[00:01:40.400 --> 00:01:42.840]  願祢在我們當中帶領我們
[00:01:42.840 --> 00:01:45.160]  多謝祢聽我們同心的禱告
[00:01:45.160 --> 00:01:47.880]  奉主耶穌基督的名 阿們
[00:01:47.880 --> 00:01:50.400]  好 我們來看第一個心
[00:01:50.400 --> 00:01:54.520]  就是我們看今天的第一節經文
[00:01:54.520 --> 00:01:58.680]  這裏 當保羅跟菲勒比教的信徒
[00:01:58.680 --> 00:02:00.600]  來教導他們的時候
[00:02:00.600 --> 00:02:01.880]  他跟他們說
[00:02:01.880 --> 00:02:05.680]  你們當有這樣思想
[00:02:05.680 --> 00:02:08.280]  這就是基督耶穌的思想
[00:02:08.280 --> 00:02:11.360]  這裏說 其實這一句可以譯做
[00:02:11.360 --> 00:02:15.800]  你們當以基督耶穌的心為心
[00:02:15.800 --> 00:02:17.240]  當然其實我們看回
[00:02:17.240 --> 00:02:20.320]  聖經和合本其實都是這樣譯法的
[00:02:20.320 --> 00:02:22.720]  就是說 要效法基督
[00:02:22.720 --> 00:02:24.720]  我們第一點我想跟大家講的
[00:02:24.720 --> 00:02:26.600]  就是好像保羅所講的
[00:02:26.600 --> 00:02:31.200]  要以基督耶穌的心為心
[00:02:31.200 --> 00:02:34.920]  那你說心 大家不知道心在哪裏
[00:02:34.920 --> 00:02:37.800]  都在活動中 因為
[00:02:37.800 --> 00:02:39.600]  心都是我們在身體裏面
[00:02:39.600 --> 00:02:41.720]  從生物學的角度來看
[00:02:41.720 --> 00:02:43.320]  都是一個很重要的器官
[00:02:43.320 --> 00:02:45.880]  運輸血液 循環
[00:02:45.880 --> 00:02:49.160]  但當我們看回聖經的原文
[00:02:49.160 --> 00:02:52.240]  心這個字的意思
[00:02:52.240 --> 00:02:54.920]  是講到我們的思想
[00:02:54.920 --> 00:02:59.280]  我們的心智和我們的態度
[00:02:59.280 --> 00:03:00.880]  我們都想到
[00:03:00.880 --> 00:03:03.440]  其實我們一個人的心智思想態度
[00:03:03.440 --> 00:03:06.720]  都會有多影響我們做些什麼出來的
[00:03:06.720 --> 00:03:10.440]  我很記得在2020年兩年前
[00:03:10.440 --> 00:03:13.800]  我們現在又快要有港九賢經培靈大會了
[00:03:13.800 --> 00:03:17.240]  兩年前我們報道會國文慈牧師
[00:03:17.240 --> 00:03:18.680]  其中一個講員
[00:03:18.680 --> 00:03:21.440]  我記得我聽到一個見證
[00:03:21.440 --> 00:03:24.760]  他說其實從小到大
[00:03:24.760 --> 00:03:27.920]  他都有一個心智是要去讀神學的
[00:03:27.920 --> 00:03:32.440]  他心裏面時常都想著這件事
[00:03:32.440 --> 00:03:34.840]  他在他讀書的年代
[00:03:34.840 --> 00:03:38.640]  他曾經幫一個學生補習
[00:03:38.640 --> 00:03:41.880]  去到一個階段說要結束了這個補習
[00:03:41.880 --> 00:03:43.240]  但在那個時候
[00:03:43.240 --> 00:03:45.640]  那個補習學生的媽媽
[00:03:45.640 --> 00:03:47.920]  就跟他說 很欣賞他
[00:03:47.920 --> 00:03:52.640]  就說不如我給你錢供你去讀書 繼續這樣
[00:03:52.640 --> 00:03:54.920]  如果是大家聽到我的
[00:03:54.920 --> 00:03:57.960]  很開心 有人供我
[00:03:57.960 --> 00:04:01.000]  但是當那位媽媽知道
[00:04:01.000 --> 00:04:04.520]  國慕師他是想讀神學的
[00:04:04.520 --> 00:04:08.520]  馬上就說 你讀什麼都可以
[00:04:08.520 --> 00:04:10.920]  就不要讀神學
[00:04:10.920 --> 00:04:12.920]  在很多人的心目中
[00:04:12.920 --> 00:04:17.240]  我想可能覺得讀神學將來有什麼出路
[00:04:17.240 --> 00:04:20.920]  所以他就這樣跟國慕師說
[00:04:20.920 --> 00:04:23.520]  但是國慕師的反應就是說
[00:04:23.520 --> 00:04:27.120]  其實他真的心裏面有一個心智要讀神學
[00:04:27.120 --> 00:04:32.440]  所以他就婉拒了這位太太的提出
[00:04:32.440 --> 00:04:35.440]  就繼續向著他自己的標杆
[00:04:35.440 --> 00:04:36.800]  吃飽
[00:04:36.800 --> 00:04:39.840]  今天終於成為了我們一個很敬重
[00:04:39.840 --> 00:04:42.240]  非常重用的牧者
[00:04:42.240 --> 00:04:45.680]  所以我們見到一個人原來的心智
[00:04:45.680 --> 00:04:47.680]  是可以幫助你一生
[00:04:47.680 --> 00:04:49.280]  就是去追求什麼
[00:04:49.280 --> 00:04:50.720]  會成為一個怎樣的人
[00:04:50.720 --> 00:04:53.560]  這裡我們剛才看回就是
[00:04:53.560 --> 00:04:57.360]  我們見到保羅跟信徒說
[00:04:57.360 --> 00:05:01.120]  你們應當有這樣的思想法 有這樣的心
[00:05:01.120 --> 00:05:02.560]  應當這個字
[00:05:02.560 --> 00:05:04.280]  當我們看到當字
[00:05:04.280 --> 00:05:06.360]  在聖經裏面當然我們又要留意一下
[00:05:06.360 --> 00:05:08.000]  因為這是一個命令詞
[00:05:08.000 --> 00:05:10.560]  就是說上帝吩咐我們
[00:05:10.560 --> 00:05:13.560]  是要做這件事 是很重要的
[00:05:13.560 --> 00:05:16.960]  所以這裏當然說要以基督的心為心的時候
[00:05:16.960 --> 00:05:20.520]  就是說神要我們
[00:05:20.520 --> 00:05:22.520]  當然我們效法祂的時候
[00:05:22.520 --> 00:05:31.040]  要有同一的心智、思想和祂的態度
[00:05:31.040 --> 00:05:32.840]  成為我們生活的基礎
[00:05:32.840 --> 00:05:35.000]  我們看《心言》這句
[00:05:35.000 --> 00:05:36.560]  我們不如一起讀好不好
[00:05:36.560 --> 00:05:41.480]  「你要謹守你的心,聖歌謹守一切,
[00:05:41.480 --> 00:05:46.240]  因為生命的泉源由此而出」
[00:05:46.240 --> 00:05:47.640]  這裏說得很清楚
[00:05:47.640 --> 00:05:50.720]  生命的泉源是由哪裡而出?
[00:05:50.720 --> 00:05:53.040]  由我們的心而出
[00:05:53.040 --> 00:05:57.040]  所以如果我們說我們要效法基督的生命
[00:05:57.040 --> 00:05:59.840]  必然我想我們要由心開始
[00:05:59.840 --> 00:06:03.040]  因為一切都是由心而發的
[00:06:03.040 --> 00:06:06.200]  我們說如果是這樣的時候
[00:06:06.200 --> 00:06:09.160]  我們要想 心是一個很內在的事情
[00:06:09.160 --> 00:06:15.800]  所以我們效法神 基督就不能停留在一些所謂的外在的行為
[00:06:15.800 --> 00:06:17.800]  那什麼叫做一些外在的行為呢?
[00:06:17.800 --> 00:06:19.000]  我自己就想就是了
[00:06:19.000 --> 00:06:21.120]  可能我們都會讀《聖經》
[00:06:21.120 --> 00:06:23.080]  我們都可能喜歡讀《聖經》
[00:06:23.080 --> 00:06:24.520]  我們時常都會
[00:06:24.520 --> 00:06:26.760]  但是久而久之
[00:06:26.760 --> 00:06:31.400]  我們的腦裏面就會吸收了很多《聖經》的知識
[00:06:31.400 --> 00:06:34.840]  就是跟人說《聖經》很熟悉 這樣那樣都能說到的
[00:06:34.840 --> 00:06:37.200]  但是我想更加重要的就是
[00:06:37.200 --> 00:06:41.760]  要將這些在頭腦裏面的知識
[00:06:41.760 --> 00:06:44.720]  轉化到我們的心裏
[00:06:44.720 --> 00:06:47.840]  然後我們來消化之後
[00:06:47.840 --> 00:06:49.920]  能夠求聖靈給我們的力量
[00:06:49.920 --> 00:06:54.840]  將這些吸收到的真理《聖經》的知識
[00:06:54.840 --> 00:06:57.520]  能夠去活出來
[00:06:57.520 --> 00:07:01.160]  我想這個才是真正叫做效法耶穌
[00:07:01.160 --> 00:07:03.400]  因為在我們每天的生命裏面
[00:07:03.400 --> 00:07:05.400]  將這個真理去活出來
[00:07:05.400 --> 00:07:07.200]  我們說其實我們平時
[00:07:07.200 --> 00:07:11.400]  可能經常都回教會回得很好的
[00:07:11.400 --> 00:07:14.560]  我們有活動我們會參加
[00:07:14.560 --> 00:07:17.680]  甚至乎我們在教會是有一些積分的
[00:07:17.680 --> 00:07:19.600]  我們會去施奉神
[00:07:19.600 --> 00:07:21.880]  但是我們雖然在教會裏面
[00:07:21.880 --> 00:07:25.840]  可能我們表現得很積極 很愛主
[00:07:25.840 --> 00:07:27.480]  但是我想神呢
[00:07:27.480 --> 00:07:30.120]  如果當你想想神祂看到的什麼呢
