
[00:00:00.000 --> 00:00:03.800]  這五章聖經裏面沒有提及事實的名字
[00:00:03.800 --> 00:00:06.900]  沒有提及外族對當時以色列人的欺壓
[00:00:06.900 --> 00:00:10.700]  甚至沒有對當時的以色列百姓的好與壞
[00:00:10.700 --> 00:00:12.600]  作出任何的評論
[00:00:12.600 --> 00:00:16.000]  這五章聖經裏面只記載了兩個故事
[00:00:16.000 --> 00:00:17.800]  聖經認為這兩個故事
[00:00:17.800 --> 00:00:20.900]  可以算是事實記的附錄
[00:00:20.900 --> 00:00:22.600]  透過這兩個故事
[00:00:22.600 --> 00:00:27.600]  將事實時代以色列百姓那種敗壞的情況說出來
[00:00:27.600 --> 00:00:28.800]  這兩個故事
[00:00:28.800 --> 00:00:33.200]  第一個故事就是講到以色列人在宗教信仰上的敗壞
[00:00:33.200 --> 00:00:35.700]  也是上一次講到的時候所提到
[00:00:35.700 --> 00:00:38.600]  就是米加和他的私人祭司的故事
[00:00:38.600 --> 00:00:40.800]  當時米加在自己家裏面
[00:00:40.800 --> 00:00:43.200]  設立了家中裏面的家中的神
[00:00:43.200 --> 00:00:46.900]  並且請了一位利美人作家裏面的私人祭司
[00:00:46.900 --> 00:00:49.500]  後來但知派的人向北遷移的時候
[00:00:49.500 --> 00:00:50.900]  經過這個地方
[00:00:50.900 --> 00:00:53.300]  將米加家裏面的家中的神
[00:00:53.300 --> 00:00:55.500]  和私人祭司帶走
[00:00:55.500 --> 00:00:58.200]  第二個故事就是講到以色列百姓
[00:00:58.200 --> 00:01:00.500]  在道德生活上的敗壞
[00:01:00.500 --> 00:01:02.800]  也是今天我們要講到的
[00:01:02.800 --> 00:01:05.200]  當中講到一個無名的利美人
[00:01:05.200 --> 00:01:07.000]  在接回他的妾之後
[00:01:07.000 --> 00:01:08.500]  在歸家的途中
[00:01:08.500 --> 00:01:11.400]  在基比亞城所遭遇的不幸的事
[00:01:11.400 --> 00:01:14.500]  以及變雅米人對兇手的包庇
[00:01:14.500 --> 00:01:17.900]  最終以色列百姓差點將一個支派
[00:01:17.900 --> 00:01:19.800]  變雅米支派來消滅
[00:01:19.800 --> 00:01:21.900]  這兩個故事同樣指出了
[00:01:21.900 --> 00:01:25.000]  聖經在事實記裏面一個很重要的總結
[00:01:25.000 --> 00:01:27.800]  就是那個時候以色列中會有王
[00:01:27.800 --> 00:01:29.800]  各人任意而行
[00:01:29.800 --> 00:01:31.500]  這句的總結
[00:01:31.500 --> 00:01:33.900]  將當時可怕的情況寫出來
[00:01:33.900 --> 00:01:36.100]  將人不以神為王
[00:01:36.100 --> 00:01:39.200]  離棄神的結果來告訴我們
[00:01:39.200 --> 00:01:41.100]  今天我們講到第二個故事
[00:01:41.100 --> 00:01:44.100]  我的題目是沉澀的利美人
[00:01:44.100 --> 00:01:47.600]  讓我們先有個禱告
[00:01:47.600 --> 00:01:48.800]  求主都教我們
[00:01:48.800 --> 00:01:51.500]  聖靈在我們心中來提醒我們
