
[00:00:00.000 --> 00:00:03.880]  我們深信那位復活的主耶穌
[00:00:03.880 --> 00:00:06.560]  在我們陷入困境的時候
[00:00:06.560 --> 00:00:09.080]  祂時刻與我們一起
[00:00:09.080 --> 00:00:12.600]  主動參與在我們生命裏面
[00:00:12.600 --> 00:00:17.200]  以塞瓦書四十一章十節再一次提醒我們
[00:00:17.200 --> 00:00:20.960]  「你不要害怕,因為我與你同在
[00:00:20.960 --> 00:00:24.880]  不要驚慌,因為我是你的天主」
[00:00:24.880 --> 00:00:30.160]  「我必兼顧你,我必幫助你」
[00:00:30.160 --> 00:00:34.560]  「我必用我公義的右手扶持你」
[00:00:34.560 --> 00:00:38.320]  上帝沒有允許信祂的人每一帆風順
[00:00:38.320 --> 00:00:40.800]  卻允許與我們同在
[00:00:40.800 --> 00:00:44.880]  這種同在就是給我們最大的安慰
[00:00:44.880 --> 00:00:47.840]  我們若果過於專注眼前的困境
[00:00:47.840 --> 00:00:51.600]  嘗試用自己有限的觀點去解決困境
[00:00:51.600 --> 00:00:55.560]  嘗試用自己有限的觀點去解決問題
[00:00:55.560 --> 00:00:58.760]  就很容易忽略那位復活的基督
[00:00:58.760 --> 00:01:00.720]  祂就是以馬來尼
[00:01:00.720 --> 00:01:02.720]  是與我們同在的神
[00:01:02.720 --> 00:01:04.640]  無論在任何處境
[00:01:04.640 --> 00:01:06.040]  任何地方
[00:01:06.040 --> 00:01:07.400]  任何時間
[00:01:07.400 --> 00:01:09.240]  祂都在我們身邊
[00:01:09.240 --> 00:01:13.160]  是我們患難中隨時的幫助
[00:01:13.160 --> 00:01:16.040]  我們實在很需要求主憐憫
[00:01:16.040 --> 00:01:18.960]  叫我們不要只專注在自己
[00:01:18.960 --> 00:01:21.440]  不要只專注在別人
[00:01:21.440 --> 00:01:24.240]  不要只專注在環境
[00:01:24.240 --> 00:01:27.400]  更不要只專注在世界
[00:01:27.400 --> 00:01:29.000]  因為當我們的眼目
[00:01:29.000 --> 00:01:31.960]  只是定睛在眼前的景象的時候
[00:01:31.960 --> 00:01:35.240]  只會帶來痛苦和失望
[00:01:35.240 --> 00:01:37.000]  在這個艱難的時刻
[00:01:37.000 --> 00:01:39.560]  我們不單要咬緊牙關
[00:01:39.560 --> 00:01:42.480]  並非單向神求改變現況
[00:01:42.480 --> 00:01:47.000]  我們更應該求神改變我們的目光和價值觀
[00:01:47.000 --> 00:01:50.440]  讓我們裡面能夠剛強起來
[00:01:50.440 --> 00:01:53.600]  盼望我們藉著禱告、祈求
[00:01:53.600 --> 00:01:59.400]  讓神在我們的生命發揮可能轉化
[00:01:59.400 --> 00:02:03.360]  讓彼此之間的生命能夠變得更加堅毅
[00:02:03.360 --> 00:02:07.240]  神能夠照著運行在我們心裡的大能大力
[00:02:07.240 --> 00:02:10.640]  成就超過所求所想的
[00:02:10.640 --> 00:02:13.680]  讓神得著當得的榮耀
[00:02:13.680 --> 00:02:16.280]  願我們轉眼仰望神
[00:02:16.280 --> 00:02:19.240]  必定能夠見到耶穌的行蹤
[00:02:19.240 --> 00:02:22.440]  在逆境裡面與神同行
