
[00:00:00.000 --> 00:00:02.600]  保佑支配者我們是從心的祈禱
[00:00:02.600 --> 00:00:04.800]  請主妹讓我們先重新的禱告
[00:00:04.800 --> 00:00:08.600]  差父神多謝祢
[00:00:08.600 --> 00:00:12.000]  讓我們再次能夠打開啟示錄的經文
[00:00:12.000 --> 00:00:13.500]  來到最後的一章
[00:00:13.500 --> 00:00:16.900]  最後一課的講道
[00:00:16.900 --> 00:00:19.100]  求主祢真的讓我們
[00:00:19.100 --> 00:00:21.300]  仍然在祢的靈魂裏面
[00:00:21.300 --> 00:00:22.600]  去求祢的聖靈
[00:00:22.600 --> 00:00:25.500]  去駕馭我們的生命
[00:00:25.500 --> 00:00:29.900]  保佑我們真的完全順服在祢的教導當中
[00:00:29.900 --> 00:00:34.100]  如果願意我們能夠繼續在神靈的面前
[00:00:34.100 --> 00:00:37.600]  永恆在啟示錄裏面的教訓
[00:00:37.600 --> 00:00:41.800]  將很多我們一向以為對的真理
[00:00:41.800 --> 00:00:45.800]  其實是違背主理教訓的事情
[00:00:45.800 --> 00:00:47.400]  都將它糾正過來
[00:00:47.400 --> 00:00:49.000]  求主祢的幫助
[00:00:49.000 --> 00:00:50.600]  祈禱給彭師傅的明白
[00:00:50.600 --> 00:00:59.300]  今天我們會來到啟示錄最後的一個講道
[00:00:59.300 --> 00:01:02.000]  今天來到啟示錄最後一節的講道
[00:01:02.000 --> 00:01:02.800]  題目叫做
[00:01:02.800 --> 00:01:06.500]  基督徒乃是一個敬畏神的好學生
[00:01:06.500 --> 00:01:07.000]  題目是
[00:01:07.000 --> 00:01:09.900]  基督徒乃是一個敬畏神的好學生
[00:01:09.900 --> 00:01:11.700]  講到好學生
[00:01:11.700 --> 00:01:14.600]  那個學生就不能夠不講老師
[00:01:14.600 --> 00:01:18.100]  講到好學生就不能不講到老師
[00:01:18.100 --> 00:01:21.000]  在我自己的經驗裏面
[00:01:21.000 --> 00:01:22.800]  在我的經驗裏面
[00:01:22.800 --> 00:01:26.200]  作為一個好老師有一個共通點
[00:01:26.200 --> 00:01:28.800]  作為一個好老師有一個共通點
[00:01:28.800 --> 00:01:30.600]  因為我以前也教過書
[00:01:30.600 --> 00:01:32.400]  因為我以前也教過書
[00:01:32.400 --> 00:01:35.800]  所以我就知道教書其實教的課文
[00:01:35.800 --> 00:01:38.200]  很多資料的
[00:01:38.200 --> 00:01:41.600]  教科書有很多的資料
[00:01:41.600 --> 00:01:45.700]  要教每一個題目可能要講很久的時間
[00:01:45.700 --> 00:01:48.500]  教一個題目可能要講很久的時間
[00:01:48.500 --> 00:01:51.200]  其實通常教的學生我都知道
[00:01:51.200 --> 00:01:53.600]  教到差不多課題一半左右
[00:01:53.600 --> 00:01:56.400]  他已經忘記了之前在講什麼
[00:01:56.400 --> 00:01:58.700]  通常是講到一半的時候
[00:01:58.700 --> 00:02:00.400]  已經不記得前面講什麼了
[00:02:00.400 --> 00:02:02.800]  但是你作為老師要繼續這樣教下去
[00:02:02.800 --> 00:02:04.400]  跟著課程進度
[00:02:04.400 --> 00:02:07.000]  作為老師還要繼續接著講下去
[00:02:07.000 --> 00:02:11.800]  但是我很喜歡教到最後就會這樣做
[00:02:11.800 --> 00:02:14.800]  我很喜歡教到最後的時候要這樣做
[00:02:14.800 --> 00:02:17.500]  就是將整個課題
[00:02:17.500 --> 00:02:18.800]  將整個課題
[00:02:18.800 --> 00:02:23.400]  它最重要最精要最缺要的地方
[00:02:23.400 --> 00:02:25.300]  將它最重要的地方
[00:02:25.300 --> 00:02:30.600]  將它很快地跟學生講一次
[00:02:30.600 --> 00:02:35.000]  在很冗長的課程內容之內
[00:02:35.000 --> 00:02:40.100]  將它濃縮在一個很短的部分
[00:02:40.100 --> 00:02:42.800]  然後就教給學生
[00:02:42.800 --> 00:02:47.800]  當一跟他講在最後一課一講的時候
[00:02:47.800 --> 00:02:54.900]  他就馬上可以容易去回憶之前所講的內文
[00:02:54.900 --> 00:02:59.700]  而當這樣教導之後我都發覺
[00:02:59.700 --> 00:03:07.200]  學生能夠更加有效地去掌握和運用這個課題
[00:03:07.200 --> 00:03:09.000]  而我跟其他的老師去分享
[00:03:09.000 --> 00:03:13.100]  特別是那些好的老師
[00:03:13.100 --> 00:03:15.800]  都有這個習慣
[00:03:15.800 --> 00:03:18.300]  不好的老師就教完就下課了
[00:03:18.300 --> 00:03:22.000]  不講究竟有什麼特色
[00:03:22.000 --> 00:03:24.200]  好的一定會這樣做
[00:03:24.200 --> 00:03:31.400]  因為我們希望學生能夠很精要地去掌握重點
[00:03:31.400 --> 00:03:34.000]  譬如講電腦
[00:03:34.000 --> 00:03:36.000]  現在每個人都用電腦
[00:03:36.000 --> 00:03:38.200]  比如說講電腦
[00:03:38.200 --> 00:03:40.200]  當你在公司用電腦的時候
[00:03:40.200 --> 00:03:45.500]  通常都需要去打入你的登入的帳號
[00:03:45.500 --> 00:03:47.500]  當你在公司用電腦的時候
[00:03:47.500 --> 00:03:51.500]  首先都要登入你的密碼
[00:03:51.500 --> 00:03:56.000]  如果突然間你的上司說有些急事要馬上開會的話
[00:03:56.000 --> 00:03:59.700]  如果突然間你的老闆說要開會了
[00:03:59.700 --> 00:04:02.000]  你會怎麼做呢
[00:04:02.000 --> 00:04:04.500]  唯獨你會怎麼做
[00:04:04.500 --> 00:04:06.500]  當然要log out 先
[00:04:06.500 --> 00:04:10.500]  log out 要登出
[00:04:10.500 --> 00:04:12.000]  登出怎麼做呢
[00:04:12.000 --> 00:04:13.200]  你要退出怎麼做呢
[00:04:13.200 --> 00:04:16.200]  當然是將滑鼠移到下面角落
[00:04:16.200 --> 00:04:21.700]  將你的滑鼠移到左下角
[00:04:21.700 --> 00:04:24.700]  然後按一下
[00:04:24.700 --> 00:04:28.200]  然後就出了一個表列
[00:04:28.200 --> 00:04:33.700]  再按log off 登出
[00:04:33.700 --> 00:04:35.200]  那麼你就登出了
[00:04:35.200 --> 00:04:37.700]  那麼你可以去開會了
[00:04:37.700 --> 00:04:39.200]  這樣是沒有錯的
[00:04:39.200 --> 00:04:40.200]  這樣沒錯
[00:04:40.200 --> 00:04:42.200]  教人用電腦都是這樣
[00:04:42.200 --> 00:04:43.700]  教人用電腦都是這樣
[00:04:43.700 --> 00:04:47.700]  但是如果你懂得一個方法
[00:04:47.700 --> 00:04:49.200]  你知道一個方法
[00:04:49.200 --> 00:04:53.700]  然後按著windows的鍵盤鍵
[00:04:53.700 --> 00:04:55.700]  視窗
[00:04:55.700 --> 00:04:57.700]  你按著windows的視窗鍵
