
[00:00:00.000 --> 00:00:02.940]  珍惜眼前人
[00:00:02.940 --> 00:00:05.900]  祈禱,《主禱文》第一句說話是說什麼呢?
[00:00:05.900 --> 00:00:08.620]  「我們在天上的父」
[00:00:08.620 --> 00:00:11.600]  想想,我們祈禱的時候,主耶穌教我們
[00:00:11.600 --> 00:00:15.460]  我們跟神的關係拉得很近
[00:00:15.460 --> 00:00:17.460]  祂是我們的爸爸
[00:00:17.460 --> 00:00:19.460]  有沒有跟爸爸聊天的?
[00:00:19.460 --> 00:00:23.340]  我們說話,原來我們祈禱是跟爸爸聊天
[00:00:23.340 --> 00:00:27.380]  我們中國人,很多爸爸都很嚴肅的,不敢跟他聊天
[00:00:27.380 --> 00:00:30.300]  但是天上的父神不是這樣的
[00:00:30.300 --> 00:00:34.520]  祂隨時聽我們的祈禱
[00:00:34.520 --> 00:00:37.700]  我們現在一起先聽祈禱
[00:00:37.700 --> 00:00:41.380]  因此感謝祢,感謝祢將這個愛給了我們
[00:00:41.380 --> 00:00:44.480]  讓我們真的能夠
[00:00:44.480 --> 00:00:47.140]  以創造天地萬物
[00:00:47.140 --> 00:00:49.460]  一個這麼偉大的真神
[00:00:49.460 --> 00:00:51.860]  我們沒有辦法明白的
[00:00:51.860 --> 00:00:53.860]  因為是真神
[00:00:53.860 --> 00:00:57.100]  竟然是我們天上的爸爸
[00:00:57.100 --> 00:00:59.820]  我們可以稱祢為「阿爸父」
[00:00:59.820 --> 00:01:03.340]  這是一個何等大的權柄
[00:01:03.340 --> 00:01:04.780]  主,感謝祢
[00:01:04.780 --> 00:01:06.660]  今天我們願意親近祢
[00:01:06.660 --> 00:01:09.100]  就像我們所唱的詩歌一樣
[00:01:09.100 --> 00:01:11.340]  我們今天願意去親近祢
[00:01:11.340 --> 00:01:13.880]  去珍惜祢的同在
[00:01:13.880 --> 00:01:16.140]  去珍惜主祢自己
[00:01:16.140 --> 00:01:17.540]  求祢幫助我們
[00:01:17.540 --> 00:01:20.200]  祈禱封耶穌名球,阿門
[00:01:20.200 --> 00:01:22.780]  跟隔壁左右打招呼,好不好?
[00:01:22.780 --> 00:01:25.960]  很開心,你坐在他旁邊,是吧?
[00:01:25.960 --> 00:01:28.100]  有沒有誰是第一次來的?
[00:01:28.100 --> 00:01:30.380]  不過不用舉手
[00:01:30.380 --> 00:01:31.620]  如果第一次來
[00:01:31.620 --> 00:01:34.620]  不如你不熟悉口面,跟他聊聊天,好不好?
[00:01:34.620 --> 00:01:37.080]  我們很歡迎大家彼此
[00:01:37.080 --> 00:01:40.460]  能夠坐在這個地方去敬拜神
[00:01:40.460 --> 00:01:41.820]  是很祝福的
[00:01:41.820 --> 00:01:43.820]  有時候我看到第一次進來
[00:01:43.820 --> 00:01:45.100]  我們會點有一個傳統
[00:01:45.100 --> 00:01:47.380]  就是後面那十分鐘很忙
[00:01:47.380 --> 00:01:49.620]  那些交通很忙,突然衝進來
[00:01:49.620 --> 00:01:51.300]  你會發覺開車也沒有撞到
[00:01:51.300 --> 00:01:53.500]  這是神的恩典,是吧?
[00:01:53.500 --> 00:01:57.380]  很感謝神,我們能夠今天一同敬拜
[00:01:57.380 --> 00:02:01.220]  今天講到的系列是「珍惜眼前人」
[00:02:01.220 --> 00:02:06.020]  我第一個講的是「珍惜天上的阿爸父」
[00:02:06.020 --> 00:02:09.340]  我想人有幾個愚蠢的地方
[00:02:09.340 --> 00:02:11.220]  就是講到珍惜
[00:02:11.220 --> 00:02:13.940]  應該珍惜,有的時候不珍惜
[00:02:13.940 --> 00:02:17.160]  沒有的時候就嘆惜,可惜
[00:02:17.160 --> 00:02:18.540]  第一個愚昧
[00:02:18.540 --> 00:02:24.180]  第二個愚昧就是我們珍惜摸到的東西
[00:02:24.180 --> 00:02:26.700]  以為很寶貴的東西
[00:02:26.700 --> 00:02:29.860]  有些人買了一個新的手錶、新的手機
[00:02:29.860 --> 00:02:31.500]  抱著它來睡覺
[00:02:31.500 --> 00:02:35.700]  你有沒有買新手錶、新手機?
[00:02:35.700 --> 00:02:38.540]  但過了之後又過期了
[00:02:38.540 --> 00:02:40.940]  所以我們不需要…
[00:02:40.940 --> 00:02:45.860]  只是珍惜那些摸到但會改變的東西
[00:02:45.860 --> 00:02:48.340]  但沒有珍惜人與人的關係
[00:02:48.340 --> 00:02:50.820]  一些看不到的東西是很真實的
[00:02:50.820 --> 00:02:53.940]  看不到好像家裡的愛
