
[00:00:00.000 --> 00:00:10.000]  我預備編導時,我求問主,到底我這個世界需不需要有主你的精兵呢?
[00:00:10.000 --> 00:00:24.000]  整個新聞回答我,在8月28日,山西發生了一宗一個年幼男童被活生生劃去雙眼的案
[00:00:24.000 --> 00:00:32.000]  懷疑是有人體的泛米器官分子將眼角膜割去
[00:00:32.000 --> 00:00:40.000]  當地一個年僅六歲的男童小登彬,在一個星期內的晚上出去玩
[00:00:40.000 --> 00:00:48.000]  懷疑被一個外地女子擄走,落藥迷魂後,挖走他的眼球
[00:00:48.000 --> 00:00:55.000]  男童送院後,雖然沒有生命危險,但他會永遠失明
[00:00:55.000 --> 00:01:04.000]  警方在發現男童的荒地,找回眼球,但眼角膜不知所蹤
[00:01:04.000 --> 00:01:14.000]  警方懸紅十萬元去追緝兇徒,男童的媽媽很傷心
[00:01:14.000 --> 00:01:22.000]  小登彬雖然出生在農村,但父母很疼愛他
[00:01:22.000 --> 00:01:34.000]  事發時,村民通知小童的媽媽,在斜坡上有個小童點來點去,懷疑是兒子
[00:01:34.000 --> 00:01:48.000]  他們隨即去到現場,發現他在草地滾來滾去,全身衣褲有血跡,臉上滿佈鮮血
[00:01:48.000 --> 00:01:57.000]  其中眼部腫得像兩隻雞蛋,不停叫叫,不停扁地
[00:01:57.000 --> 00:02:06.000]  起初父母以為是從斜坡跌下來受傷,所以送他去個普通醫院
[00:02:06.000 --> 00:02:14.000]  不過後來急症室醫生一看,發現不對勁,請五官科醫生來
[00:02:14.000 --> 00:02:23.000]  五官科醫生把男童眼皮反一反,發現他的眼球被人拔走了
[00:02:23.000 --> 00:02:32.000]  傷勢很嚴重,所以馬上把他轉去眼科醫院搶救,做了三個小時手術
[00:02:32.000 --> 00:02:38.000]  雖然救得回來,不過未來仍要做很多次手術
[00:02:38.000 --> 00:02:51.000]  小登彬憶述案件發生,有個婦人把他抱走,有人用工具鑿他雙眼
[00:02:51.000 --> 00:02:57.000]  當時他不停哭,大個人說,你不哭我就不挖你雙眼
[00:02:57.000 --> 00:03:03.000]  小妹妹當你聽完這段案件時,你有什麼體會呢?
[00:03:03.000 --> 00:03:13.000]  我體會到人世間,人失去了愛,人是一種很可怕的動物
[00:03:13.000 --> 00:03:25.000]  所以這世界人類需要的是什麼?需要愛,有人說需要錢
[00:03:25.000 --> 00:03:36.000]  我們覺得需要愛多些,到底誰可以將愛注入這個世界呢?
[00:03:36.000 --> 00:03:46.000]  在美國教會有一個牧者說,教會是這個世界再充滿愛的唯一希望
[00:03:46.000 --> 00:03:55.000]  而教會的未來就掌握在一班精兵的手裏,這班精兵在座各位
[00:03:55.000 --> 00:04:05.000]  這班精兵是怎樣誕生的呢?在小路行傳二章,曾經有一班門徒,他們完全獻身給神
[00:04:05.000 --> 00:04:16.000]  他們的合一生命被聖靈充滿,這班跟從耶穌的人徹底實行彼此相愛
[00:04:16.000 --> 00:04:24.000]  他們脫下自己的面具,坦誠無偽地分享在神裏的想法
[00:04:24.000 --> 00:04:35.000]  他們一齊笑,一齊哭,一齊祈禱,一齊讚美,一齊服侍,他們裏面有些有富足的
[00:04:35.000 --> 00:04:42.000]  將他們的財富分給窮的,直至沒有經濟上的難阻
[00:04:42.000 --> 00:04:48.000]  他們學習彼此欣賞,建立彼此尊重的說話方法
[00:04:48.000 --> 00:04:59.000]  他們跨越了性別和種族的分類,彼此接納對方生活上和自己的不同
