
[00:00:00.000 --> 00:00:06.280]  今天輾轉已經是我們第十四個舊約聖經講座
[00:00:06.280 --> 00:00:07.740]  今天講的是詩篇
[00:00:07.740 --> 00:00:10.000]  詩篇中的基督福音
[00:00:10.000 --> 00:00:15.440]  詩篇如果你從這個希伯來文裡面的題目就叫
[00:00:15.440 --> 00:00:16.440]  Tehillim
[00:00:16.440 --> 00:00:18.280]  Tehillim的意思就是Praise
[00:00:18.280 --> 00:00:19.580]  就是讚美的意思
[00:00:19.580 --> 00:00:24.100]  所以詩篇的一個比較長的名字就是讚美詩歌
[00:00:24.100 --> 00:00:25.780]  Hymn of Praise
[00:00:25.780 --> 00:00:29.200]  如果你記得我們今天是第十四次
[00:00:29.200 --> 00:00:32.320]  之前第十三次的時候
[00:00:32.320 --> 00:00:34.640]  是講約伯宗的福音
[00:00:34.640 --> 00:00:36.420]  你就會覺得約伯是什麼呢?
[00:00:36.420 --> 00:00:39.000]  約伯是講苦難的故事
[00:00:39.000 --> 00:00:41.100]  今天就講讚美的故事
[00:00:41.100 --> 00:00:42.580]  好像有一個對比
[00:00:42.580 --> 00:00:43.740]  但其實呢
[00:00:43.740 --> 00:00:44.980]  又不可以這麼說的
[00:00:44.980 --> 00:00:48.980]  因為詩篇其實有一點點是約伯記的延續
[00:00:48.980 --> 00:00:51.760]  因為如果約伯記是一個苦難的話
[00:00:51.760 --> 00:00:56.240]  詩篇就是從苦難中怎麼轉向讚美
[00:00:56.240 --> 00:00:57.840]  因為如果你讀過詩篇
[00:00:57.840 --> 00:01:00.560]  剛才這位小朋友也跟我說過
[00:01:00.560 --> 00:01:02.080]  詩篇裡面有多少篇呢?
[00:01:02.080 --> 00:01:02.840]  總共
[00:01:02.840 --> 00:01:03.920]  一百五十篇
[00:01:03.920 --> 00:01:05.840]  是的,有一百五十篇
[00:01:05.840 --> 00:01:07.560]  一百五十篇詩篇裡面
[00:01:07.560 --> 00:01:10.480]  不是每一篇都是讚美詩
[00:01:10.480 --> 00:01:13.840]  其實裡面的哀嘆詩
[00:01:13.840 --> 00:01:14.680]  Lament
[00:01:14.680 --> 00:01:18.180]  其實成分是多過讚美詩的
[00:01:18.180 --> 00:01:19.360]  所以你可以說
[00:01:19.360 --> 00:01:23.240]  詩篇是一個約伯記的延續
[00:01:23.240 --> 00:01:28.160]  就是由哀嘆結果轉化成讚美
[00:01:28.160 --> 00:01:29.560]  但你也可以說
[00:01:29.560 --> 00:01:32.120]  詩篇是一個約伯記的重複
[00:01:32.120 --> 00:01:33.040]  為什麼呢?
[00:01:33.040 --> 00:01:37.400]  因為約伯記也是由哀嘆到讚美的
[00:01:37.400 --> 00:01:40.080]  因為你記得約伯記最後的章節
[00:01:40.080 --> 00:01:42.520]  還沒到最後那一章的時候
[00:01:42.520 --> 00:01:43.480]  約伯也很慘的
