
[00:00:00.000 --> 00:00:03.040]  是和大家繼續講《但以理書》
[00:00:03.040 --> 00:00:04.840]  上個禮拜記不記得我們說
[00:00:04.840 --> 00:00:06.840]  是講火中的試驗
[00:00:06.840 --> 00:00:09.100]  是有很多很多的偶像
[00:00:09.100 --> 00:00:13.360]  人為的事來引誘我們離開我們的神
[00:00:13.360 --> 00:00:16.000]  今日是繼續講
[00:00:16.000 --> 00:00:18.280]  19至30節
[00:00:18.280 --> 00:00:20.840]  是講到火念的信心
[00:00:20.840 --> 00:00:23.680]  究竟在這麼多的試驗當中
[00:00:23.680 --> 00:00:26.720]  我們應該是有些怎樣的信心
[00:00:30.360 --> 00:00:35.160]  我上一次講其實《但以理書》二章至到七章
[00:00:35.160 --> 00:00:37.600]  是給外方人的信息
[00:00:37.600 --> 00:00:39.640]  是用加勒底文來寫
[00:00:39.640 --> 00:00:41.520]  《但以理書》兩種語言
[00:00:41.520 --> 00:00:44.080]  希伯來文和加勒底文
[00:00:44.080 --> 00:00:46.760]  二至到七章就是用加勒底文寫
[00:00:46.760 --> 00:00:48.640]  是給外方人
[00:00:48.640 --> 00:00:52.200]  有一個很美麗的手尾的結構在裏面
[00:00:52.200 --> 00:00:53.640]  給我們見到
[00:00:53.640 --> 00:00:58.560]  二章和七章都是講外方人國度的語言
[00:00:58.560 --> 00:01:02.440]  不同的國家臣給權柄他們來掌權
[00:01:02.440 --> 00:01:06.040]  一個國家跟著一個國家興起衰落
[00:01:06.040 --> 00:01:09.320]  這些權柄都是臣給他們
[00:01:09.320 --> 00:01:12.120]  但是當這些外方人的國家
[00:01:12.120 --> 00:01:14.600]  他們的王驕傲的時候
[00:01:14.600 --> 00:01:16.800]  臣一樣是管教
[00:01:16.800 --> 00:01:22.160]  一樣是來懲罰他們
[00:01:22.160 --> 00:01:26.400]  例如第四章就是尼布格尼撒的懲罰
[00:01:26.400 --> 00:01:30.360]  第五章就是白沙薩的懲罰
[00:01:30.360 --> 00:01:33.520]  我們說外方人的日期很充滿試探
[00:01:33.520 --> 00:01:35.640]  充滿偶像
[00:01:35.640 --> 00:01:37.520]  上個星期講了
[00:01:37.520 --> 00:01:40.920]  到底跟我們現在的社會都是一樣
[00:01:40.920 --> 00:01:42.520]  我們面對試探
