
[00:00:00.000 --> 00:00:04.620]  因為早幾天除了是新年期間
[00:00:04.620 --> 00:00:06.620]  還是一個很特別的日子
[00:00:06.620 --> 00:00:08.620]  早幾天
[00:00:08.620 --> 00:00:11.620]  2月14日是一年一度的什麼
[00:00:11.620 --> 00:00:14.220]  情人節啦
[00:00:14.220 --> 00:00:16.220]  大家有沒有慶祝一下情人節
[00:00:16.220 --> 00:00:19.640]  沒有因為實在是太浪費錢了
[00:00:19.640 --> 00:00:22.900]  花費浩大
[00:00:22.900 --> 00:00:24.900]  我看新聞就說
[00:00:24.900 --> 00:00:26.900]  今年的花
[00:00:26.900 --> 00:00:28.900]  情人節當日的花
[00:00:28.900 --> 00:00:30.900]  太厲害了
[00:00:30.900 --> 00:00:33.900]  去年一扎12枝裝的玫瑰
[00:00:33.900 --> 00:00:35.900]  是980元
[00:00:35.900 --> 00:00:37.900]  哇
[00:00:37.900 --> 00:00:39.900]  這是去年的價錢
[00:00:39.900 --> 00:00:42.900]  今年做了市場調查
[00:00:42.900 --> 00:00:44.900]  花店賣多少錢呢
[00:00:44.900 --> 00:00:46.900]  1200元
[00:00:46.900 --> 00:00:49.900]  真的100元一枝
[00:00:49.900 --> 00:00:51.900]  太過份了
[00:00:51.900 --> 00:00:53.900]  如果將這1200元
[00:00:53.900 --> 00:00:55.900]  轉為
[00:00:55.900 --> 00:00:57.900]  轉為什麼好
[00:00:57.900 --> 00:00:59.900]  吃了它
[00:00:59.900 --> 00:01:01.900]  哇
[00:01:01.900 --> 00:01:02.900]  但你知不知道
[00:01:02.900 --> 00:01:04.900]  我14日那天走在街上
[00:01:04.900 --> 00:01:06.900]  的確看到很多人
[00:01:06.900 --> 00:01:08.900]  拿著一扎二扎的花
[00:01:08.900 --> 00:01:10.900]  哇
[00:01:10.900 --> 00:01:12.900]  個個都1200元
[00:01:12.900 --> 00:01:14.900]  手拿1200元
[00:01:14.900 --> 00:01:16.900]  真是富貴了
[00:01:16.900 --> 00:01:18.900]  等等
[00:01:18.900 --> 00:01:20.900]  為什麼那些人會
[00:01:20.900 --> 00:01:22.900]  又會不顧一切
[00:01:22.900 --> 00:01:24.900]  可能不是
[00:01:24.900 --> 00:01:26.900]  他們很有錢也說不定
[00:01:26.900 --> 00:01:28.900]  很貴他們也會買花
[00:01:28.900 --> 00:01:30.900]  給他們所愛的人呢
[00:01:30.900 --> 00:01:33.900]  原來我又發現了一件事
[00:01:33.900 --> 00:01:35.900]  我發現了一件事是什麼呢
[00:01:35.900 --> 00:01:37.900]  就是原來在
[00:01:37.900 --> 00:01:39.900]  在這個世界裡面呢
[00:01:39.900 --> 00:01:41.900]  在愛情裡面的人
[00:01:41.900 --> 00:01:43.900]  真是蠻盲目的
