
[00:00:00.000 --> 00:00:04.920]  主持人:今天我們講的經文是記載在《獵王記》上十九章
[00:00:04.920 --> 00:00:09.300]  主持人:我們今天所要講的經文是記錄在《獵王記》上十九章
[00:00:09.300 --> 00:00:12.720]  主持人:要理解十九章,我們必須要連同十八章一起看
[00:00:12.720 --> 00:00:16.360]  主持人:要理解十九章,我們必須要連同十八章一起來看
[00:00:16.360 --> 00:00:24.880]  主持人:這兩章的經文記載了以利亞一個從侍奉的高峰,進入人生低谷的故事
[00:00:24.880 --> 00:00:32.220]  主持人:這兩章的經文記載了以利亞一個從侍奉的高峰,進入人生低谷的故事
[00:00:32.220 --> 00:00:35.920]  主持人:在這個經歷裏面我們可以學到很多功夫
[00:00:35.920 --> 00:00:38.540]  主持人:在這個經歷裏面我們可以學到很多功夫
[00:00:38.540 --> 00:00:40.680]  主持人:我們先來看第十八章
[00:00:40.680 --> 00:00:43.040]  主持人:我們先來看一下第十八章
[00:00:43.040 --> 00:00:47.200]  主持人:大家都知道以色列分了南北二國
[00:00:47.200 --> 00:00:49.920]  主持人:大家都知道以色列分了南北兩國
[00:00:49.920 --> 00:00:52.640]  主持人:耶羅伯安就是北國的第一任皇帝
[00:00:52.640 --> 00:00:56.240]  主持人:耶羅伯安就是北國的第一任皇帝
[00:00:56.240 --> 00:01:03.720]  主持人:由第一任的皇帝一直以來都是行耶和華眼中所謂的惡的事
[00:01:03.720 --> 00:01:10.400]  主持人:由第一任的皇帝一直以來都是行耶和華眼中所謂的惡的事
[00:01:10.400 --> 00:01:14.720]  主持人:一直到第七任的皇帝就是阿哈
[00:01:14.720 --> 00:01:18.040]  主持人:一直到第七任的皇帝就是阿哈
[00:01:18.040 --> 00:01:23.920]  主持人:阿哈這個皇帝就娶了當時一個外邦西頓王的女兒耶洗別
[00:01:23.920 --> 00:01:30.720]  主持人:耶洗別就娶了當時一個外邦西頓王的女兒耶洗別
[00:01:30.720 --> 00:01:33.720]  主持人:耶洗別就娶了當時一個外邦西頓王的女兒耶洗別
[00:01:33.720 --> 00:01:36.760]  主持人:耶洗別就殺了耶和華的先知
[00:01:36.760 --> 00:01:41.440]  主持人:耶洗別就殺了耶和華的先知
[00:01:41.440 --> 00:01:49.080]  主持人:建立了他們外邦神巴力和阿洗拉的廟宇
[00:01:49.080 --> 00:01:50.680]  主持人:建立了他們外邦神巴力和阿洗拉的廟宇
[00:01:50.680 --> 00:01:52.320]  主持人:大概是因為這樣的原因
[00:01:52.320 --> 00:01:55.720]  主持人:大概是因為這樣的原因
[00:01:55.720 --> 00:01:59.040]  主持人:耶和華就猜怕以利亞跟百姓這樣說
[00:01:59.040 --> 00:02:02.120]  主持人:耶和華就猜怕以利亞跟百姓這樣說
[00:02:02.120 --> 00:02:05.400]  主持人:耶和華就猜怕以利亞跟百姓這樣說
[00:02:05.400 --> 00:02:09.640]  主持人:耶和華就猜怕以利亞跟百姓這樣說
[00:02:09.640 --> 00:02:12.840]  主持人:天必不降露,也不下雨
[00:02:12.840 --> 00:02:18.640]  主持人:天必不降露,也不下雨
[00:02:18.640 --> 00:02:21.840]  主持人:以色列國就連續三年旱災
[00:02:21.840 --> 00:02:24.160]  主持人:以色列國就連續三年旱災
[00:02:24.160 --> 00:02:26.200]  主持人:在這三年的日期滿了之後
[00:02:26.200 --> 00:02:33.240]  主持人:在這三年的日期滿了之後
[00:02:33.240 --> 00:02:39.000]  主持人:以利亞就叫亞哈提及了八百五十個巴力和亞洗拉的先知
[00:02:39.000 --> 00:02:41.720]  主持人:亞哈提及了八百五十個巴力和亞洗拉的先知
[00:02:41.720 --> 00:02:43.880]  主持人:亞哈提及了八百五十個巴力和亞洗拉的先知
[00:02:43.880 --> 00:02:45.560]  主持人:當我們看這個故事的時候
[00:02:45.560 --> 00:02:50.800]  主持人:我們很多時候忽略了以利亞當時上山的心理狀態
[00:02:50.800 --> 00:02:52.600]  主持人:我們很多時候看這個故事的時候
[00:02:52.600 --> 00:02:57.960]  主持人:我們都忽略了以利亞當時要上山的時候的那個重要的心理狀態
[00:02:57.960 --> 00:03:03.640]  主持人:而我覺得這個心理狀態很決定我們怎樣理解十九章這段經文
[00:03:03.640 --> 00:03:08.720]  主持人:而我覺得這個心理狀態很決定了我們怎樣去理解十九章這段經文
[00:03:08.720 --> 00:03:10.480]  主持人:大家想一想如果你是以利亞的話
[00:03:10.480 --> 00:03:12.800]  主持人:大家想一想如果你是以利亞的話
[00:03:12.800 --> 00:03:16.360]  主持人:當時整個國家上上下下都在找你
[00:03:16.360 --> 00:03:18.840]  主持人:當時整個國家上上下下都在找你
[00:03:18.840 --> 00:03:22.240]  主持人:為什麼?因為他們相信三年的旱災是由你搞出來的
[00:03:22.240 --> 00:03:27.120]  主持人:為什麼?因為他們認為三年的旱災是你弄出來的
[00:03:27.120 --> 00:03:29.080]  主持人:你猜一下如果你這一次上山
[00:03:29.080 --> 00:03:31.840]  主持人:你想一下如果你這一次上山
[00:03:31.840 --> 00:03:32.920]  主持人:求不到雨
[00:03:32.920 --> 00:03:34.040]  主持人:求不了雨的話
[00:03:34.040 --> 00:03:37.320]  主持人:你還會不會想著有條命可以下山呢?
[00:03:37.320 --> 00:03:39.800]  主持人:你覺得你還有命下山嗎?
[00:03:39.800 --> 00:03:42.640]  主持人:所以我相信當日以利亞上山的時候
[00:03:42.640 --> 00:03:45.760]  主持人:所以我相信當日以利亞上山的時候
[00:03:45.760 --> 00:03:47.520]  主持人:他已經有一個心理準備
[00:03:47.520 --> 00:03:50.040]  主持人:他已經有一個心理準備
[00:03:50.040 --> 00:03:53.400]  主持人:他心裡肯定是預備著他沒有命再下山的
[00:03:53.400 --> 00:03:56.760]  主持人:當所有先知齊集在加密山上的時候
[00:03:56.760 --> 00:04:00.920]  主持人:當所有先知齊聚在加密山的時候
[00:04:00.920 --> 00:04:02.720]  主持人:當所有先知齊聚在加密山的時候
[00:04:02.720 --> 00:04:04.720]  主持人:有八百多個假先知
[00:04:04.720 --> 00:04:08.080]  主持人:圍著他們的祭身來跳舞呼求
[00:04:08.080 --> 00:04:11.280]  主持人:圍著他們的祭身來跳舞呼求
[00:04:11.280 --> 00:04:13.080]  主持人:狂呼刺身
[00:04:13.080 --> 00:04:15.040]  主持人:狂叫刺身
[00:04:15.040 --> 00:04:18.160]  主持人:我們所說的不是三文魚刺身
[00:04:18.160 --> 00:04:20.280]  主持人:我們所說的不是三文魚刺身
[00:04:20.280 --> 00:04:22.120]  主持人:是他們用刀刺自己的身體
[00:04:22.120 --> 00:04:24.280]  主持人:是他們用刀刺自己的身體
[00:04:24.280 --> 00:04:25.520]  主持人:他們覺得這樣做的時候
[00:04:25.520 --> 00:04:27.920]  主持人:他們所信的巴力神就會聽他們說話
[00:04:27.920 --> 00:04:29.680]  主持人:因為他們覺得他們這樣做的時候
[00:04:29.680 --> 00:04:34.840]  主持人:他們所相信的巴力神就會聽他們的話語
