
[00:00:00.000 --> 00:00:03.120]  終結,當然我希望大家知道這個不是終結來的
[00:00:03.120 --> 00:00:06.080]  這個剛剛開始,我們用一六個星期的時間開始
[00:00:06.080 --> 00:00:11.320]  不過到了今天,大家在感覺上覺得快不快?
[00:00:11.320 --> 00:00:15.920]  一開始就輕輕一聲,就差不多完結了
[00:00:15.920 --> 00:00:22.120]  其實這種感覺跟我們今天的社會和文化
[00:00:22.120 --> 00:00:26.160]  是接近很相似的
[00:00:26.160 --> 00:00:30.720]  爲什麼呢?因爲我們今天的社會文化
[00:00:30.720 --> 00:00:33.720]  是不能等的,我們不喜歡等的
[00:00:33.720 --> 00:00:36.560]  我們喜歡什麼都要快,什麼都要快
[00:00:36.560 --> 00:00:41.080]  要快一點,甚至我們教會做事都要快一點
[00:00:41.080 --> 00:00:44.480]  慢一點就會覺得,有沒有搞錯,這麼久還不行
[00:00:44.480 --> 00:00:51.640]  所以這個感覺跟我們今天的社會文化是相當接近的
[00:00:51.640 --> 00:00:54.880]  大家有沒有試過開車,停在紅綠燈前面
[00:00:54.880 --> 00:00:59.000]  過了十五秒還沒轉燈,還沒轉綠色或黃色的時候
[00:00:59.000 --> 00:01:03.080]  你就開始生氣了,有沒有搞錯,燈這麼長的
[00:01:03.080 --> 00:01:06.600]  然後你轉了燈之後,過了三秒鐘前面的車都不動的時候
[00:01:06.600 --> 00:01:11.440]  你就會感安了,有沒有試過這種經驗?
[00:01:11.440 --> 00:01:14.640]  三秒少一點,五秒吧,whatever
[00:01:14.640 --> 00:01:17.040]  很多時候我們發覺,今天我們社會里面
[00:01:17.040 --> 00:01:20.800]  是覺得人們是越來越不能忍耐
[00:01:20.800 --> 00:01:27.160]  想要的東西就要有的時候,希望能夠儘快,即刻得到
[00:01:27.160 --> 00:01:33.080]  大家有沒有Amazon的account,Prime的account,有沒有,誰有?
[00:01:33.080 --> 00:01:37.040]  Two days delivery,現在太慢了,兩天
[00:01:37.040 --> 00:01:41.360]  Ebay說兩天,現在wallmark,to go
[00:01:41.360 --> 00:01:46.120]  你十一點前訂,今天就收到了,same day delivery
[00:01:46.120 --> 00:01:49.800]  要給多點錢,不要緊,可以給多點錢,說分得到
[00:01:49.800 --> 00:01:52.320]  我們可以快點得到
[00:01:52.320 --> 00:01:55.840]  這個就是我們今天的社會,這個就是我們今天的culture
