
[00:00:00.000 --> 00:00:04.000]  那我問你 孟武 到底是從哪裡來的
[00:00:04.000 --> 00:00:09.000]  我們今天要用雅各 就是亞伯拉罕生以撒
[00:00:09.000 --> 00:00:16.000]  以撒生雅各 所謂的以色列人的三代始祖
[00:00:16.000 --> 00:00:21.000]  以色列人他們常常講說 耶 神啊 你是亞伯拉罕的神
[00:00:21.000 --> 00:00:24.000]  你是以撒的神 你是雅各的神
[00:00:24.000 --> 00:00:26.000]  所以你也是我的神
[00:00:26.000 --> 00:00:29.000]  所以他們都會講這三個 三代始祖
[00:00:29.000 --> 00:00:34.000]  當然我們對雅伯拉罕很熟啦 是不是
[00:00:34.000 --> 00:00:38.000]  我們對以撒不太熟
[00:00:38.000 --> 00:00:44.000]  我們對雅各也蠻熟 身體上面篇幅也蠻多的
[00:00:44.000 --> 00:00:50.000]  我們今天用雅各他的夢想是怎麼成真的
[00:00:50.000 --> 00:00:53.000]  來給各位解說一下
[00:00:53.000 --> 00:00:59.000]  怎麼樣讓我們的 活出我們的夢想
[00:00:59.000 --> 00:01:03.000]  我先要跟各位講是 到底是夢想從哪裡來的
[00:01:03.000 --> 00:01:08.000]  還有 夢想 英文是講vision
[00:01:08.000 --> 00:01:14.000]  就是你 不光是你做夢 你看到的
[00:01:14.000 --> 00:01:18.000]  神讓你看到 讓你聽到的一個vision
[00:01:18.000 --> 00:01:24.000]  那麼 夢想 雅各的做法是他還禱告
[00:01:24.000 --> 00:01:27.000]  然後他還訴諸行動
[00:01:27.000 --> 00:01:32.000]  然後這個夢想經過禱告 這樣行動
[00:01:32.000 --> 00:01:37.000]  就有了成就了 就出來了 是的
[00:01:37.000 --> 00:01:40.000]  那麼夢到底從哪裡來呢
[00:01:40.000 --> 00:01:45.000]  如果你記得在若干年前 大概幾十年前有一個
[00:01:45.000 --> 00:01:52.000]  美國的人權鬥士叫做馬丁路德金恩博士
[00:01:52.000 --> 00:01:57.000]  他有一句名言是說 I have a dream
[00:01:57.000 --> 00:02:01.000]  他說我有一個夢想 我夢見將來有一天
[00:02:01.000 --> 00:02:06.000]  白人跟黑人種族可以融洽的生活在一起
[00:02:06.000 --> 00:02:09.000]  他是功不可沒
[00:02:09.000 --> 00:02:13.000]  他的冒著生命危險 他講出了這句話
