
[00:00:00.000 --> 00:00:03.080]  跟著蘇羅學一堂的領袖課
[00:00:03.080 --> 00:00:05.480]  今天我們會特別留意
[00:00:05.480 --> 00:00:07.040]  在薩姆爾紀上
[00:00:07.040 --> 00:00:09.560]  一個很大的篇幅當中
[00:00:09.560 --> 00:00:11.560]  讓我們能夠思考
[00:00:11.560 --> 00:00:14.720]  從蘇羅王一代的領袖當中
[00:00:14.720 --> 00:00:17.000]  我們學一堂的領袖課堂
[00:00:17.000 --> 00:00:21.200]  以色列第一位的君王蘇羅王
[00:00:21.200 --> 00:00:22.680]  聖經一開首的時候
[00:00:22.680 --> 00:00:24.280]  怎樣去介紹他
[00:00:24.280 --> 00:00:26.560]  在薩姆爾紀上九章二節
[00:00:26.560 --> 00:00:28.960]  一開首我們就見到
[00:00:28.960 --> 00:00:31.840]  他的隱界不單止他說
[00:00:31.840 --> 00:00:33.840]  他是一個大材主的二子
[00:00:33.840 --> 00:00:35.760]  這裡看到蘇羅
[00:00:35.760 --> 00:00:38.720]  蘇羅既健壯又順美
[00:00:38.720 --> 00:00:41.680]  沒有一個人能比他
[00:00:41.680 --> 00:00:43.760]  嘩 這種形容
[00:00:43.760 --> 00:00:46.960]  我相信我們在職場商界當中
[00:00:46.960 --> 00:00:50.720]  當你有幾個申請者來到你面前
[00:00:50.720 --> 00:00:52.400]  你一看 嘩
[00:00:52.400 --> 00:00:54.480]  沒有人能比他
[00:00:54.480 --> 00:00:56.800]  你一定會揀選他 是不是
[00:00:56.800 --> 00:01:00.040]  聖經說身體比眾文高一個頭
[00:01:00.040 --> 00:01:03.360]  原來他身材在外形上
[00:01:03.360 --> 00:01:06.760]  的確沒有人能比他
[00:01:06.760 --> 00:01:08.360]  第二方面我們看到
[00:01:08.360 --> 00:01:10.480]  在薩上九章二十一節
[00:01:10.480 --> 00:01:14.640]  當薩姆爾去高立蘇羅的時候
[00:01:14.640 --> 00:01:17.200]  蘇羅是向著薩姆爾說
[00:01:17.200 --> 00:01:19.920]  吓 我 不行的
[00:01:19.920 --> 00:01:21.440]  我不是以色列之派中
[00:01:21.440 --> 00:01:23.920]  最少的變亞敏之派嗎
[00:01:23.920 --> 00:01:25.920]  我家裏面是變亞敏之派
[00:01:25.920 --> 00:01:28.880]  但最少那個
[00:01:28.880 --> 00:01:30.320]  當我們聽見
[00:01:30.320 --> 00:01:33.600]  在他的表達言辭當中
[00:01:33.600 --> 00:01:36.800]  嘩 他有一份謙虛的心
[00:01:36.800 --> 00:01:39.480]  嘩 外表高大俊美
[00:01:39.480 --> 00:01:40.760]  高人一等
[00:01:40.760 --> 00:01:42.640]  內心又謙卑溫柔
[00:01:42.640 --> 00:01:44.600]  難得
[00:01:44.600 --> 00:01:47.040]  薩上更加多次的形容
[00:01:47.040 --> 00:01:49.320]  有另一個說法
[00:01:49.320 --> 00:01:50.960]  當他未被選立
[00:01:50.960 --> 00:01:51.920]  或者這樣說
[00:01:51.920 --> 00:01:55.760]  當薩姆爾高立了他為王之後
[00:01:55.760 --> 00:01:57.680]  在當中聖經這樣形容
[00:01:57.680 --> 00:02:01.520]  他說 神賜他一個新心
[00:02:01.520 --> 00:02:03.880]  神將火的新的心給他
[00:02:03.880 --> 00:02:05.000]  以致後來
[00:02:05.000 --> 00:02:08.200]  當他繼續為他的家庭去尋路
[00:02:08.200 --> 00:02:11.600]  他未正式擔任那個王的時候
[00:02:11.600 --> 00:02:14.240]  他去幫助那個亞敏那個族
[00:02:14.240 --> 00:02:15.840]  去讓他們能夠贏
[00:02:15.840 --> 00:02:17.920]  奪回他們的地土
[00:02:17.920 --> 00:02:24.040]  兩次說到神的靈大大感動他
[00:02:24.040 --> 00:02:27.000]  有神的靈的感動
[00:02:27.000 --> 00:02:29.600]  他有謙虛的內涵
[00:02:29.600 --> 00:02:32.360]  又有俊美的外表
[00:02:32.360 --> 00:02:34.640]  嘩 領袖的特質
[00:02:34.640 --> 00:02:36.400]  是否在人的眼中
[00:02:36.400 --> 00:02:39.640]  不過就是這樣呢
[00:02:39.640 --> 00:02:41.720]  以色列這個君王
[00:02:41.720 --> 00:02:43.520]  蘇羅王
[00:02:43.520 --> 00:02:44.760]  如果大家知道
[00:02:44.760 --> 00:02:46.480]  最後他的結局
[00:02:46.480 --> 00:02:51.640]  他不比在這個開頭形容的介紹當中
[00:02:51.640 --> 00:02:54.920]  他有著優秀的領袖特質
[00:02:54.920 --> 00:03:00.320]  卻最終被神厭棄一代領袖悲慘死亡
[00:03:00.320 --> 00:03:02.760]  實上十五章當他出來
[00:03:02.760 --> 00:03:05.280]  真真正正作王的時候
[00:03:05.280 --> 00:03:07.960]  在他的高立裡面
[00:03:07.960 --> 00:03:11.640]  之後在一個戰役裡面
[00:03:11.640 --> 00:03:15.000]  撒姆爾去走到他當中
[00:03:15.000 --> 00:03:16.160]  去宣佈他說
[00:03:16.160 --> 00:03:18.440]  為什麼你做了這些事
[00:03:18.440 --> 00:03:21.800]  神厭棄你做王
[00:03:21.800 --> 00:03:25.040]  神說我立蘇羅為王後悔了
[00:03:25.040 --> 00:03:27.640]  又說厭棄你作王
[00:03:27.640 --> 00:03:29.560]  到了幾場戰役之後
[00:03:29.560 --> 00:03:32.040]  到了最後一場戰役
[00:03:32.040 --> 00:03:33.360]  他離開了
[00:03:33.360 --> 00:03:36.480]  並且在那個戰役裡面慘敗
[00:03:36.480 --> 00:03:39.640]  他和他幾個兒子和所有的兵
[00:03:39.640 --> 00:03:43.080]  都在一個慘烈的戰況當中
[00:03:43.080 --> 00:03:45.000]  所以撒姆爾記下
[00:03:45.000 --> 00:03:49.360]  在大衛接續蘇羅作王的那個王
[00:03:49.360 --> 00:03:54.240]  向蘇羅的離世
[00:03:54.240 --> 00:03:56.840]  去立一個哀歌的時候這樣說
[00:03:56.840 --> 00:04:00.920]  他說以色列勒力尊榮者在山上被殺
[00:04:00.920 --> 00:04:04.480]  大英雄何竟死亡
[00:04:04.480 --> 00:04:09.080]  那個哀歌不斷哀到這位大英雄
