
[00:00:00.000 --> 00:00:02.440]  今天想和大家分享一個題目
[00:00:02.440 --> 00:00:06.060]  我們這一季都是和這兩個有關
[00:00:06.060 --> 00:00:10.980]  是在門徒的強化和優化的小組裏面
[00:00:10.980 --> 00:00:14.140]  其實在耶穌的生平裏面
[00:00:14.140 --> 00:00:16.140]  有七件事
[00:00:16.140 --> 00:00:19.340]  是顯出祂的使命和屬性
[00:00:19.340 --> 00:00:20.680]  是有這七件事
[00:00:20.680 --> 00:00:22.180]  大家可以想到
[00:00:22.180 --> 00:00:23.060]  或多或少
[00:00:23.060 --> 00:00:24.540]  第一件事
[00:00:24.540 --> 00:00:26.540]  就是祂的出生
[00:00:26.540 --> 00:00:28.140]  第二件事
[00:00:28.140 --> 00:00:30.140]  就是祂成長時受試探
[00:00:30.140 --> 00:00:32.140]  第三件事
[00:00:32.140 --> 00:00:34.140]  對不起
[00:00:34.140 --> 00:00:36.140]  第二件事是受浸
[00:00:36.140 --> 00:00:38.140]  第三件事是試探
[00:00:38.140 --> 00:00:40.140]  第四件事是今天想和大家講最高峰的
[00:00:40.140 --> 00:00:42.140]  麻煩翻上一張拍子
[00:00:42.140 --> 00:00:44.140]  再上一張
[00:00:44.140 --> 00:00:46.140]  OK
[00:00:46.140 --> 00:00:48.140]  在當中裏面
[00:00:48.140 --> 00:00:50.140]  變相是第四件
[00:00:50.140 --> 00:00:52.140]  還有三件事就是釘十架
[00:00:52.140 --> 00:00:54.140]  復活和升天
[00:00:54.140 --> 00:00:56.140]  在這七件事裏面
[00:00:56.140 --> 00:00:58.140]  變相是很特別
[00:00:58.140 --> 00:01:00.140]  在變相裏面
[00:01:00.140 --> 00:01:02.140]  我想借用一張PowerPoint
[00:01:02.140 --> 00:01:04.140]  提醒我們一下
[00:01:04.140 --> 00:01:06.140]  在這張PowerPoint關於啟示錄裏面
[00:01:06.140 --> 00:01:08.140]  這個現象就是
[00:01:08.140 --> 00:01:12.140]  其實我們期望的狀況
[00:01:12.140 --> 00:01:14.140]  這個狀況在變相的時候
[00:01:14.140 --> 00:01:16.140]  比我們看了少少
[00:01:16.140 --> 00:01:20.140]  因為在彼得·約翰亞的時候
[00:01:20.140 --> 00:01:22.140]  看到這些變相的少少
[00:01:22.140 --> 00:01:24.140]  不過這個只是點點
[00:01:24.140 --> 00:01:26.140]  在比特·約翰亞看到的時候
[00:01:26.140 --> 00:01:28.140]  他在啟示錄裏面
[00:01:28.140 --> 00:01:30.140]  他在領獸裏面
[00:01:30.140 --> 00:01:32.140]  他在一個夢裏面
[00:01:32.140 --> 00:01:34.140]  他在啟示錄裏面看到一些異象
[00:01:34.140 --> 00:01:36.140]  就好像這兩幅圖
[00:01:36.140 --> 00:01:38.140]  當耶穌回來的時候
[00:01:38.140 --> 00:01:40.140]  或者在耶穌的角度的時候
[00:01:40.140 --> 00:01:42.140]  有千千萬萬人的時候
[00:01:42.140 --> 00:01:44.140]  就好像啟示錄裏面
[00:01:44.140 --> 00:01:46.140]  讀一讀啟示錄裏面
[00:01:46.140 --> 00:01:48.140]  讓我們慢慢去讀
[00:01:48.140 --> 00:01:50.140]  當耶穌回來的時候
[00:01:50.140 --> 00:01:52.140]  那個形象是多麼的威榮
[00:01:52.140 --> 00:01:54.140]  今天我們這裏也有不少人
[00:01:54.140 --> 00:01:56.140]  如果你想一下
[00:01:56.140 --> 00:01:58.140]  這裏多了十倍百倍千倍萬倍
[00:01:58.140 --> 00:02:00.140]  那種勁敗很勁
[00:02:00.140 --> 00:02:02.140]  很厲害
[00:02:02.140 --> 00:02:04.140]  我們一起去感受一下
[00:02:04.140 --> 00:02:06.140]  雖然我們不能登山也不能變相
[00:02:06.140 --> 00:02:08.140]  也看不到
[00:02:08.140 --> 00:02:10.140]  試一下進入這個景象裏面
[00:02:10.140 --> 00:02:12.140]  讓我們感受一下那種威榮好不好
[00:02:12.140 --> 00:02:14.140]  老約翰就這樣說
[00:02:14.140 --> 00:02:16.140]  我又看見且聽見
[00:02:16.140 --> 00:02:18.140]  寶座與活物
[00:02:18.140 --> 00:02:20.140]  並長老的周圍
[00:02:20.140 --> 00:02:22.140]  有許多天使的聲音
[00:02:22.140 --> 00:02:24.140]  他們的數目有千千萬萬
[00:02:24.140 --> 00:02:26.140]  大聲說
[00:02:26.140 --> 00:02:28.140]  曾被殺的羔羊
[00:02:28.140 --> 00:02:30.140]  是配得權柄
[00:02:30.140 --> 00:02:32.140]  豐富智慧能力
[00:02:32.140 --> 00:02:34.140]  尊貴榮耀
[00:02:34.140 --> 00:02:36.140]  重讚
[00:02:36.140 --> 00:02:38.140]  天使就這樣說
[00:02:38.140 --> 00:02:40.140]  不斷地說阿們阿們
[00:02:40.140 --> 00:02:42.140]  這個景象
[00:02:42.140 --> 00:02:44.140]  你想不想見到
[00:02:44.140 --> 00:02:46.140]  你想不想見到
[00:02:46.140 --> 00:02:48.140]  其實很掙扎的
[00:02:48.140 --> 00:02:50.140]  見不到即是現在回去了
[00:02:50.140 --> 00:02:52.140]  但我又很想活在世上
[00:02:52.140 --> 00:02:54.140]  不過無論怎樣也好
[00:02:54.140 --> 00:02:56.140]  我們有一天可以告訴大家
[00:02:56.140 --> 00:02:58.140]  有一天我們會見到的
[00:02:58.140 --> 00:03:00.140]  有一天會見到就是這種景象
[00:03:00.140 --> 00:03:02.140]  我們就渴望著這裏
[00:03:02.140 --> 00:03:04.140]  所以今天我想借用路加福音
[00:03:04.140 --> 00:03:06.140]  第九章28到36
[00:03:06.140 --> 00:03:08.140]  我們來看一看這個變相裏面的症狀
[00:03:08.140 --> 00:03:10.140]  其實路加福音28至36節
[00:03:10.140 --> 00:03:12.140]  絕對不是單單說神的榮美
[00:03:12.140 --> 00:03:14.140]  我告訴大家
[00:03:14.140 --> 00:03:16.140]  今天我就想說
[00:03:16.140 --> 00:03:18.140]  我剛才的題目是
[00:03:18.140 --> 00:03:20.140]  登山變相
[00:03:20.140 --> 00:03:22.140]  為何
[00:03:22.140 --> 00:03:24.140]  為何呢
[00:03:24.140 --> 00:03:26.140]  所以這個題目就提醒我們
[00:03:26.140 --> 00:03:28.140]  路加福音待會我們所看的這幾節
[00:03:28.140 --> 00:03:30.140]  這個登山變相
[00:03:30.140 --> 00:03:32.140]  不是單單
[00:03:32.140 --> 00:03:34.140]  為了讓你看榮耀
[00:03:34.140 --> 00:03:36.140]  這麼簡單
[00:03:36.140 --> 00:03:38.140]  還有一個很特別的目的
[00:03:38.140 --> 00:03:40.140]  未看路加福音裏面的時候
[00:03:40.140 --> 00:03:42.140]  如果大家看這個powerpoint
[00:03:42.140 --> 00:03:44.140]  看你的程序表
[00:03:44.140 --> 00:03:46.140]  當我一路看的時候
[00:03:46.140 --> 00:03:48.140]  我發覺路加福音第九章
[00:03:48.140 --> 00:03:50.140]  是非常精彩
[00:03:50.140 --> 00:03:52.140]  是將做門徒的特質
[00:03:52.140 --> 00:03:54.140]  我們再齊作門徒
[00:03:54.140 --> 00:03:56.140]  如果一齊要做門徒之先
[00:03:56.140 --> 00:03:58.140]  有這些特質在路加福音提醒我們
[00:03:58.140 --> 00:04:00.140]  特別是第五和第六
[00:04:00.140 --> 00:04:02.140]  我就想
[00:04:02.140 --> 00:04:04.140]  一齊大家試試數白欖
[00:04:04.140 --> 00:04:06.140]  來讀讀這些好不好
[00:04:06.140 --> 00:04:10.140]  大家知不知道什麼是數白欖
[00:04:12.140 --> 00:04:14.140]  就這樣
[00:04:14.140 --> 00:04:16.140]  我們就讀
[00:04:16.140 --> 00:04:18.140]  猜門徒
[00:04:18.140 --> 00:04:20.140]  次權能
[00:04:20.140 --> 00:04:22.140]  各次全
[00:04:22.140 --> 00:04:24.140]  我們試試
[00:04:24.140 --> 00:04:28.140]  第五第六
[00:04:28.140 --> 00:04:30.140]  就不只是數白欖這麼簡單
[00:04:30.140 --> 00:04:32.140]  我們試試
[00:04:32.140 --> 00:04:34.140]  猜門徒
[00:04:34.140 --> 00:04:36.140]  次權能
[00:04:36.140 --> 00:04:38.140]  各次全
[00:04:38.140 --> 00:04:40.140]  餅和魚
[00:04:40.140 --> 00:04:42.140]  飽五千
[00:04:42.140 --> 00:04:44.140]  認耶穌
[00:04:44.140 --> 00:04:46.140]  為基督
[00:04:46.140 --> 00:04:48.140]  預言幾
[00:04:48.140 --> 00:04:50.140]  須受苦
[00:04:50.140 --> 00:04:52.140]  跟從主
[00:04:52.140 --> 00:04:54.140]  背十家
[00:04:54.140 --> 00:04:56.140]  棄世界
[00:04:56.140 --> 00:04:58.140]  無神國
[00:04:58.140 --> 00:05:00.140]  登山上
[00:05:00.140 --> 00:05:02.140]  貌變像
[00:05:02.140 --> 00:05:04.140]  再預言
[00:05:04.140 --> 00:05:06.140]  須受苦
[00:05:06.140 --> 00:05:08.140]  偉大的
[00:05:08.140 --> 00:05:10.140]  要作小
[00:05:10.140 --> 00:05:12.140]  跟耶穌
[00:05:12.140 --> 00:05:14.140]  放下幾
[00:05:14.140 --> 00:05:20.140]  如果大家有興趣
[00:05:20.140 --> 00:05:22.140]  回去背一些
[00:05:22.140 --> 00:05:24.140]  小小的三字經
[00:05:24.140 --> 00:05:26.140]  其實三字經
[00:05:26.140 --> 00:05:28.140]  你捉到一點點的時候
